District Wise Rainfall For Andhra Pradesh From Jun 01-2025  To Feb 22-2026

DISTRICT,12/25/01,,1/26/01,,Feb 01-2026 - Feb 22-2026,,Jun 01-2025 - Feb 22-2026,,,,
,Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),No. of Rainy Days,Normal (mm),Actual (mm),Deviation (%),Status
Srikakulam,2.73,0.57,6.23,0.11,19.58,0.08,49,1011,1039.5,2.82,NORMAL
Vizianagaram,4.06,0.63,9.24,0.01,16.35,0.13,51,953.5,1133.9,18.92,NORMAL
Parvathipuram Manyam,4.43,3.26,8.51,0,16.69,0.05,63,981.2,1013.9,3.33,NORMAL
Alluri Sitharama Raju,3.18,3.59,7.8,0.48,10.22,0.14,63,1106.6,1254.5,13.37,NORMAL
Visakhapatnam,7.35,0.43,12.45,0.03,12.61,0.01,39,974.4,983.9,0.97,NORMAL
Anakapalli,4.56,0.49,10.03,0.02,13.65,0.06,53,1007.3,1058.2,5.05,NORMAL
Kakinada,7.09,5.38,9.56,0.02,13.43,0.03,36,989.4,846.4,-14.45,NORMAL
Dr. B.R. Ambedkar Konaseema,20.35,9.71,9.8,0.14,11.14,0.2,35,1209.8,931.5,-23,DEFICIENT
East Godavari,6.68,2.07,9.77,0.07,7.79,0.03,43,1030.2,761.6,-26.07,DEFICIENT
West Godavari,15.77,4.79,10.02,0.01,8.9,0.06,38,1116.8,936.3,-16.16,NORMAL
Eluru,7.06,0.99,9.64,0.16,7.16,0.05,47,963.8,1065.9,10.59,NORMAL
Krishna,24.69,3.69,7.3,0.08,10.16,0.03,35,967.2,879.9,-9.03,NORMAL
NTR,6.47,0.13,9.92,0.04,4.35,0.05,41,943.9,1102.8,16.83,NORMAL
Guntur,16.08,1.01,7.87,0.12,9.48,0.01,28,809,1073.9,32.74,EXCESS
Bapatla,27.73,2.01,11.33,0.05,6.33,0.01,25,866.6,872.1,0.63,NORMAL
Palnadu,11.99,0.09,8.25,0.41,9.5,0,34,699,776.1,11.03,NORMAL
Prakasam,36.25,1.66,9.81,1.53,4.54,0.03,31,881.1,863.5,-2,NORMAL
Sri Potti Sriramulu Nellore,95.86,72.7,11.9,1.85,5.47,0.39,20,984.4,1057.8,7.46,NORMAL
Kurnool,8.26,0.18,3.17,0.23,1.48,0.12,34,554.2,680,22.7,EXCESS
Nandyal,6.95,1.16,2.37,0.22,2.3,0,38,663.8,859.8,29.53,EXCESS
Ananthapuramu,10.09,2.89,1.74,0.19,0.81,0.08,24,463.2,456.4,-1.47,NORMAL
Sri Sathya Sai,10.12,1.01,1.42,0.71,1.86,0.03,23,530.5,503.9,-5.01,NORMAL
Y.S.R.,19.07,13.54,1.85,0.85,0.89,0.03,26,638.3,714,11.86,NORMAL
Annamayya,42.35,10.8,5.48,3.3,2.88,0,25,669,774.5,15.77,NORMAL
Chittoor,51.57,9.14,4.51,4.53,2.84,0.28,31,828,980,18.36,NORMAL
Tirupati,126.23,89.24,16.81,6.23,7.02,0.01,30,1018,1224.4,20.28,EXCESS
COASTAL ANDHRA REGION,16.8,6.29,9.41,0.28,10.41,0.08,58,971.96,980.65,1.84,NORMAL
RAYALASEEMA REGION,34.33,16,4.67,2.03,2.51,0.07,35,670.63,774.13,14,NORMAL
Andhra Pradesh,27.2,9.28,7.23,1.14,6.33,0.08,51,880.8,898.5,2.01,NORMAL
