District,State,Year,Annual_Rainfall_mm,Normal_Rainfall_mm,Departure_Percent,Monsoon_Rainfall_mm,Pre_Monsoon_mm,Post_Monsoon_mm,Winter_mm,Monsoon_Percent,Rainfall_Category,Flood_Occurred,Drought_Declared,Waterlogging_Risk,Peak_Month,Peak_Rainfall_mm,Consecutive_Dry_Days_Avg,Heavy_Rain_Days,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm
Visakhapatnam,Andhra Pradesh,2015,1113.8,1100,1.3,953.3,63.1,28.0,29.2,85.6,Normal,0,0,Medium,Jul,275.9,5,6,5.7,23.5,0.0,28.1,35.0,161.6,275.9,257.3,159.4,99.1,28.0,0.0
Visakhapatnam,Andhra Pradesh,2016,1267.8,1100,15.3,1081.6,79.8,47.9,0.0,85.3,Normal,0,0,Medium,Jul,321.2,21,6,0.0,0.0,19.1,21.2,39.5,182.8,321.2,272.2,190.0,115.4,40.7,7.2
Visakhapatnam,Andhra Pradesh,2017,1101.3,1100,0.1,940.0,62.7,45.3,41.9,85.4,Normal,0,0,Medium,Jul,267.7,18,6,18.5,23.4,13.2,12.4,37.1,156.2,267.7,236.5,166.8,112.8,30.8,14.5
Visakhapatnam,Andhra Pradesh,2018,1440.1,1100,30.9,1251.7,84.4,45.6,43.4,86.9,Excess,1,0,High,Jul,356.7,22,4,22.6,20.8,16.8,14.2,53.4,219.2,356.7,327.7,210.3,137.8,36.2,9.4
Visakhapatnam,Andhra Pradesh,2019,1134.6,1100,3.1,977.2,112.6,50.0,29.5,86.1,Normal,0,0,Medium,Jul,277.3,5,4,13.3,16.2,16.7,35.6,60.3,176.8,277.3,261.0,156.7,105.4,46.0,4.0
Visakhapatnam,Andhra Pradesh,2020,764.5,1100,-30.5,670.3,58.7,48.0,26.0,87.7,Deficient,0,1,Low,Jul,185.5,16,9,18.4,7.6,12.9,7.5,38.3,122.5,185.5,165.5,106.0,90.8,27.3,20.7
Visakhapatnam,Andhra Pradesh,2021,1508.1,1100,37.1,1317.6,105.3,52.5,43.9,87.4,Excess,1,0,High,Jul,383.9,24,19,23.1,20.8,29.1,27.0,49.2,231.4,383.9,334.0,217.4,150.9,39.6,12.9
Visakhapatnam,Andhra Pradesh,2022,1465.7,1100,33.2,1313.4,95.1,62.8,18.4,89.6,Excess,1,0,High,Jul,362.5,9,29,6.6,11.8,7.7,20.3,67.1,232.1,362.5,330.0,231.8,157.0,34.5,28.3
Visakhapatnam,Andhra Pradesh,2023,996.8,1100,-9.4,903.4,46.8,37.8,9.6,90.6,Normal,0,0,Low,Jul,260.5,20,6,0.0,9.6,0.0,12.4,34.4,158.8,260.5,213.4,160.3,110.4,37.8,0.0
Visakhapatnam,Andhra Pradesh,2024,1590.6,1100,44.6,1338.7,100.7,56.6,13.3,84.2,Excess,1,0,High,Jul,384.6,9,29,10.8,2.5,21.0,23.8,55.9,232.8,384.6,340.2,223.7,157.4,35.2,21.4
Vizianagaram,Andhra Pradesh,2015,1617.8,1050,54.1,1410.1,145.5,69.7,37.2,87.2,Excess,1,0,High,Jul,391.9,3,26,27.3,9.9,24.7,41.5,79.3,245.6,391.9,360.3,246.4,165.9,42.7,27.0
Vizianagaram,Andhra Pradesh,2016,817.5,1050,-22.1,712.9,76.2,60.1,0.0,87.2,Deficient,0,0,Low,Jul,206.7,17,2,0.0,0.0,17.8,21.6,36.8,119.7,206.7,174.1,121.9,90.5,39.0,21.1
Vizianagaram,Andhra Pradesh,2017,1502.3,1050,43.1,1304.5,119.2,69.4,41.1,86.8,Excess,1,0,High,Jul,372.8,10,14,20.2,20.9,10.9,41.4,66.9,213.7,372.8,342.1,211.8,164.1,50.4,19.0
Vizianagaram,Andhra Pradesh,2018,851.8,1050,-18.9,733.8,53.8,30.0,24.3,86.1,Normal,0,0,Low,Jul,214.3,24,6,21.8,2.5,16.8,13.8,23.2,113.1,214.3,201.7,123.8,80.9,20.9,9.1
