Date,District,State,Year_Type,Daily_Rainfall_mm,Cumulative_Monthly_mm,Rainfall_Category,Flood_Alert,Waterlogging_Risk
2020-01-01,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-02,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-03,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-04,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-05,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-06,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-07,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-08,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0,Low
2020-01-09,Visakhapatnam,Andhra Pradesh,normal,0.5,0.5,Light,0,Low
2020-01-10,Visakhapatnam,Andhra Pradesh,normal,0.0,0.5,No Rain,0,Low
2020-01-11,Visakhapatnam,Andhra Pradesh,normal,0.0,0.5,No Rain,0,Low
2020-01-12,Visakhapatnam,Andhra Pradesh,normal,0.0,0.5,No Rain,0,Low
2020-01-13,Visakhapatnam,Andhra Pradesh,normal,0.0,0.5,No Rain,0,Low
2020-01-14,Visakhapatnam,Andhra Pradesh,normal,8.9,9.4,Moderate,0,Low
2020-01-15,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-16,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-17,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-18,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-19,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-20,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-21,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-22,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
2020-01-23,Visakhapatnam,Andhra Pradesh,normal,0.0,9.4,No Rain,0,Low
