"S.NO.",STATES,PERIOD :01.01.2026TO16.02.2026,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,LE,E,N,D,LD,NR,ND,TOTAL
1,A & N ISLAND (UT),0,0,0,1,2,0,0,3
2.,ARUNACHAL PRADESH,0,0,0,1,10,4,1,16
3.,ASSAM,0,0,0,0,5,29,1,35
4.,MEGHALAYA,0,0,0,0,0,11,0,11
5.,NAGALAND,0,0,0,0,0,8,3,11
6.,MANIPUR,0,0,0,0,0,8,1,9
7.,MIZORAM,0,0,0,0,0,6,2,8
8.,TRIPURA,0,0,0,0,0,8,0,8
9.,SIKKIM,0,0,0,0,4,2,0,6
10.,WEST BENGAL,0,0,0,0,4,19,0,23
11.,ODISHA,0,0,0,0,0,30,0,30
12.,JHARKHAND,0,0,0,0,0,24,0,24
13.,BIHAR,0,0,0,0,1,37,0,38
14.,UTTAR PRADESH,2,2,10,22,26,13,0,75
15.,UTTARAKHAND,0,0,4,9,0,0,0,13
16.,HARYANA,1,4,6,10,1,0,0,22
17.,CHANDIGARH (UT),0,0,1,0,0,0,0,1
18.,DELHI,0,1,1,7,0,0,1,10
19.,PUNJAB,3,3,8,3,5,0,0,22
20.,HIMACHAL PRADESH,0,2,6,3,1,0,0,12
21.,JAMMU & KASHMIR(UT),0,1,5,8,6,0,0,20
22.,LADAKH(UT),0,1,0,1,0,0,0,2
23.,RAJASTHAN,0,7,7,12,3,4,0,33
24.,MADHYA PRADESH,5,5,3,7,19,13,0,52
25.,GUJARAT,1,2,1,0,4,25,0,33
26.,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,0,0,0,0,2,1,3
27.,GOA,0,0,0,0,0,2,0,2
28.,MAHARASHTRA,3,0,1,0,13,19,0,36
29.,CHHATISGARH,0,0,0,0,1,32,0,33
30.,ANDHRA PRADESH,0,0,1,0,11,13,1,26
31.,TELANGANA,0,0,0,0,6,27,0,33
32.,TAMILNADU,24,2,3,5,4,0,0,38
33.,PUDUCHERRY (UT),2,0,0,0,1,1,0,4
34.,KARNATAKA,2,2,2,2,15,8,0,31
35.,KERALA,4,0,1,5,4,0,0,14
36.,LAKSHADWEEP (UT),0,1,0,0,0,0,0,1
,TOTAL,47,33,60,96,146,345,11,738
"CATEGORYWISE DISTRIBUTIONOF DISTRICTS OUT OF THE727WHOSE DATA RECEIVED",7%,5%,8%,13%,20%,47%,,,
