District,State,Drainage_Quality,Drainage_Capacity_Percent,Drainage_Type,Drainage_Network_km,Drain_Coverage_Percent,Blocked_Drains_Percent,Waterlogging_Risk_Drainage,Last_Maintenance_Year,Overflow_Threshold_mm_per_hr,Pump_Stations,Storm_Water_Capacity_m3
Visakhapatnam,Andhra Pradesh,Good,61.8,Storm Drain,789.8,9.3,40.6,Low,2021,31.2,3,243253
Vizianagaram,Andhra Pradesh,Moderate,39.3,Mixed,523.7,57.6,53.3,Medium,2019,53.7,16,241025
Srikakulam,Andhra Pradesh,Good,65.6,Storm Drain,1170.8,68.5,14.5,Low,2021,37.8,17,383080
East Godavari,Andhra Pradesh,Moderate,51.0,Mixed,35.4,19.9,23.8,Medium,2019,39.0,23,338076
West Godavari,Andhra Pradesh,Good,63.5,Storm Drain,1182.9,18.7,9.0,Low,2021,38.4,22,241107
Krishna,Andhra Pradesh,Moderate,38.4,Mixed,1050.8,35.9,3.5,Medium,2019,34.1,16,426610
Guntur,Andhra Pradesh,Moderate,44.6,Mixed,569.5,71.8,18.5,Medium,2019,46.9,6,464661
Prakasam,Andhra Pradesh,Moderate,49.1,Mixed,1038.7,16.0,4.9,Medium,2019,17.5,11,204901
Nellore,Andhra Pradesh,Moderate,36.8,Mixed,564.8,43.3,14.7,Medium,2019,35.6,18,193382
Kurnool,Andhra Pradesh,Poor,33.5,Open Channel,507.0,7.2,12.4,High,2016,13.3,14,294008
Kadapa,Andhra Pradesh,Poor,28.0,Open Channel,429.2,62.9,13.0,High,2016,10.7,21,361627
Anantapur,Andhra Pradesh,Poor,17.2,Open Channel,839.8,50.6,28.9,High,2016,23.2,24,113423
Chittoor,Andhra Pradesh,Moderate,38.5,Mixed,499.5,78.9,35.8,Medium,2019,20.1,11,376285
Alluri Sitharama Raju,Andhra Pradesh,Very Poor,5.3,Natural/None,716.4,20.8,7.3,Extreme,2010,49.6,15,218915
Anakapalli,Andhra Pradesh,Good,73.1,Storm Drain,685.6,82.7,22.1,Low,2021,13.7,20,192113
Bapatla,Andhra Pradesh,Moderate,52.2,Mixed,214.7,58.3,14.2,Medium,2019,35.5,7,127966
Eluru,Andhra Pradesh,Poor,26.8,Open Channel,237.6,19.4,40.3,High,2016,59.6,14,417042
Konaseema,Andhra Pradesh,Poor,31.4,Open Channel,170.2,33.5,34.0,High,2016,29.7,8,298912
Parvathipuram Manyam,Andhra Pradesh,Very Poor,6.5,Natural/None,144.0,85.6,38.8,Extreme,2010,54.5,24,178841
Sri Sathya Sai,Andhra Pradesh,Good,72.5,Storm Drain,28.2,55.4,11.1,Low,2021,48.8,23,160990
Tirupati,Andhra Pradesh,Moderate,53.4,Mixed,1179.4,50.6,4.2,Medium,2019,7.4,14,441867
Hyderabad,Telangana,Excellent,86.2,Underground Sewer,79.6,45.6,20.6,Very Low,2023,58.4,13,325987
Rangareddy,Telangana,Good,62.3,Storm Drain,884.8,27.6,41.4,Low,2021,9.9,24,170457
Medchal Malkajgiri,Telangana,Good,68.1,Storm Drain,25.0,53.2,4.9,Low,2021,35.5,6,487420
Sangareddy,Telangana,Poor,19.6,Open Channel,1190.0,75.2,19.1,High,2016,30.3,21,300980
Medak,Telangana,Moderate,48.2,Mixed,437.9,25.4,11.1,Medium,2019,16.5,11,103697
Nizamabad,Telangana,Moderate,41.1,Mixed,408.7,79.2,33.8,Medium,2019,39.8,22,329764
Kamareddy,Telangana,Moderate,44.2,Mixed,515.6,14.3,32.6,Medium,2019,14.7,12,156288
Jagtial,Telangana,Poor,15.6,Open Channel,146.1,36.2,19.7,High,2016,31.8,3,385414
Rajanna Sircilla,Telangana,Good,63.6,Storm Drain,474.4,94.2,13.5,Low,2021,5.7,14,157461
Karimnagar,Telangana,Moderate,43.0,Mixed,61.8,19.2,21.8,Medium,2019,36.0,18,87866
Peddapalli,Telangana,Poor,16.7,Open Channel,794.1,18.4,50.3,High,2016,5.9,0,147433
Jayashankar Bhupalpally,Telangana,Good,63.2,Storm Drain,920.0,92.0,2.8,Low,2021,30.1,8,329725
Mulugu,Telangana,Very Poor,14.5,Natural/None,525.9,49.3,19.9,Extreme,2010,20.4,14,74203
Bhadradri Kothagudem,Telangana,Moderate,46.7,Mixed,896.2,12.3,50.8,Medium,2019,6.5,12,360323
Khammam,Telangana,Poor,33.6,Open Channel,341.2,29.9,15.0,High,2016,38.0,7,365991
Nalgonda,Telangana,Poor,31.6,Open Channel,1165.8,19.9,39.0,High,2016,51.7,3,153594
Suryapet,Telangana,Good,58.7,Storm Drain,213.3,14.4,9.8,Low,2021,57.6,13,492746
Yadadri Bhuvanagiri,Telangana,Moderate,40.8,Mixed,861.1,67.5,50.7,Medium,2019,17.7,8,128361
Mahabubnagar,Telangana,Moderate,53.1,Mixed,40.7,27.7,10.0,Medium,2019,22.0,11,301087
Nagarkurnool,Telangana,Good,62.0,Storm Drain,444.3,8.5,36.5,Low,2021,52.6,1,88670
Wanaparthy,Telangana,Poor,24.5,Open Channel,633.8,82.9,40.8,High,2016,20.7,9,30272
Gadwal,Telangana,Poor,20.9,Open Channel,489.8,27.7,22.5,High,2016,29.2,20,371319
Narayanpet,Telangana,Poor,34.9,Open Channel,385.8,14.0,2.6,High,2016,8.3,8,255603
Vikarabad,Telangana,Poor,24.0,Open Channel,278.7,40.3,9.8,High,2016,32.0,13,390497
Siddipet,Telangana,Moderate,46.5,Mixed,469.2,41.0,19.3,Medium,2019,20.4,23,3127
Jangaon,Telangana,Moderate,53.6,Mixed,917.4,51.2,26.1,Medium,2019,25.7,24,234321
Warangal,Telangana,Moderate,38.9,Mixed,1007.6,84.9,39.9,Medium,2019,34.5,5,364313
Hanamkonda,Telangana,Good,71.5,Storm Drain,186.0,89.1,41.5,Low,2021,60.0,19,110347
Mahabubabad,Telangana,Moderate,45.3,Mixed,657.3,66.1,46.2,Medium,2019,28.2,10,67162
Nirmal,Telangana,Moderate,48.1,Mixed,503.9,47.7,10.4,Medium,2019,59.0,23,424564
Adilabad,Telangana,Poor,32.7,Open Channel,666.5,37.7,28.0,High,2016,38.3,0,96275
Kumuram Bheem,Telangana,Very Poor,3.7,Natural/None,1067.6,34.8,8.1,Extreme,2010,21.8,19,178736
Mancherial,Telangana,Good,73.2,Storm Drain,385.0,57.5,27.3,Low,2021,33.6,8,431545
Asifabad,Telangana,Very Poor,12.0,Natural/None,257.5,64.9,50.1,Extreme,2010,43.7,19,153830
