District,State,Flood_Threshold_Daily_mm,Flood_Threshold_3Day_mm,Flood_Threshold_Weekly_mm,Flood_Threshold_Annual_mm,Waterlogging_Threshold_mm,Extreme_Flood_Threshold_mm,Historical_Max_Daily_Rainfall_mm,Base_Flood_Risk,IMD_Category_At_Threshold,Return_Period_Years,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm
Visakhapatnam,Andhra Pradesh,127.5,357.0,573.8,1020.0,76.5,229.5,501.5,Low,Extremely Heavy,2,63.8,95.6,127.5,191.2
Vizianagaram,Andhra Pradesh,63.0,176.4,283.5,504.0,37.8,113.4,205.2,High,Heavy,10,31.5,47.2,63.0,94.5
Srikakulam,Andhra Pradesh,75.9,212.5,341.6,607.2,45.5,136.6,155.3,High,Very Heavy,5,38.0,56.9,75.9,113.9
East Godavari,Andhra Pradesh,60.0,168.0,270.0,480.0,36.0,108.0,170.5,High,Heavy,10,30.0,45.0,60.0,90.0
West Godavari,Andhra Pradesh,55.0,154.0,247.5,440.0,33.0,99.0,219.1,High,Heavy,2,27.5,41.2,55.0,82.5
Krishna,Andhra Pradesh,65.0,182.0,292.5,520.0,39.0,117.0,141.0,High,Very Heavy,25,32.5,48.8,65.0,97.5
Guntur,Andhra Pradesh,80.0,224.0,360.0,640.0,48.0,144.0,164.8,Medium,Very Heavy,5,40.0,60.0,80.0,120.0
Prakasam,Andhra Pradesh,71.1,199.1,319.9,568.8,42.7,128.0,224.8,High,Very Heavy,10,35.5,53.3,71.1,106.6
Nellore,Andhra Pradesh,70.0,196.0,315.0,560.0,42.0,126.0,176.5,High,Very Heavy,10,35.0,52.5,70.0,105.0
Kurnool,Andhra Pradesh,120.0,336.0,540.0,960.0,72.0,216.0,423.2,Low,Extremely Heavy,25,60.0,90.0,120.0,180.0
Kadapa,Andhra Pradesh,115.0,322.0,517.5,920.0,69.0,207.0,362.0,Medium,Very Heavy,5,57.5,86.2,115.0,172.5
Anantapur,Andhra Pradesh,130.0,364.0,585.0,1040.0,78.0,234.0,412.7,Low,Extremely Heavy,10,65.0,97.5,130.0,195.0
Chittoor,Andhra Pradesh,105.0,294.0,472.5,840.0,63.0,189.0,388.5,Medium,Very Heavy,10,52.5,78.8,105.0,157.5
Alluri Sitharama Raju,Andhra Pradesh,140.0,392.0,630.0,1120.0,84.0,252.0,320.2,Low,Extremely Heavy,50,70.0,105.0,140.0,210.0
Anakapalli,Andhra Pradesh,151.7,424.8,682.6,1213.6,91.0,273.1,424.9,Low,Extremely Heavy,2,75.8,113.8,151.7,227.5
Bapatla,Andhra Pradesh,58.0,162.4,261.0,464.0,34.8,104.4,167.9,High,Heavy,5,29.0,43.5,58.0,87.0
Eluru,Andhra Pradesh,83.7,234.4,376.7,669.6,50.2,150.7,170.2,Medium,Very Heavy,10,41.9,62.8,83.7,125.6
Konaseema,Andhra Pradesh,50.0,140.0,225.0,400.0,30.0,90.0,178.8,High,Heavy,5,25.0,37.5,50.0,75.0
Parvathipuram Manyam,Andhra Pradesh,150.0,420.0,675.0,1200.0,90.0,270.0,485.1,Low,Extremely Heavy,10,75.0,112.5,150.0,225.0
Sri Sathya Sai,Andhra Pradesh,105.7,296.0,475.7,845.6,63.4,190.3,410.9,Medium,Very Heavy,10,52.9,79.3,105.7,158.6
Tirupati,Andhra Pradesh,102.9,288.1,463.1,823.2,61.7,185.2,266.6,Medium,Very Heavy,100,51.5,77.2,102.9,154.4
Hyderabad,Telangana,75.0,210.0,337.5,600.0,45.0,135.0,223.7,High,Very Heavy,10,37.5,56.2,75.0,112.5
Rangareddy,Telangana,78.0,218.4,351.0,624.0,46.8,140.4,292.1,High,Very Heavy,5,39.0,58.5,78.0,117.0
Medchal Malkajgiri,Telangana,72.0,201.6,324.0,576.0,43.2,129.6,180.1,High,Very Heavy,25,36.0,54.0,72.0,108.0
Sangareddy,Telangana,147.1,411.9,661.9,1176.8,88.3,264.8,359.2,Low,Extremely Heavy,2,73.5,110.3,147.1,220.6
Medak,Telangana,79.5,222.6,357.8,636.0,47.7,143.1,200.9,High,Very Heavy,50,39.8,59.6,79.5,119.2
Nizamabad,Telangana,95.0,266.0,427.5,760.0,57.0,171.0,345.9,Medium,Very Heavy,25,47.5,71.2,95.0,142.5
Kamareddy,Telangana,153.4,429.5,690.3,1227.2,92.0,276.1,467.7,Low,Extremely Heavy,100,76.7,115.1,153.4,230.1
Jagtial,Telangana,107.8,301.8,485.1,862.4,64.7,194.0,287.5,Medium,Very Heavy,10,53.9,80.8,107.8,161.7
Rajanna Sircilla,Telangana,100.3,280.8,451.3,802.4,60.2,180.5,269.4,Medium,Very Heavy,5,50.1,75.2,100.3,150.4
Karimnagar,Telangana,153.4,429.5,690.3,1227.2,92.0,276.1,499.0,Low,Extremely Heavy,5,76.7,115.1,153.4,230.1
Peddapalli,Telangana,123.7,346.4,556.6,989.6,74.2,222.7,250.8,Low,Extremely Heavy,25,61.9,92.8,123.7,185.6
Jayashankar Bhupalpally,Telangana,103.1,288.7,463.9,824.8,61.9,185.6,227.4,Medium,Very Heavy,25,51.5,77.3,103.1,154.6
Mulugu,Telangana,135.0,378.0,607.5,1080.0,81.0,243.0,282.9,Low,Extremely Heavy,50,67.5,101.2,135.0,202.5
