District,State,Population_2011,Population_Density_per_sqkm,Area_sqkm,Urban_Population_Percent,Rural_Population_Percent,Population_Growth_Rate,Vulnerable_Population_Percent,Flood_Exposure_Index
Visakhapatnam,Andhra Pradesh,681550,430,1585,45.9,54.1,8.5,35.0,2.64
Vizianagaram,Andhra Pradesh,2800975,619,4525,50.1,49.9,19.2,28.0,5.29
Srikakulam,Andhra Pradesh,1352168,692,1954,39.8,60.2,12.0,29.8,5.24
East Godavari,Andhra Pradesh,1413720,330,4284,63.0,37.0,11.5,27.5,4.58
West Godavari,Andhra Pradesh,1957422,438,4469,50.9,49.1,6.0,21.7,4.76
Krishna,Andhra Pradesh,2904426,518,5607,28.2,71.8,14.2,33.5,4.99
Guntur,Andhra Pradesh,410010,395,1038,17.6,82.4,9.6,25.5,3.29
Prakasam,Andhra Pradesh,231227,107,2161,30.9,69.1,18.1,22.3,2.02
Nellore,Andhra Pradesh,799876,308,2597,68.9,31.1,6.6,32.7,4.32
Kurnool,Andhra Pradesh,3911955,667,5865,49.2,50.8,11.9,31.6,4.37
Kadapa,Andhra Pradesh,2129386,391,5446,19.5,80.5,7.6,29.1,2.64
Anantapur,Andhra Pradesh,2544325,469,5425,89.4,10.6,7.5,23.5,2.83
Chittoor,Andhra Pradesh,361620,410,882,83.7,16.3,8.1,18.1,4.78
Alluri Sitharama Raju,Andhra Pradesh,246645,45,5481,11.9,88.1,20.2,19.8,2.96
Anakapalli,Andhra Pradesh,1101832,344,3203,86.5,13.5,20.3,26.4,3.06
Bapatla,Andhra Pradesh,549500,125,4396,41.1,58.9,15.6,13.4,1.03
Eluru,Andhra Pradesh,1090089,231,4719,32.0,68.0,13.8,27.9,2.89
Konaseema,Andhra Pradesh,546616,344,1589,82.6,17.4,12.6,15.6,1.86
Parvathipuram Manyam,Andhra Pradesh,2663496,472,5643,83.1,16.9,14.0,35.0,3.68
Sri Sathya Sai,Andhra Pradesh,607154,134,4531,81.4,18.6,10.8,16.3,1.4
Tirupati,Andhra Pradesh,2413160,430,5612,40.1,59.9,10.4,14.1,2.5
Hyderabad,Telangana,79519440,18480,4303,79.2,20.8,7.2,27.7,10.0
Rangareddy,Telangana,2470342,703,3514,20.7,79.3,8.4,23.6,5.91
Medchal Malkajgiri,Telangana,4113600,1200,3428,41.0,59.0,13.0,27.3,8.12
Sangareddy,Telangana,705510,270,2613,30.4,69.6,11.0,23.8,3.78
Medak,Telangana,2585181,687,3763,37.0,63.0,16.9,27.3,5.59
Nizamabad,Telangana,1834277,653,2809,86.1,13.9,21.4,19.9,3.78
Kamareddy,Telangana,469820,139,3380,24.5,75.5,10.9,18.8,2.35
Jagtial,Telangana,3720335,695,5353,66.9,33.1,21.4,20.6,5.68
Rajanna Sircilla,Telangana,2608200,567,4600,67.9,32.1,11.3,27.5,4.38
Karimnagar,Telangana,1334466,623,2142,19.4,80.6,11.8,21.6,4.77
Peddapalli,Telangana,1255764,681,1844,35.1,64.9,17.4,20.4,3.57
Jayashankar Bhupalpally,Telangana,971634,201,4834,80.6,19.4,13.5,10.2,1.61
Mulugu,Telangana,302390,55,5498,35.7,64.3,5.9,14.7,3.14
Bhadradri Kothagudem,Telangana,1966261,473,4157,30.0,70.0,15.2,31.7,2.41
Khammam,Telangana,1622096,392,4138,61.1,38.9,7.4,17.4,2.44
Nalgonda,Telangana,1705248,496,3438,39.5,60.5,17.3,21.2,2.72
Suryapet,Telangana,1132595,535,2117,87.4,12.6,15.1,30.4,2.91
Yadadri Bhuvanagiri,Telangana,2068266,366,5651,39.4,60.6,8.3,33.6,4.73
Mahabubnagar,Telangana,518336,208,2492,27.9,72.1,13.8,12.7,1.59
Nagarkurnool,Telangana,1090844,284,3841,70.9,29.1,18.8,34.1,3.86
Wanaparthy,Telangana,165240,204,810,83.6,16.4,12.2,23.2,3.61
Gadwal,Telangana,373560,120,3113,79.6,20.4,16.9,33.9,1.84
Narayanpet,Telangana,398750,110,3625,51.6,48.4,7.5,30.3,0.73
Vikarabad,Telangana,119196,86,1386,38.0,62.0,20.6,30.1,3.04
Siddipet,Telangana,382473,273,1401,42.7,57.3,6.4,26.5,2.46
Jangaon,Telangana,1066461,187,5703,87.0,13.0,17.9,27.7,1.35
Warangal,Telangana,2481700,575,4316,77.9,22.1,11.6,22.6,5.86
Hanamkonda,Telangana,1486316,566,2626,61.0,39.0,6.0,24.6,5.12
Mahabubabad,Telangana,552552,506,1092,30.8,69.2,6.8,21.0,4.27
Nirmal,Telangana,261290,145,1802,30.2,69.8,20.5,32.6,3.57
Adilabad,Telangana,914850,214,4275,75.3,24.7,14.3,27.3,2.55
Kumuram Bheem,Telangana,228735,65,3519,79.2,20.8,20.3,14.2,2.32
Mancherial,Telangana,318682,182,1751,74.4,25.6,11.7,23.7,1.67
Asifabad,Telangana,139040,80,1738,82.2,17.8,9.2,20.4,2.14
