District,State,Year,Month,Month_Number,Scenario,Data_Type,Rainfall_mm,Normal_Rainfall_mm,Departure_mm,Departure_Percent,Rainfall_Category,Flood_Probability_Percent
Visakhapatnam,Andhra Pradesh,2025,Jan,1,Normal Year,Actual,12.5,11.0,1.5,13.6,Normal,10.9
Visakhapatnam,Andhra Pradesh,2025,Feb,2,Normal Year,Actual,10.0,11.0,-1.0,-9.1,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Mar,3,Normal Year,Forecast,10.5,11.0,-0.5,-4.5,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Apr,4,Normal Year,Forecast,19.0,22.0,-3.0,-13.6,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,May,5,Normal Year,Forecast,45.0,44.0,1.0,2.3,Normal,1.8
Visakhapatnam,Andhra Pradesh,2025,Jun,6,Normal Year,Forecast,177.9,165.0,12.9,7.8,Normal,6.3
Visakhapatnam,Andhra Pradesh,2025,Jul,7,Normal Year,Forecast,273.8,275.0,-1.2,-0.4,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Aug,8,Normal Year,Forecast,250.1,242.0,8.1,3.3,Normal,2.7
Visakhapatnam,Andhra Pradesh,2025,Sep,9,Normal Year,Forecast,178.3,165.0,13.3,8.1,Normal,6.4
Visakhapatnam,Andhra Pradesh,2025,Oct,10,Normal Year,Forecast,105.5,110.0,-4.5,-4.1,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Nov,11,Normal Year,Forecast,38.0,33.0,5.0,15.2,Normal,12.1
Visakhapatnam,Andhra Pradesh,2025,Dec,12,Normal Year,Forecast,13.1,11.0,2.1,19.1,Normal,15.3
Vizianagaram,Andhra Pradesh,2025,Jan,1,Early Monsoon,Actual,8.9,10.5,-1.6,-15.2,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Feb,2,Early Monsoon,Actual,8.9,10.5,-1.6,-15.2,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Mar,3,Early Monsoon,Forecast,8.9,10.5,-1.6,-15.2,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Apr,4,Early Monsoon,Forecast,17.8,21.0,-3.2,-15.2,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,May,5,Early Monsoon,Forecast,58.8,42.0,16.8,40.0,Excess,32.0
Vizianagaram,Andhra Pradesh,2025,Jun,6,Early Monsoon,Forecast,220.5,157.5,63.0,40.0,Excess,32.0
Vizianagaram,Andhra Pradesh,2025,Jul,7,Early Monsoon,Forecast,223.1,262.5,-39.4,-15.0,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Aug,8,Early Monsoon,Forecast,196.3,231.0,-34.7,-15.0,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Sep,9,Early Monsoon,Forecast,133.9,157.5,-23.6,-15.0,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Oct,10,Early Monsoon,Forecast,89.2,105.0,-15.8,-15.0,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Nov,11,Early Monsoon,Forecast,26.8,31.5,-4.7,-14.9,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Dec,12,Early Monsoon,Forecast,8.9,10.5,-1.6,-15.2,Normal,0.0
Srikakulam,Andhra Pradesh,2025,Jan,1,Delayed Monsoon,Actual,12.7,11.5,1.2,10.4,Normal,8.3
Srikakulam,Andhra Pradesh,2025,Feb,2,Delayed Monsoon,Actual,12.7,11.5,1.2,10.4,Normal,8.3
Srikakulam,Andhra Pradesh,2025,Mar,3,Delayed Monsoon,Forecast,12.7,11.5,1.2,10.4,Normal,8.3
Srikakulam,Andhra Pradesh,2025,Apr,4,Delayed Monsoon,Forecast,25.3,23.0,2.3,10.0,Normal,8.0
Srikakulam,Andhra Pradesh,2025,May,5,Delayed Monsoon,Forecast,50.6,46.0,4.6,10.0,Normal,8.0
Srikakulam,Andhra Pradesh,2025,Jun,6,Delayed Monsoon,Forecast,51.8,172.5,-120.7,-70.0,Deficient,0.0
Srikakulam,Andhra Pradesh,2025,Jul,7,Delayed Monsoon,Forecast,86.2,287.5,-201.3,-70.0,Deficient,0.0
Srikakulam,Andhra Pradesh,2025,Aug,8,Delayed Monsoon,Forecast,278.3,253.0,25.3,10.0,Normal,8.0
