District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
Visakhapatnam,Andhra Pradesh,Loam,25.7,42.5,30.7,1.3,Medium,Moderate,Medium,7.4,31.2,7.9
Vizianagaram,Andhra Pradesh,Alluvial,32.5,39.0,31.1,1.2,High,Slow,High,7.7,29.1,2.7
Srikakulam,Andhra Pradesh,Laterite,41.6,47.8,26.2,1.0,Low,Fast,Low,7.8,17.0,8.2
East Godavari,Andhra Pradesh,Black Cotton,54.2,8.3,25.2,1.8,Very High,Very Slow,Extreme,7.4,39.9,5.1
West Godavari,Andhra Pradesh,Black Cotton,57.1,12.8,26.8,1.8,Very High,Very Slow,Extreme,8.0,34.7,3.3
Krishna,Andhra Pradesh,Sandy Loam,10.1,63.2,29.7,0.6,Low,Fast,Low,7.5,17.0,4.5
Guntur,Andhra Pradesh,Sandy Loam,10.4,52.2,30.6,0.6,Low,Fast,Low,8.4,11.5,7.5
Prakasam,Andhra Pradesh,Black Cotton,64.2,18.5,29.6,2.2,Very High,Very Slow,Extreme,8.1,45.9,5.6
Nellore,Andhra Pradesh,Alluvial,29.4,37.2,36.8,1.4,High,Slow,High,7.5,43.7,5.1
Kurnool,Andhra Pradesh,Loam,32.4,33.7,33.4,1.2,Medium,Moderate,Medium,7.1,45.4,8.0
Kadapa,Andhra Pradesh,Heavy Clay,70.9,8.6,16.7,2.2,Very High,Very Slow,Extreme,6.3,24.4,3.0
Anantapur,Andhra Pradesh,Black Cotton,62.8,19.2,20.6,2.2,Very High,Very Slow,Extreme,8.4,5.0,7.4
Chittoor,Andhra Pradesh,Red Loamy,29.5,52.0,29.9,1.1,Medium,Moderate,Medium,7.5,46.2,9.2
Alluri Sitharama Raju,Andhra Pradesh,Laterite,27.9,40.3,25.5,0.5,Low,Fast,Low,8.2,1.8,6.4
