Date,District,State,Year_Type,Daily_Rainfall_mm,Cumulative_Monthly_mm,Rainfall_Category,Flood_Alert,Waterlogging_Risk
0,10,0,3,0.0,0.0,5,0,1
1,10,0,3,0.0,0.0,5,0,1
2,10,0,3,0.0,0.0,5,0,1
3,10,0,3,0.0,0.0,5,0,1
4,10,0,3,0.0,0.0,5,0,1
5,10,0,3,0.0,0.0,5,0,1
6,10,0,3,0.0,0.0,5,0,1
7,10,0,3,0.0,0.0,5,0,1
8,10,0,3,0.5,0.5,3,0,1
9,10,0,3,0.0,0.5,5,0,1
10,10,0,3,0.0,0.5,5,0,1
11,10,0,3,0.0,0.5,5,0,1
12,10,0,3,0.0,0.5,5,0,1
13,10,0,3,8.9,9.4,4,0,1
14,10,0,3,0.0,9.4,5,0,1
15,10,0,3,0.0,9.4,5,0,1
16,10,0,3,0.0,9.4,5,0,1
17,10,0,3,0.0,9.4,5,0,1
18,10,0,3,0.0,9.4,5,0,1
19,10,0,3,0.0,9.4,5,0,1
20,10,0,3,0.0,9.4,5,0,1
21,10,0,3,0.0,9.4,5,0,1
22,10,0,3,0.0,9.4,5,0,1
23,10,0,3,0.0,9.4,5,0,1
24,10,0,3,0.0,9.4,5,0,1
25,10,0,3,15.3,24.7,4,0,2
26,10,0,3,0.0,24.7,5,0,1
27,10,0,3,0.0,24.7,5,0,1
28,10,0,3,0.0,24.7,5,0,1
29,10,0,3,0.0,24.7,5,0,1
30,10,0,3,0.0,24.7,5,0,1
31,10,0,3,0.0,0.0,5,0,1
32,10,0,3,0.0,0.0,5,0,1
33,10,0,3,0.0,0.0,5,0,1
34,10,0,3,0.0,0.0,5,0,1
35,10,0,3,5.7,5.7,3,0,1
36,10,0,3,3.8,9.5,3,0,1
37,10,0,3,0.0,9.5,5,0,1
38,10,0,3,0.0,9.5,5,0,1
39,10,0,3,0.0,9.5,5,0,1
40,10,0,3,0.0,9.5,5,0,1
41,10,0,3,0.0,9.5,5,0,1
42,10,0,3,0.0,9.5,5,0,1
43,10,0,3,0.0,9.5,5,0,1
44,10,0,3,0.0,9.5,5,0,1
45,10,0,3,21.0,30.5,4,0,2
46,10,0,3,0.0,30.5,5,0,1
47,10,0,3,9.7,40.2,4,0,1
48,10,0,3,0.0,40.2,5,0,1
49,10,0,3,0.0,40.2,5,0,1
50,10,0,3,0.0,40.2,5,0,1
51,10,0,3,0.0,40.2,5,0,1
52,10,0,3,0.0,40.2,5,0,1
53,10,0,3,0.0,40.2,5,0,1
54,10,0,3,0.0,40.2,5,0,1
55,10,0,3,0.0,40.2,5,0,1
56,10,0,3,0.0,40.2,5,0,1
57,10,0,3,0.0,40.2,5,0,1
58,10,0,3,5.2,45.4,3,0,1
59,10,0,3,0.0,45.4,5,0,1
60,10,0,3,0.0,0.0,5,0,1
61,10,0,3,0.0,0.0,5,0,1
62,10,0,3,0.0,0.0,5,0,1
63,10,0,3,0.0,0.0,5,0,1
64,10,0,3,0.0,0.0,5,0,1
65,10,0,3,0.0,0.0,5,0,1
66,10,0,3,13.1,13.1,4,0,1
67,10,0,3,0.0,13.1,5,0,1
68,10,0,3,0.0,13.1,5,0,1
69,10,0,3,0.0,13.1,5,0,1
70,10,0,3,0.0,13.1,5,0,1
71,10,0,3,0.0,13.1,5,0,1
72,10,0,3,0.0,13.1,5,0,1
