Date,District,State,Year_Type,Daily_Rainfall_mm,Cumulative_Monthly_mm,Rainfall_Category,Flood_Alert,Waterlogging_Risk
2020-01-01,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-02,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-03,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-04,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-05,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-06,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-07,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-08,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-01-09,Visakhapatnam,Andhra Pradesh,normal,0.0015042117930204573,0.0003008785654110001,Light,0.0,Low
2020-01-10,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0003008785654110001,No Rain,0.0,Low
2020-01-11,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0003008785654110001,No Rain,0.0,Low
2020-01-12,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0003008785654110001,No Rain,0.0,Low
2020-01-13,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0003008785654110001,No Rain,0.0,Low
2020-01-14,Visakhapatnam,Andhra Pradesh,normal,0.02677496991576414,0.005656517029726802,Moderate,0.0,Low
2020-01-15,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-16,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-17,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-18,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-19,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-20,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-21,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-22,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-23,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-24,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-25,Visakhapatnam,Andhra Pradesh,normal,0.0,0.005656517029726802,No Rain,0.0,Low
2020-01-26,Visakhapatnam,Andhra Pradesh,normal,0.046028880866425995,0.014863401131303406,Moderate,0.0,Medium
2020-01-27,Visakhapatnam,Andhra Pradesh,normal,0.0,0.014863401131303406,No Rain,0.0,Low
2020-01-28,Visakhapatnam,Andhra Pradesh,normal,0.0,0.014863401131303406,No Rain,0.0,Low
2020-01-29,Visakhapatnam,Andhra Pradesh,normal,0.0,0.014863401131303406,No Rain,0.0,Low
2020-01-30,Visakhapatnam,Andhra Pradesh,normal,0.0,0.014863401131303406,No Rain,0.0,Low
2020-01-31,Visakhapatnam,Andhra Pradesh,normal,0.0,0.014863401131303406,No Rain,0.0,Low
2020-02-01,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-02-02,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-02-03,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-02-04,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-02-05,Visakhapatnam,Andhra Pradesh,normal,0.017148014440433214,0.003430015645685401,Light,0.0,Low
2020-02-06,Visakhapatnam,Andhra Pradesh,normal,0.011432009626955475,0.0057166927428090025,Light,0.0,Low
2020-02-07,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-08,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-09,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-10,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-11,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-12,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-13,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-14,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0057166927428090025,No Rain,0.0,Low
2020-02-15,Visakhapatnam,Andhra Pradesh,normal,0.0631768953068592,0.018353592490071007,Moderate,0.0,Medium
2020-02-16,Visakhapatnam,Andhra Pradesh,normal,0.0,0.018353592490071007,No Rain,0.0,Low
2020-02-17,Visakhapatnam,Andhra Pradesh,normal,0.02918170878459687,0.02419063665904441,Moderate,0.0,Low
2020-02-18,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-19,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-20,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-21,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-22,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-23,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-24,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-25,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-26,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-27,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02419063665904441,No Rain,0.0,Low
2020-02-28,Visakhapatnam,Andhra Pradesh,normal,0.015643802647412757,0.02731977373931881,Light,0.0,Low
2020-02-29,Visakhapatnam,Andhra Pradesh,normal,0.0,0.02731977373931881,No Rain,0.0,Low
2020-03-01,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-02,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-03,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-04,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-05,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-06,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-03-07,Visakhapatnam,Andhra Pradesh,normal,0.03941034897713598,0.007883018413768202,Moderate,0.0,Low
2020-03-08,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-09,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-10,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-11,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-12,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-13,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-14,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-15,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-16,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-17,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-18,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-19,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-20,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-21,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-22,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-23,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-24,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-25,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-26,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-27,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-28,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-29,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-30,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-03-31,Visakhapatnam,Andhra Pradesh,normal,0.0,0.007883018413768202,No Rain,0.0,Low
2020-04-01,Visakhapatnam,Andhra Pradesh,normal,0.0,0.0,No Rain,0.0,Low
2020-04-02,Visakhapatnam,Andhra Pradesh,normal,0.0069193742478941035,0.0013840414008906004,Light,0.0,Low
