District,State,Latitude,Longitude
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Vizianagaram,Andhra Pradesh,14.77,83.53
Srikakulam,Andhra Pradesh,16.14,78.9
East Godavari,Andhra Pradesh,17.0,81.8
West Godavari,Andhra Pradesh,16.9,81.3
Krishna,Andhra Pradesh,16.6,80.7
Guntur,Andhra Pradesh,16.3,80.4
Prakasam,Andhra Pradesh,13.45,83.35
Nellore,Andhra Pradesh,14.4,79.9
Kurnool,Andhra Pradesh,15.8,78.0
Kadapa,Andhra Pradesh,18.65,80.71
Anantapur,Andhra Pradesh,14.7,77.6
Chittoor,Andhra Pradesh,13.2,79.1
Alluri Sitharama Raju,Andhra Pradesh,14.82,83.77
Anakapalli,Andhra Pradesh,16.77,83.51
Bapatla,Andhra Pradesh,17.06,79.15
Eluru,Andhra Pradesh,15.22,80.85
Konaseema,Andhra Pradesh,17.74,79.23
Parvathipuram Manyam,Andhra Pradesh,16.48,79.42
Sri Sathya Sai,Andhra Pradesh,17.89,80.27
Tirupati,Andhra Pradesh,13.46,78.16
Hyderabad,Telangana,17.385,78.4867
Rangareddy,Telangana,17.2,78.0
Medchal Malkajgiri,Telangana,18.65,83.11
Sangareddy,Telangana,17.62,78.07
Medak,Telangana,18.04,78.27
Nizamabad,Telangana,18.67,78.1
Kamareddy,Telangana,15.38,80.19
Jagtial,Telangana,15.49,82.11
Rajanna Sircilla,Telangana,13.81,78.38
Karimnagar,Telangana,18.43,79.13
Peddapalli,Telangana,16.15,77.78
Jayashankar Bhupalpally,Telangana,18.21,79.08
Mulugu,Telangana,13.98,81.73
Bhadradri Kothagudem,Telangana,13.23,81.34
Khammam,Telangana,17.2,80.1
Nalgonda,Telangana,17.05,79.26
Suryapet,Telangana,13.59,77.82
Yadadri Bhuvanagiri,Telangana,14.53,79.07
Mahabubnagar,Telangana,16.73,77.98
Nagarkurnool,Telangana,16.56,78.04
Wanaparthy,Telangana,14.03,83.15
Gadwal,Telangana,16.35,83.09
Narayanpet,Telangana,15.23,81.3
Vikarabad,Telangana,16.14,79.23
Siddipet,Telangana,15.82,80.52
Jangaon,Telangana,14.2,79.21
Warangal,Telangana,17.97,79.59
Hanamkonda,Telangana,15.16,79.15
Mahabubabad,Telangana,14.17,81.75
Nirmal,Telangana,14.94,83.91
Adilabad,Telangana,19.66,78.53
Kumuram Bheem,Telangana,16.62,82.61
Mancherial,Telangana,15.82,79.96
Asifabad,Telangana,18.97,77.07
