District,State,Latitude,Longitude
49,0,17.6868,83.2185
50,0,14.77,83.53
45,0,16.14,78.9
8,0,17.0,81.8
53,0,16.9,81.3
22,0,16.6,80.7
11,0,16.3,80.4
39,0,13.45,83.35
34,0,14.4,79.9
24,0,15.8,78.0
17,0,18.65,80.71
3,0,14.7,77.6
7,0,13.2,79.1
1,0,14.82,83.77
2,0,16.77,83.51
5,0,17.06,79.15
9,0,15.22,80.85
21,0,17.74,79.23
37,0,16.48,79.42
44,0,17.89,80.27
47,0,13.46,78.16
13,1,17.385,78.4867
41,1,17.2,78.0
29,1,18.65,83.11
42,1,17.62,78.07
28,1,18.04,78.27
36,1,18.67,78.1
18,1,15.38,80.19
14,1,15.49,82.11
40,1,13.81,78.38
19,1,18.43,79.13
38,1,16.15,77.78
16,1,18.21,79.08
30,1,13.98,81.73
6,1,13.23,81.34
20,1,17.2,80.1
32,1,17.05,79.26
46,1,13.59,77.82
54,1,14.53,79.07
26,1,16.73,77.98
31,1,16.56,78.04
51,1,14.03,83.15
10,1,16.35,83.09
33,1,15.23,81.3
48,1,16.14,79.23
43,1,15.82,80.52
15,1,14.2,79.21
52,1,17.97,79.59
12,1,15.16,79.15
25,1,14.17,81.75
35,1,14.94,83.91
0,1,19.66,78.53
23,1,16.62,82.61
27,1,15.82,79.96
4,1,18.97,77.07
