SNo,Period,State,LE,E,N,D,LD,NR,ND,Total
1,01-01-2026 to 16-02-2026,A & N ISLAND (UT),0,0,0,1,2,0,0,3
2,01-01-2026 to 16-02-2026,ARUNACHAL PRADESH,0,0,0,1,10,4,1,16
3,01-01-2026 to 16-02-2026,ASSAM,0,0,0,0,5,29,1,35
4,01-01-2026 to 16-02-2026,MEGHALAYA,0,0,0,0,0,11,0,11
5,01-01-2026 to 16-02-2026,NAGALAND,0,0,0,0,0,8,3,11
6,01-01-2026 to 16-02-2026,MANIPUR,0,0,0,0,0,8,1,9
7,01-01-2026 to 16-02-2026,MIZORAM,0,0,0,0,0,6,2,8
8,01-01-2026 to 16-02-2026,TRIPURA,0,0,0,0,0,8,0,8
9,01-01-2026 to 16-02-2026,SIKKIM,0,0,0,0,4,2,0,6
10,01-01-2026 to 16-02-2026,WEST BENGAL,0,0,0,0,4,19,0,23
11,01-01-2026 to 16-02-2026,ODISHA,0,0,0,0,0,30,0,30
12,01-01-2026 to 16-02-2026,JHARKHAND,0,0,0,0,0,24,0,24
13,01-01-2026 to 16-02-2026,BIHAR,0,0,0,0,1,37,0,38
14,01-01-2026 to 16-02-2026,UTTAR PRADESH,2,2,10,22,26,13,0,75
15,01-01-2026 to 16-02-2026,UTTARAKHAND,0,0,4,9,0,0,0,13
16,01-01-2026 to 16-02-2026,HARYANA,1,4,6,10,1,0,0,22
17,01-01-2026 to 16-02-2026,CHANDIGARH (UT),0,0,1,0,0,0,0,1
18,01-01-2026 to 16-02-2026,DELHI,0,1,1,7,0,0,1,10
19,01-01-2026 to 16-02-2026,PUNJAB,3,3,8,3,5,0,0,22
20,01-01-2026 to 16-02-2026,HIMACHAL PRADESH,0,2,6,3,1,0,0,12
21,01-01-2026 to 16-02-2026,JAMMU & KASHMIR(UT),0,1,5,8,6,0,0,20
22,01-01-2026 to 16-02-2026,LADAKH(UT),0,1,0,1,0,0,0,2
23,01-01-2026 to 16-02-2026,RAJASTHAN,0,7,7,12,3,4,0,33
24,01-01-2026 to 16-02-2026,MADHYA PRADESH,5,5,3,7,19,13,0,52
25,01-01-2026 to 16-02-2026,GUJARAT,1,2,1,0,4,25,0,33
26,01-01-2026 to 16-02-2026,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,0,0,0,0,2,1,3
27,01-01-2026 to 16-02-2026,GOA,0,0,0,0,0,2,0,2
28,01-01-2026 to 16-02-2026,MAHARASHTRA,3,0,1,0,13,19,0,36
29,01-01-2026 to 16-02-2026,CHHATISGARH,0,0,0,0,1,32,0,33
30,01-01-2026 to 16-02-2026,ANDHRA PRADESH,0,0,1,0,11,13,1,26
31,01-01-2026 to 16-02-2026,TELANGANA,0,0,0,0,6,27,0,33
32,01-01-2026 to 16-02-2026,TAMILNADU,24,2,3,5,4,0,0,38
33,01-01-2026 to 16-02-2026,PUDUCHERRY (UT),2,0,0,0,1,1,0,4
34,01-01-2026 to 16-02-2026,KARNATAKA,2,2,2,2,15,8,0,31
35,01-01-2026 to 16-02-2026,KERALA,4,0,1,5,4,0,0,14
36,01-01-2026 to 16-02-2026,LAKSHADWEEP (UT),0,1,0,0,0,0,0,1
