SNo,Period,State,LE,E,N,D,LD,NR,ND,Total
1,0,0,0,0,0,1,2,0,0,3
2,0,2,0,0,0,1,10,4,1,16
3,0,3,0,0,0,0,5,29,1,35
4,0,22,0,0,0,0,0,11,0,11
5,0,24,0,0,0,0,0,8,3,11
6,0,21,0,0,0,0,0,8,1,9
7,0,23,0,0,0,0,0,6,2,8
8,0,32,0,0,0,0,0,8,0,8
9,0,29,0,0,0,0,4,2,0,6
10,0,35,0,0,0,0,4,19,0,23
11,0,25,0,0,0,0,0,30,0,30
12,0,14,0,0,0,0,0,24,0,24
13,0,4,0,0,0,0,1,37,0,38
14,0,33,2,2,10,22,26,13,0,75
15,0,34,0,0,4,9,0,0,0,13
16,0,11,1,4,6,10,1,0,0,22
17,0,5,0,0,1,0,0,0,0,1
18,0,8,0,1,1,7,0,0,1,10
19,0,27,3,3,8,3,5,0,0,22
20,0,12,0,2,6,3,1,0,0,12
21,0,13,0,1,5,8,6,0,0,20
22,0,17,0,1,0,1,0,0,0,2
23,0,28,0,7,7,12,3,4,0,33
24,0,19,5,5,3,7,19,13,0,52
25,0,10,1,2,1,0,4,25,0,33
26,0,7,0,0,0,0,0,2,1,3
27,0,9,0,0,0,0,0,2,0,2
28,0,20,3,0,1,0,13,19,0,36
29,0,6,0,0,0,0,1,32,0,33
30,0,1,0,0,1,0,11,13,1,26
31,0,31,0,0,0,0,6,27,0,33
32,0,30,24,2,3,5,4,0,0,38
33,0,26,2,0,0,0,1,1,0,4
34,0,15,2,2,2,2,15,8,0,31
35,0,16,4,0,1,5,4,0,0,14
36,0,18,0,1,0,0,0,0,0,1
