"S.NO.",STATES,PERIOD :01.01.2026TO16.02.2026,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
37,38,9,9,12,13,15,17,5,27
0,1,0,0,0,1,8,0,0,13
11,3,0,0,0,1,2,14,1,6
22,4,0,0,0,0,13,9,1,17
30,23,0,0,0,0,0,2,0,2
31,25,0,0,0,0,0,16,4,2
32,22,0,0,0,0,0,16,1,26
33,24,0,0,0,0,0,15,3,25
34,34,0,0,0,0,0,16,0,25
35,30,0,0,0,0,11,5,0,22
1,37,0,0,0,0,11,4,0,10
2,26,0,0,0,0,0,10,0,14
3,15,0,0,0,0,0,6,0,11
4,5,0,0,0,0,1,13,0,19
5,35,2,2,2,6,9,3,0,24
6,36,0,0,6,11,0,0,0,4
7,12,1,5,8,2,1,0,0,9
8,6,0,0,1,0,0,0,0,0
9,9,0,1,1,9,0,0,1,1
10,28,4,3,11,7,13,0,0,9
12,13,0,2,8,7,1,0,0,3
13,14,0,1,7,10,14,0,0,8
14,18,0,1,0,1,0,0,0,7
15,29,0,7,10,3,10,14,0,16
16,20,7,6,5,9,7,3,0,21
17,11,1,2,1,0,11,7,0,16
18,8,0,0,0,0,0,5,1,13
19,10,0,0,0,0,0,5,0,7
20,21,4,0,1,0,4,4,0,18
21,7,0,0,0,0,1,11,0,16
23,2,0,0,1,0,3,3,1,12
24,32,0,0,0,0,14,8,0,16
25,31,3,2,5,8,11,0,0,19
26,27,2,0,0,0,1,1,0,20
27,16,2,2,4,4,6,16,0,15
28,17,5,0,1,8,11,0,0,5
29,19,0,1,0,0,0,0,0,0
37,33,6,4,9,12,5,12,2,23
36,0,8,8,3,5,12,18,6,28
