District,State,Year,Case_Type,Annual_Rainfall_mm,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm,Monsoon_Rainfall_mm,Monsoon_Percent,Rainfall_Category,Flood_Risk
49,0,2015,6,1586.3,22.3,18.9,17.2,29.4,67.8,236.1,408.3,362.9,234.4,167.4,48.5,17.9,1409.1,88.8,1,1
49,0,2016,4,1244.5,0.0,0.1,0.0,34.9,58.1,197.8,325.5,282.8,185.5,132.9,25.9,16.6,1124.5,90.4,3,3
49,0,2017,2,1508.8,28.4,15.7,12.5,23.1,68.6,225.0,379.3,317.5,229.9,154.2,48.8,28.4,1305.9,86.6,1,1
49,0,2018,0,737.5,3.2,5.5,13.3,1.6,34.5,115.7,175.7,151.1,105.1,69.7,24.2,5.5,617.3,83.7,0,2
49,0,2019,7,1646.2,4.5,7.7,6.3,37.5,58.4,245.9,403.9,351.9,235.2,169.3,38.5,7.4,1406.2,85.4,1,1
49,0,2020,1,2263.9,32.3,10.6,32.8,33.2,104.9,338.6,580.3,501.2,346.8,212.6,61.4,11.2,1979.5,87.4,2,0
49,0,2021,3,945.2,0.0,4.0,6.9,5.8,43.6,143.8,229.2,208.6,129.6,96.8,41.2,4.0,808.0,85.5,3,2
49,0,2022,5,458.5,0.0,11.1,0.0,0.0,20.9,54.4,124.5,86.0,74.1,39.0,20.8,18.5,378.0,82.4,4,2
49,0,2023,6,1470.8,17.0,17.5,16.9,21.1,72.4,219.0,378.1,329.6,214.5,156.5,41.0,26.1,1297.7,88.2,1,1
49,0,2024,4,1149.9,23.0,17.3,18.3,23.0,59.7,176.8,285.2,256.2,158.1,109.0,39.3,5.2,985.3,85.7,3,2
50,0,2015,4,1107.2,8.9,0.1,5.0,24.2,47.0,168.3,281.4,248.2,164.0,122.6,29.2,9.1,984.5,88.9,3,2
50,0,2016,2,1833.3,27.5,24.4,6.3,49.2,79.8,290.0,447.8,414.4,264.9,186.8,43.7,28.8,1603.9,87.5,2,1
50,0,2017,0,736.9,9.4,4.6,0.0,20.7,28.1,117.2,195.2,176.4,121.2,59.0,17.9,14.3,669.0,90.8,0,2
50,0,2018,7,1314.1,13.8,0.0,4.1,11.8,61.4,188.8,323.9,301.9,203.2,117.4,29.4,16.8,1135.2,86.4,1,3
50,0,2019,1,2314.3,15.3,36.2,26.6,47.4,95.3,354.0,572.9,506.1,338.4,222.0,82.8,30.3,1993.4,86.1,2,0
50,0,2020,3,943.0,1.3,2.1,0.0,16.9,32.1,147.3,232.1,197.8,127.2,81.3,33.7,8.0,785.7,83.3,3,2
50,0,2021,5,403.4,15.9,18.7,0.0,13.0,9.0,46.1,108.6,83.3,57.0,43.0,22.0,7.9,338.0,83.8,4,2
50,0,2022,6,1633.2,9.5,25.3,6.9,46.2,71.0,236.4,421.7,366.2,237.6,154.7,49.5,2.1,1416.6,86.7,1,1
50,0,2023,4,999.5,7.7,6.2,8.9,13.3,42.6,160.8,238.4,220.4,138.9,106.5,26.9,12.0,865.0,86.5,3,2
50,0,2024,2,1461.2,4.0,14.3,10.3,42.4,66.4,226.6,377.4,309.0,220.7,148.7,57.7,8.4,1282.4,87.8,1,1
45,0,2015,2,1633.5,4.3,1.8,29.2,37.8,73.9,238.5,411.0,346.3,244.6,177.7,60.3,11.5,1418.1,86.8,1,1
45,0,2016,0,851.5,0.5,22.0,21.8,26.0,38.0,138.9,206.7,197.8,131.3,70.5,21.0,0.0,745.2,87.5,0,2
45,0,2017,7,1718.7,16.5,17.1,21.4,30.4,57.9,267.5,420.4,378.5,249.5,159.8,62.4,31.4,1475.7,85.9,1,1
45,0,2018,1,2843.5,40.6,36.7,23.4,44.3,111.0,418.5,699.8,612.2,433.3,269.7,93.4,17.8,2433.5,85.6,2,0
45,0,2019,3,938.3,0.0,14.5,1.7,16.4,39.3,151.6,241.4,199.5,129.7,80.5,22.2,2.2,802.7,85.5,3,2
45,0,2020,5,418.6,9.7,10.1,0.0,4.8,7.2,71.5,91.4,98.0,71.2,50.2,5.3,0.4,382.3,91.3,4,2
45,0,2021,6,1674.0,9.9,12.9,7.7,32.3,53.3,260.1,405.8,368.8,245.3,169.7,64.0,21.1,1449.7,86.6,1,1
45,0,2022,4,1045.2,8.4,10.8,11.5,26.3,35.1,145.6,258.1,243.6,147.4,116.6,32.7,9.2,911.3,87.2,3,2
45,0,2023,2,2002.2,18.8,26.7,17.0,52.2,85.8,306.3,495.4,448.2,304.4,192.4,49.9,28.9,1746.7,87.2,2,1
45,0,2024,0,850.8,7.3,11.2,19.2,15.7,47.6,129.9,222.3,199.4,137.1,74.9,29.4,5.5,763.6,89.8,0,2
8,0,2015,0,618.8,3.9,0.0,16.7,0.0,38.5,88.5,150.4,121.6,83.4,58.9,31.4,0.0,502.8,81.3,0,2
8,0,2016,7,1780.3,28.9,16.4,12.6,27.6,74.6,253.0,430.5,389.5,254.1,170.6,45.0,10.4,1497.7,84.1,1,1
8,0,2017,1,2270.1,8.1,11.2,26.3,59.6,105.5,337.8,557.4,503.6,340.2,241.7,55.1,31.2,1980.7,87.3,2,0
8,0,2018,3,1029.2,2.5,15.2,2.7,25.6,41.7,152.1,258.9,220.0,160.6,100.4,26.7,20.2,892.0,86.7,3,2
8,0,2019,5,577.5,0.0,0.0,1.2,21.0,37.7,100.7,156.5,120.9,101.4,50.2,5.5,19.3,529.7,91.7,4,2
8,0,2020,6,1598.0,21.7,2.7,22.9,43.4,57.1,236.1,395.7,359.0,231.8,150.0,46.4,10.1,1372.6,85.9,1,1
8,0,2021,4,1331.8,5.4,13.4,26.6,30.7,64.3,213.0,340.5,299.0,213.8,148.0,38.5,0.4,1214.3,91.2,3,3
8,0,2022,2,1735.7,6.9,14.9,6.3,37.8,65.9,272.2,448.0,383.3,253.6,176.3,64.0,14.6,1533.4,88.3,1,1
8,0,2023,0,765.6,0.8,6.3,4.7,7.8,30.8,109.2,187.6,169.2,122.4,71.6,35.7,18.5,660.0,86.2,0,2
8,0,2024,7,1457.5,7.2,13.0,2.7,24.6,65.5,224.0,368.1,327.0,209.8,141.0,49.0,26.0,1269.9,87.1,1,3
53,0,2015,7,1431.3,7.8,0.2,20.6,13.9,53.4,215.6,370.5,302.6,211.9,128.9,38.2,18.0,1229.5,85.9,1,1
53,0,2016,1,2095.1,12.2,9.4,23.3,47.8,89.0,327.7,508.9,465.3,317.3,212.2,76.7,6.5,1831.4,87.4,2,0
53,0,2017,3,986.3,19.3,10.2,4.9,28.5,27.4,146.2,247.2,222.8,135.7,90.5,26.9,13.6,842.4,85.4,3,2
53,0,2018,5,495.3,8.5,0.0,19.4,21.1,19.9,87.0,125.1,121.7,84.2,63.6,27.5,0.0,481.6,97.2,4,2
53,0,2019,6,1376.7,10.4,27.3,7.8,17.3,66.7,204.9,356.4,292.7,211.3,135.9,28.6,19.7,1201.2,87.3,1,1
53,0,2020,4,1009.9,0.0,0.0,0.0,32.4,47.6,163.4,257.7,223.1,145.6,115.9,26.2,9.2,905.7,89.7,3,2
53,0,2021,2,1563.6,30.0,5.9,10.5,36.7,49.4,237.8,390.2,337.5,226.7,156.8,42.9,14.3,1349.0,86.3,1,1
53,0,2022,0,613.6,20.3,0.0,0.0,7.6,27.3,96.8,150.3,150.0,87.6,68.0,22.5,15.5,552.7,90.1,0,2
53,0,2023,7,1567.5,27.4,23.6,21.6,26.4,52.1,222.0,384.1,342.8,235.8,164.9,60.8,4.2,1349.6,86.1,1,1
53,0,2024,1,1968.6,22.4,27.0,30.1,52.4,93.2,292.3,488.6,422.5,300.8,201.6,69.9,7.6,1705.8,86.7,2,0
22,0,2015,1,2041.0,22.8,12.7,10.5,51.6,68.4,305.3,498.7,447.7,320.6,201.8,71.9,8.9,1774.1,86.9,2,0
22,0,2016,3,811.5,5.2,5.1,13.3,11.6,38.9,125.9,199.9,176.5,125.2,68.3,34.0,12.7,695.8,85.7,3,2
22,0,2017,5,410.0,5.2,0.0,1.3,5.4,11.0,47.4,109.6,78.5,64.7,47.1,16.3,17.9,347.3,84.7,4,2
22,0,2018,6,1221.8,23.2,0.0,13.3,21.6,49.6,179.2,296.2,254.4,183.8,132.5,32.9,3.9,1046.1,85.6,1,3
22,0,2019,4,874.1,0.0,0.4,0.0,10.4,21.9,118.1,229.2,182.2,132.9,95.6,24.9,0.0,758.0,86.7,3,2
22,0,2020,2,1329.8,11.3,14.1,8.8,35.0,60.7,212.3,318.3,304.4,196.2,144.3,45.6,27.9,1175.5,88.4,1,1
