District,State,Year,Case_Type,Annual_Rainfall_mm,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm,Monsoon_Rainfall_mm,Monsoon_Percent,Rainfall_Category,Flood_Risk
Visakhapatnam,Andhra Pradesh,0.0,urban_flood,0.4321379392923426,0.5126436781609196,0.4038461538461538,0.46361185983827485,0.4038461538461538,0.4598743893928821,0.44302514193025133,0.44800950683303625,0.45531105677804945,0.41395071542130374,0.4491719017704169,0.4307282415630551,0.39514348785871967,0.4432855726156687,0.6514522821576763,Excess,High
Visakhapatnam,Andhra Pradesh,0.11111111111111427,normal,0.329820990241274,0.0,0.002136752136752137,0.0,0.47939560439560436,0.3921842288904397,0.3653690186536902,0.34961378490790257,0.3465091007878294,0.31677265500794916,0.35065676756139347,0.23001776198934282,0.3664459161147903,0.34596313647710564,0.7178423236514524,Normal,Medium
Visakhapatnam,Andhra Pradesh,0.22222222222220012,flood,0.4089385140393941,0.6528735632183907,0.33547008547008544,0.33692722371967654,0.31730769230769235,0.46545708304256805,0.4205190592051905,0.41354723707664887,0.3936430317848411,0.40500794912559623,0.41147915476870356,0.4333925399644761,0.6269315673289183,0.4079950757446227,0.5601659751037342,Excess,High
Visakhapatnam,Andhra Pradesh,0.3333333333333144,drought,0.17805184697359755,0.0735632183908046,0.11752136752136752,0.3584905660377358,0.02197802197802198,0.22749476622470347,0.19890510948905107,0.17159833630421867,0.16761749524585712,0.1569952305246423,0.17018846373500857,0.2149200710479574,0.12141280353200884,0.17251991929692576,0.4398340248962658,Deficient,Low
Visakhapatnam,Andhra Pradesh,0.44444444444442865,waterlogging,0.45006884990720225,0.10344827586206896,0.16452991452991453,0.16981132075471697,0.5151098901098901,0.3942777390090719,0.4628953771289538,0.4427807486631016,0.4403694648193426,0.41554054054054057,0.45459737292975444,0.34191829484902314,0.163355408388521,0.44229388229661803,0.5103734439834029,Excess,High
Visakhapatnam,Andhra Pradesh,0.5555555555555429,extreme_flood,0.6349757528587678,0.7425287356321838,0.2264957264957265,0.8840970350404311,0.4560439560439561,0.7187718073970691,0.6508515815085157,0.6524064171122995,0.6431676174952459,0.6373211446740861,0.57824100513992,0.5452930728241564,0.24724061810154527,0.6383407995075745,0.5933609958506225,Extremely Excess,Extreme
Visakhapatnam,Andhra Pradesh,0.6666666666666572,mild,0.24022630665149974,0.0,0.08547008547008547,0.18598382749326145,0.07967032967032966,0.29099790648988144,0.2558799675587997,0.23517528223410578,0.24572127139364303,0.2056836248012719,0.24757281553398056,0.3658969804618118,0.08830022075055188,0.2377321068289847,0.5145228215767634,Normal,Low
Visakhapatnam,Andhra Pradesh,0.7777777777777715,severe_drought,0.0945339160629827,0.0,0.23717948717948717,0.0,0.0,0.1325889741800419,0.07461476074614759,0.11075460487225193,0.07919043738114644,0.09538950715421304,0.0825242718446602,0.18472468916518653,0.40838852097130246,0.09068836986629278,0.385892116182573,Severely Deficient,Low
Visakhapatnam,Andhra Pradesh,0.8888888888888857,urban_flood,0.3975633119798838,0.3908045977011494,0.37393162393162394,0.45552560646900264,0.28983516483516486,0.49197487787857647,0.408353609083536,0.41212121212121217,0.4100787829394187,0.37440381558028624,0.41804683038263846,0.36412078152753113,0.576158940397351,0.405190985876962,0.6265560165975104,Excess,High
Visakhapatnam,Andhra Pradesh,1.0,normal,0.3015027240615458,0.5287356321839081,0.3696581196581197,0.49326145552560646,0.3159340659340659,0.4033496161898117,0.32278994322789945,0.3017231134878194,0.31037761477859277,0.26232114467408585,0.28241005139920045,0.34902309058614567,0.11479028697571746,0.2983620011626714,0.5228215767634858,Normal,Low
Vizianagaram,Andhra Pradesh,0.0,normal,0.2887205891157277,0.2045977011494253,0.002136752136752137,0.1347708894878706,0.3324175824175824,0.3147243545010468,0.3055555555555556,0.2972073677956031,0.2995110024449878,0.2740461049284579,0.3212450028555111,0.2593250444049734,0.20088300220750552,0.298088431419485,0.6556016597510377,Normal,Low
Vizianagaram,Andhra Pradesh,0.11111111111111427,flood,0.5060767526791594,0.632183908045977,0.5213675213675214,0.16981132075471697,0.6758241758241759,0.5436147941381717,0.5523114355231142,0.494949494949495,0.5252648736756316,0.47456279809220986,0.5045688178183896,0.3880994671403198,0.6357615894039735,0.509899805081558,0.5975103734439835,Extremely Excess,High
Vizianagaram,Andhra Pradesh,0.22222222222220012,drought,0.17787223852002632,0.2160919540229885,0.09829059829059829,0.0,0.28434065934065933,0.18283321702721567,0.2019464720194647,0.19477124183006533,0.20198315675088294,0.1889904610492846,0.13963449457452884,0.15896980461811724,0.315673289183223,0.1901993639503471,0.7344398340248963,Deficient,Low
Vizianagaram,Andhra Pradesh,0.3333333333333144,waterlogging,0.3506555708555349,0.31724137931034485,0.0,0.11051212938005389,0.1620879120879121,0.41521284019539434,0.3471208434712084,0.3477124183006536,0.3724531377343113,0.3519475357710652,0.30639634494574525,0.261101243339254,0.37086092715231794,0.3496221317922238,0.5518672199170127,Excess,Medium
