District,State,Drainage_Quality,Drainage_Capacity_Percent,Drainage_Type,Drainage_Network_km,Drain_Coverage_Percent,Blocked_Drains_Percent,Waterlogging_Risk_Drainage,Last_Maintenance_Year,Overflow_Threshold_mm_per_hr,Pump_Stations,Storm_Water_Capacity_m3
49,0,1,61.8,3,789.8,9.3,40.6,2,2021,31.2,3,243253
50,0,2,39.3,0,523.7,57.6,53.3,3,2019,53.7,16,241025
45,0,1,65.6,3,1170.8,68.5,14.5,2,2021,37.8,17,383080
8,0,2,51.0,0,35.4,19.9,23.8,3,2019,39.0,23,338076
53,0,1,63.5,3,1182.9,18.7,9.0,2,2021,38.4,22,241107
22,0,2,38.4,0,1050.8,35.9,3.5,3,2019,34.1,16,426610
11,0,2,44.6,0,569.5,71.8,18.5,3,2019,46.9,6,464661
39,0,2,49.1,0,1038.7,16.0,4.9,3,2019,17.5,11,204901
34,0,2,36.8,0,564.8,43.3,14.7,3,2019,35.6,18,193382
24,0,3,33.5,2,507.0,7.2,12.4,1,2016,13.3,14,294008
17,0,3,28.0,2,429.2,62.9,13.0,1,2016,10.7,21,361627
3,0,3,17.2,2,839.8,50.6,28.9,1,2016,23.2,24,113423
7,0,2,38.5,0,499.5,78.9,35.8,3,2019,20.1,11,376285
1,0,4,5.3,1,716.4,20.8,7.3,0,2010,49.6,15,218915
2,0,1,73.1,3,685.6,82.7,22.1,2,2021,13.7,20,192113
5,0,2,52.2,0,214.7,58.3,14.2,3,2019,35.5,7,127966
9,0,3,26.8,2,237.6,19.4,40.3,1,2016,59.6,14,417042
21,0,3,31.4,2,170.2,33.5,34.0,1,2016,29.7,8,298912
37,0,4,6.5,1,144.0,85.6,38.8,0,2010,54.5,24,178841
44,0,1,72.5,3,28.2,55.4,11.1,2,2021,48.8,23,160990
47,0,2,53.4,0,1179.4,50.6,4.2,3,2019,7.4,14,441867
13,1,0,86.2,4,79.6,45.6,20.6,4,2023,58.4,13,325987
41,1,1,62.3,3,884.8,27.6,41.4,2,2021,9.9,24,170457
29,1,1,68.1,3,25.0,53.2,4.9,2,2021,35.5,6,487420
42,1,3,19.6,2,1190.0,75.2,19.1,1,2016,30.3,21,300980
28,1,2,48.2,0,437.9,25.4,11.1,3,2019,16.5,11,103697
36,1,2,41.1,0,408.7,79.2,33.8,3,2019,39.8,22,329764
18,1,2,44.2,0,515.6,14.3,32.6,3,2019,14.7,12,156288
14,1,3,15.6,2,146.1,36.2,19.7,1,2016,31.8,3,385414
40,1,1,63.6,3,474.4,94.2,13.5,2,2021,5.7,14,157461
19,1,2,43.0,0,61.8,19.2,21.8,3,2019,36.0,18,87866
38,1,3,16.7,2,794.1,18.4,50.3,1,2016,5.9,0,147433
16,1,1,63.2,3,920.0,92.0,2.8,2,2021,30.1,8,329725
30,1,4,14.5,1,525.9,49.3,19.9,0,2010,20.4,14,74203
6,1,2,46.7,0,896.2,12.3,50.8,3,2019,6.5,12,360323
20,1,3,33.6,2,341.2,29.9,15.0,1,2016,38.0,7,365991
32,1,3,31.6,2,1165.8,19.9,39.0,1,2016,51.7,3,153594
46,1,1,58.7,3,213.3,14.4,9.8,2,2021,57.6,13,492746
54,1,2,40.8,0,861.1,67.5,50.7,3,2019,17.7,8,128361
26,1,2,53.1,0,40.7,27.7,10.0,3,2019,22.0,11,301087
31,1,1,62.0,3,444.3,8.5,36.5,2,2021,52.6,1,88670
51,1,3,24.5,2,633.8,82.9,40.8,1,2016,20.7,9,30272
10,1,3,20.9,2,489.8,27.7,22.5,1,2016,29.2,20,371319
33,1,3,34.9,2,385.8,14.0,2.6,1,2016,8.3,8,255603
48,1,3,24.0,2,278.7,40.3,9.8,1,2016,32.0,13,390497
43,1,2,46.5,0,469.2,41.0,19.3,3,2019,20.4,23,3127
15,1,2,53.6,0,917.4,51.2,26.1,3,2019,25.7,24,234321
52,1,2,38.9,0,1007.6,84.9,39.9,3,2019,34.5,5,364313
12,1,1,71.5,3,186.0,89.1,41.5,2,2021,60.0,19,110347
25,1,2,45.3,0,657.3,66.1,46.2,3,2019,28.2,10,67162
35,1,2,48.1,0,503.9,47.7,10.4,3,2019,59.0,23,424564
0,1,3,32.7,2,666.5,37.7,28.0,1,2016,38.3,0,96275
23,1,4,3.7,1,1067.6,34.8,8.1,0,2010,21.8,19,178736
27,1,1,73.2,3,385.0,57.5,27.3,2,2021,33.6,8,431545
4,1,4,12.0,1,257.5,64.9,50.1,0,2010,43.7,19,153830
