District,State,Drainage_Quality,Drainage_Capacity_Percent,Drainage_Type,Drainage_Network_km,Drain_Coverage_Percent,Blocked_Drains_Percent,Waterlogging_Risk_Drainage,Last_Maintenance_Year,Overflow_Threshold_mm_per_hr,Pump_Stations,Storm_Water_Capacity_m3
Visakhapatnam,Andhra Pradesh,Good,0.7042424242424242,Storm Drain,0.6564806866952789,0.024137931034482765,0.7495069033530571,Low,0.846153846153868,0.46961325966850836,0.125,0.4904343989918692
Vizianagaram,Andhra Pradesh,Moderate,0.43151515151515146,Mixed,0.428068669527897,0.5793103448275863,1.0,Medium,0.6923076923077076,0.8839779005524864,0.6666666666666666,0.48588392198832153
Srikakulam,Andhra Pradesh,Good,0.7503030303030302,Storm Drain,0.9835193133047209,0.7045977011494253,0.23471400394477318,Low,0.846153846153868,0.5911602209944751,0.7083333333333333,0.7760176790524878
East Godavari,Andhra Pradesh,Moderate,0.5733333333333334,Mixed,0.00892703862660944,0.14597701149425285,0.4181459566074951,Medium,0.6923076923077076,0.6132596685082874,0.9583333333333333,0.6841013114278653
West Godavari,Andhra Pradesh,Good,0.7248484848484849,Storm Drain,0.9939055793991416,0.132183908045977,0.12623274161735698,Low,0.846153846153868,0.6022099447513813,0.9166666666666666,0.4860513991491343
Krishna,Andhra Pradesh,Moderate,0.4206060606060606,Mixed,0.8805150214592274,0.32988505747126434,0.01775147928994083,Medium,0.6923076923077076,0.5230202578268877,0.6666666666666666,0.8649235425912801
Guntur,Andhra Pradesh,Moderate,0.4957575757575758,Mixed,0.467381974248927,0.7425287356321839,0.3136094674556213,Medium,0.6923076923077076,0.7587476979742174,0.25,0.9426390724216176
Prakasam,Andhra Pradesh,Moderate,0.5503030303030304,Mixed,0.8701287553648068,0.10114942528735632,0.045364891518737675,Medium,0.6923076923077076,0.21731123388581952,0.4583333333333333,0.41210410543708476
Nellore,Andhra Pradesh,Moderate,0.4012121212121212,Mixed,0.4633476394849785,0.41494252873563214,0.23865877712031555,Medium,0.6923076923077076,0.5506445672191529,0.75,0.38857764915168735
Kurnool,Andhra Pradesh,Poor,0.3612121212121212,Open Channel,0.41373390557939915,0.0,0.1932938856015779,High,0.4615384615384812,0.139963167587477,0.5833333333333333,0.5940966343217889
Kadapa,Andhra Pradesh,Poor,0.29454545454545455,Open Channel,0.3469527896995708,0.6402298850574712,0.2051282051282051,High,0.4615384615384812,0.09208103130755063,0.875,0.7322019774559402
Anantapur,Andhra Pradesh,Poor,0.1636363636363636,Open Channel,0.6993991416309012,0.49885057471264366,0.5187376725838264,High,0.4615384615384812,0.32228360957642727,1.0,0.22526903571961054
Chittoor,Andhra Pradesh,Moderate,0.4218181818181818,Mixed,0.4072961373390558,0.8241379310344827,0.6548323471400394,Medium,0.6923076923077076,0.2651933701657459,0.4583333333333333,0.7621395411534274
Alluri Sitharama Raju,Andhra Pradesh,Very Poor,0.019393939393939387,Natural/None,0.5934763948497853,0.15632183908045977,0.09270216962524652,Extreme,0.0,0.8084714548802947,0.625,0.4407263607008715
