District,State,Drainage_Quality,Drainage_Capacity_Percent,Drainage_Type,Drainage_Network_km,Drain_Coverage_Percent,Blocked_Drains_Percent,Waterlogging_Risk_Drainage,Last_Maintenance_Year,Overflow_Threshold_mm_per_hr,Pump_Stations,Storm_Water_Capacity_m3
49,0,1,0.7042424242424242,3,0.6564806866952789,0.0241379310344827,0.7495069033530571,2,0.846153846153868,0.4696132596685083,0.125,0.4904343989918692
50,0,2,0.4315151515151514,0,0.428068669527897,0.5793103448275863,1.0,3,0.6923076923077076,0.8839779005524864,0.6666666666666666,0.4858839219883215
45,0,1,0.7503030303030302,3,0.9835193133047208,0.7045977011494253,0.2347140039447731,2,0.846153846153868,0.5911602209944751,0.7083333333333333,0.7760176790524878
8,0,2,0.5733333333333334,0,0.0089270386266094,0.1459770114942528,0.4181459566074951,3,0.6923076923077076,0.6132596685082874,0.9583333333333331,0.6841013114278653
53,0,1,0.7248484848484849,3,0.9939055793991416,0.132183908045977,0.1262327416173569,2,0.846153846153868,0.6022099447513813,0.9166666666666666,0.4860513991491343
22,0,2,0.4206060606060606,0,0.8805150214592274,0.3298850574712643,0.0177514792899408,3,0.6923076923077076,0.5230202578268877,0.6666666666666666,0.8649235425912801
11,0,2,0.4957575757575758,0,0.467381974248927,0.7425287356321839,0.3136094674556213,3,0.6923076923077076,0.7587476979742174,0.25,0.9426390724216176
39,0,2,0.5503030303030304,0,0.8701287553648068,0.1011494252873563,0.0453648915187376,3,0.6923076923077076,0.2173112338858195,0.4583333333333333,0.4121041054370847
34,0,2,0.4012121212121212,0,0.4633476394849785,0.4149425287356321,0.2386587771203155,3,0.6923076923077076,0.5506445672191529,0.75,0.3885776491516873
24,0,3,0.3612121212121212,2,0.4137339055793991,0.0,0.1932938856015779,1,0.4615384615384812,0.139963167587477,0.5833333333333333,0.5940966343217889
17,0,3,0.2945454545454545,2,0.3469527896995708,0.6402298850574712,0.2051282051282051,1,0.4615384615384812,0.0920810313075506,0.875,0.7322019774559402
3,0,3,0.1636363636363636,2,0.6993991416309012,0.4988505747126436,0.5187376725838264,1,0.4615384615384812,0.3222836095764272,1.0,0.2252690357196105
7,0,2,0.4218181818181818,0,0.4072961373390558,0.8241379310344827,0.6548323471400394,3,0.6923076923077076,0.2651933701657459,0.4583333333333333,0.7621395411534274
1,0,4,0.0193939393939393,1,0.5934763948497853,0.1563218390804597,0.0927021696252465,0,0.0,0.8084714548802947,0.625,0.4407263607008715
2,0,1,0.8412121212121212,3,0.567038626609442,0.867816091954023,0.3846153846153846,2,0.846153846153868,0.147329650092081,0.8333333333333333,0.3859858379678893
5,0,2,0.587878787878788,0,0.162832618025751,0.5873563218390805,0.2287968441814595,3,0.6923076923077076,0.548802946593002,0.2916666666666666,0.2549717229110798
9,0,3,0.2799999999999999,2,0.182489270386266,0.1402298850574712,0.7435897435897435,1,0.4615384615384812,0.992633517495396,0.5833333333333333,0.8453818172905871
21,0,3,0.3357575757575757,2,0.1246351931330471,0.3022988505747126,0.6193293885601577,1,0.4615384615384812,0.4419889502762431,0.3333333333333333,0.6041125855001542
37,0,4,0.0339393939393939,1,0.1021459227467811,0.9011494252873562,0.7140039447731754,0,0.0,0.8987108655616942,1.0,0.3588790467690184
44,0,1,0.833939393939394,3,0.0027467811158798,0.554022988505747,0.1676528599605522,2,0.846153846153868,0.7937384898710866,0.9583333333333331,0.3224200858218329
47,0,2,0.6024242424242424,0,0.990901287553648,0.4988505747126436,0.0315581854043392,3,0.6923076923077076,0.0313075506445672,0.5833333333333333,0.8960845065244608
13,1,0,1.0,4,0.0468669527896995,0.4413793103448276,0.3550295857988166,4,1.0,0.970534069981584,0.5416666666666666,0.6594106846343789
41,1,1,0.7103030303030303,3,0.7380257510729613,0.2344827586206896,0.7652859960552267,2,0.846153846153868,0.0773480662983425,1.0,0.3417555282781101
29,1,1,0.7806060606060605,3,0.0,0.5287356321839081,0.0453648915187376,2,0.846153846153868,0.548802946593002,0.25,0.9891221541647688
42,1,3,0.1927272727272727,2,1.0,0.7816091954022988,0.3254437869822486,1,0.4615384615384812,0.4530386740331492,0.875,0.6083362777996769
28,1,2,0.5393939393939394,0,0.3544206008583691,0.2091954022988505,0.1676528599605522,3,0.6923076923077076,0.1988950276243093,0.4583333333333333,0.2054046105236928
36,1,2,0.4533333333333333,0,0.3293562231759656,0.8275862068965518,0.6153846153846153,3,0.6923076923077076,0.6279926335174955,0.9166666666666666,0.6671248460537683
18,1,2,0.4909090909090909,0,0.4211158798283262,0.0816091954022988,0.591715976331361,3,0.6923076923077076,0.1657458563535911,0.5,0.3128167003322992
14,1,3,0.1442424242424242,2,0.1039484978540772,0.3333333333333333,0.3372781065088757,1,0.4615384615384812,0.4806629834254144,0.125,0.7807846509224519
40,1,1,0.7260606060606061,3,0.3857510729613733,1.0,0.2149901380670611,2,0.846153846153868,0.0,0.5833333333333333,0.3152124406936822
19,1,2,0.4763636363636364,0,0.031587982832618,0.1379310344827586,0.378698224852071,3,0.6923076923077076,0.5580110497237569,0.75,0.1730713064648226
38,1,3,0.1575757575757575,2,0.6601716738197425,0.128735632183908,0.9408284023668638,1,0.4615384615384812,0.003683241252302,0.0,0.2947312093689174
16,1,1,0.7212121212121213,3,0.7682403433476395,0.974712643678161,0.0039447731755423,2,0.846153846153868,0.4493554327808471,0.3333333333333333,0.6670451922821622
30,1,4,0.1309090909090909,1,0.4299570815450643,0.4839080459770115,0.3412228796844181,0,0.0,0.2707182320441988,0.5833333333333333,0.1451659351454906
6,1,2,0.5212121212121212,0,0.7478111587982833,0.0586206896551724,0.95069033530572,3,0.6923076923077076,0.0147329650092081,0.5,0.7295386821181368
20,1,3,0.3624242424242424,2,0.2714163090128755,0.260919540229885,0.2445759368836292,1,0.4615384615384812,0.5948434622467773,0.2916666666666666,0.7411150302582211
32,1,3,0.3381818181818182,2,0.9792274678111588,0.1459770114942528,0.717948717948718,1,0.4615384615384812,0.847145488029466,0.125,0.3073144628782788
46,1,1,0.6666666666666667,3,0.1616309012875536,0.0827586206896551,0.1420118343195266,2,0.846153846153868,0.9558011049723758,0.5416666666666666,1.0
54,1,2,0.4496969696969696,0,0.7176824034334763,0.693103448275862,0.9487179487179488,3,0.6923076923077076,0.2209944751381215,0.3333333333333333,0.2557784726491415
26,1,2,0.5987878787878789,0,0.0134763948497854,0.2356321839080459,0.145956607495069,3,0.6923076923077076,0.3001841620626151,0.4583333333333333,0.6085548150704936
31,1,1,0.7066666666666667,3,0.3599141630901287,0.0149425287356321,0.6686390532544378,2,0.846153846153868,0.8637200736648252,0.0416666666666666,0.1747133996025481
