District,State,Mean_Elevation_m,Min_Elevation_m,Max_Elevation_m,Elevation_Std_Dev,Terrain_Type,Flood_Risk_Elevation,Inundation_Depth_Potential_m
Visakhapatnam,Andhra Pradesh,120,12,335,84.3,Plains,Medium,0.0
Vizianagaram,Andhra Pradesh,549,500,591,115.1,Hilly/Highland,Low,0.0
Srikakulam,Andhra Pradesh,35,1,102,32.0,Low Plains,High,2.17
East Godavari,Andhra Pradesh,18,3,246,56.8,Coastal/Delta,High,2.73
West Godavari,Andhra Pradesh,12,1,377,130.8,Coastal/Delta,Extreme,2.93
Krishna,Andhra Pradesh,14,1,158,131.8,Coastal/Delta,Extreme,2.87
Guntur,Andhra Pradesh,30,1,60,126.5,Low Plains,High,2.33
Prakasam,Andhra Pradesh,589,572,906,100.9,Hilly/Highland,Low,0.0
Nellore,Andhra Pradesh,8,1,185,80.1,Coastal/Delta,Extreme,3.07
Kurnool,Andhra Pradesh,280,169,355,73.5,Plateau,Low,0.0
Kadapa,Andhra Pradesh,316,245,605,7.8,Plateau,Low,0.0
Anantapur,Andhra Pradesh,350,339,628,26.4,Plateau,Low,0.0
Chittoor,Andhra Pradesh,300,250,588,118.1,Plateau,Low,0.0
Alluri Sitharama Raju,Andhra Pradesh,650,605,1023,113.9,Hilly/Highland,Low,0.0
Anakapalli,Andhra Pradesh,258,188,495,141.0,Plateau,Low,0.0
Bapatla,Andhra Pradesh,10,1,405,143.4,Coastal/Delta,Extreme,3.0
Eluru,Andhra Pradesh,25,1,399,124.2,Low Plains,High,2.5
Konaseema,Andhra Pradesh,5,1,279,32.2,Coastal/Delta,Extreme,3.17
Parvathipuram Manyam,Andhra Pradesh,580,541,758,57.0,Hilly/Highland,Low,0.0
Sri Sathya Sai,Andhra Pradesh,51,30,81,36.6,Low Plains,High,1.63
Tirupati,Andhra Pradesh,160,55,451,77.8,Plains,Low,0.0
Hyderabad,Telangana,536,461,731,105.6,Hilly/Highland,Low,0.0
Rangareddy,Telangana,560,472,667,111.8,Hilly/Highland,Low,0.0
Medchal Malkajgiri,Telangana,580,481,925,64.6,Hilly/Highland,Low,0.0
Sangareddy,Telangana,459,364,830,5.8,Hilly/Highland,Low,0.0
Medak,Telangana,77,45,273,37.8,Low Plains,Medium,0.77
Nizamabad,Telangana,380,353,770,87.1,Plateau,Low,0.0
Kamareddy,Telangana,605,581,1003,90.0,Hilly/Highland,Low,0.0
Jagtial,Telangana,179,105,325,85.7,Plains,Low,0.0
Rajanna Sircilla,Telangana,442,423,673,138.0,Hilly/Highland,Low,0.0
Karimnagar,Telangana,320,209,685,24.2,Plateau,Low,0.0
Peddapalli,Telangana,398,318,592,60.9,Plateau,Low,0.0
Jayashankar Bhupalpally,Telangana,155,112,373,72.5,Plains,Low,0.0
Mulugu,Telangana,480,428,637,41.9,Hilly/Highland,Low,0.0
Bhadradri Kothagudem,Telangana,110,5,192,124.4,Plains,Medium,0.0
Khammam,Telangana,95,1,225,144.0,Plains,Medium,0.17
Nalgonda,Telangana,360,304,543,120.2,Plateau,Low,0.0
Suryapet,Telangana,104,69,291,85.5,Plains,Medium,0.0
Yadadri Bhuvanagiri,Telangana,584,539,928,14.6,Hilly/Highland,Low,0.0
Mahabubnagar,Telangana,640,606,693,26.9,Hilly/Highland,Low,0.0
Nagarkurnool,Telangana,658,643,913,77.1,Hilly/Highland,Low,0.0
Wanaparthy,Telangana,152,70,201,86.6,Plains,Low,0.0
Gadwal,Telangana,291,251,380,132.8,Plateau,Low,0.0
Narayanpet,Telangana,604,537,981,64.2,Hilly/Highland,Low,0.0
Vikarabad,Telangana,300,258,578,78.6,Plateau,Low,0.0
Siddipet,Telangana,599,531,981,44.7,Hilly/Highland,Low,0.0
Jangaon,Telangana,134,50,256,146.0,Plains,Medium,0.0
Warangal,Telangana,302,274,698,14.7,Plateau,Low,0.0
Hanamkonda,Telangana,233,218,408,58.5,Plateau,Low,0.0
Mahabubabad,Telangana,91,28,283,135.5,Plains,Medium,0.3
Nirmal,Telangana,366,276,581,72.1,Plateau,Low,0.0
Adilabad,Telangana,230,167,482,33.6,Plateau,Low,0.0
Kumuram Bheem,Telangana,350,264,536,116.2,Plateau,Low,0.0
Mancherial,Telangana,632,526,924,121.1,Hilly/Highland,Low,0.0
Asifabad,Telangana,235,178,557,50.4,Plateau,Low,0.0
