District,State,Mean_Elevation_m,Min_Elevation_m,Max_Elevation_m,Elevation_Std_Dev,Terrain_Type,Flood_Risk_Elevation,Inundation_Depth_Potential_m
49,0,120,12,335,84.3,3,3,0.0
50,0,549,500,591,115.1,1,2,0.0
45,0,35,1,102,32.0,2,1,2.17
8,0,18,3,246,56.8,0,1,2.73
53,0,12,1,377,130.8,0,0,2.93
22,0,14,1,158,131.8,0,0,2.87
11,0,30,1,60,126.5,2,1,2.33
39,0,589,572,906,100.9,1,2,0.0
34,0,8,1,185,80.1,0,0,3.07
24,0,280,169,355,73.5,4,2,0.0
17,0,316,245,605,7.8,4,2,0.0
3,0,350,339,628,26.4,4,2,0.0
7,0,300,250,588,118.1,4,2,0.0
1,0,650,605,1023,113.9,1,2,0.0
2,0,258,188,495,141.0,4,2,0.0
5,0,10,1,405,143.4,0,0,3.0
9,0,25,1,399,124.2,2,1,2.5
21,0,5,1,279,32.2,0,0,3.17
37,0,580,541,758,57.0,1,2,0.0
44,0,51,30,81,36.6,2,1,1.63
47,0,160,55,451,77.8,3,2,0.0
13,1,536,461,731,105.6,1,2,0.0
41,1,560,472,667,111.8,1,2,0.0
29,1,580,481,925,64.6,1,2,0.0
42,1,459,364,830,5.8,1,2,0.0
28,1,77,45,273,37.8,2,3,0.77
36,1,380,353,770,87.1,4,2,0.0
18,1,605,581,1003,90.0,1,2,0.0
14,1,179,105,325,85.7,3,2,0.0
40,1,442,423,673,138.0,1,2,0.0
19,1,320,209,685,24.2,4,2,0.0
38,1,398,318,592,60.9,4,2,0.0
16,1,155,112,373,72.5,3,2,0.0
30,1,480,428,637,41.9,1,2,0.0
6,1,110,5,192,124.4,3,3,0.0
20,1,95,1,225,144.0,3,3,0.17
32,1,360,304,543,120.2,4,2,0.0
46,1,104,69,291,85.5,3,3,0.0
54,1,584,539,928,14.6,1,2,0.0
26,1,640,606,693,26.9,1,2,0.0
31,1,658,643,913,77.1,1,2,0.0
51,1,152,70,201,86.6,3,2,0.0
10,1,291,251,380,132.8,4,2,0.0
33,1,604,537,981,64.2,1,2,0.0
48,1,300,258,578,78.6,4,2,0.0
43,1,599,531,981,44.7,1,2,0.0
15,1,134,50,256,146.0,3,3,0.0
52,1,302,274,698,14.7,4,2,0.0
12,1,233,218,408,58.5,4,2,0.0
25,1,91,28,283,135.5,3,3,0.3
35,1,366,276,581,72.1,4,2,0.0
0,1,230,167,482,33.6,4,2,0.0
23,1,350,264,536,116.2,4,2,0.0
27,1,632,526,924,121.1,1,2,0.0
4,1,235,178,557,50.4,4,2,0.0
