District,State,Mean_Elevation_m,Min_Elevation_m,Max_Elevation_m,Elevation_Std_Dev,Terrain_Type,Flood_Risk_Elevation,Inundation_Depth_Potential_m
Visakhapatnam,Andhra Pradesh,0.17611026033690658,0.017133956386292833,0.2855659397715472,0.5599144079885878,Plains,Medium,0.0
Vizianagaram,Andhra Pradesh,0.8330781010719754,0.7772585669781932,0.5514018691588785,0.7796005706134095,Hilly/Highland,Low,0.0
Srikakulam,Andhra Pradesh,0.04594180704441042,0.0,0.04361370716510903,0.18687589158345222,Low Plains,High,0.6845425867507886
East Godavari,Andhra Pradesh,0.01990811638591118,0.0031152647975077876,0.19314641744548283,0.3637660485021398,Coastal/Delta,High,0.861198738170347
West Godavari,Andhra Pradesh,0.010719754977029098,0.0,0.32917964693665624,0.891583452211127,Coastal/Delta,Extreme,0.9242902208201893
Krishna,Andhra Pradesh,0.013782542113323124,0.0,0.10176531671858774,0.898716119828816,Coastal/Delta,Extreme,0.9053627760252366
Guntur,Andhra Pradesh,0.03828483920367534,0.0,0.0,0.8609129814550642,Low Plains,High,0.7350157728706624
Prakasam,Andhra Pradesh,0.8943338437978561,0.8894080996884736,0.8785046728971962,0.6783166904422255,Hilly/Highland,Low,0.0
Nellore,Andhra Pradesh,0.004594180704441042,0.0,0.12980269989615784,0.5299572039942939,Coastal/Delta,Extreme,0.9684542586750787
Kurnool,Andhra Pradesh,0.42113323124042884,0.2616822429906542,0.3063343717549325,0.4828815977175464,Plateau,Low,0.0
Kadapa,Andhra Pradesh,0.47626339969372133,0.38006230529595014,0.5659397715472482,0.014265335235378034,Plateau,Low,0.0
Anantapur,Andhra Pradesh,0.5283307810107197,0.5264797507788163,0.5898234683281413,0.14693295292439373,Plateau,Low,0.0
Chittoor,Andhra Pradesh,0.4517611026033691,0.3878504672897196,0.5482866043613707,0.8009985734664764,Plateau,Low,0.0
Alluri Sitharama Raju,Andhra Pradesh,0.9877488514548239,0.940809968847352,1.0,0.7710413694721827,Hilly/Highland,Low,0.0
Anakapalli,Andhra Pradesh,0.38744257274119454,0.29127725856697817,0.4517133956386292,0.964336661911555,Plateau,Low,0.0
