District,State,Flood_Threshold_Daily_mm,Flood_Threshold_3Day_mm,Flood_Threshold_Weekly_mm,Flood_Threshold_Annual_mm,Waterlogging_Threshold_mm,Extreme_Flood_Threshold_mm,Historical_Max_Daily_Rainfall_mm,Base_Flood_Risk,IMD_Category_At_Threshold,Return_Period_Years,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm
49,0,127.5,357.0,573.8,1020.0,76.5,229.5,501.5,1,0,2,63.8,95.6,127.5,191.2
50,0,63.0,176.4,283.5,504.0,37.8,113.4,205.2,0,1,10,31.5,47.2,63.0,94.5
45,0,75.9,212.5,341.6,607.2,45.5,136.6,155.3,0,2,5,38.0,56.9,75.9,113.9
8,0,60.0,168.0,270.0,480.0,36.0,108.0,170.5,0,1,10,30.0,45.0,60.0,90.0
53,0,55.0,154.0,247.5,440.0,33.0,99.0,219.1,0,1,2,27.5,41.2,55.0,82.5
22,0,65.0,182.0,292.5,520.0,39.0,117.0,141.0,0,2,25,32.5,48.8,65.0,97.5
11,0,80.0,224.0,360.0,640.0,48.0,144.0,164.8,2,2,5,40.0,60.0,80.0,120.0
39,0,71.1,199.1,319.9,568.8,42.7,128.0,224.8,0,2,10,35.5,53.3,71.1,106.6
34,0,70.0,196.0,315.0,560.0,42.0,126.0,176.5,0,2,10,35.0,52.5,70.0,105.0
24,0,120.0,336.0,540.0,960.0,72.0,216.0,423.2,1,0,25,60.0,90.0,120.0,180.0
17,0,115.0,322.0,517.5,920.0,69.0,207.0,362.0,2,2,5,57.5,86.2,115.0,172.5
3,0,130.0,364.0,585.0,1040.0,78.0,234.0,412.7,1,0,10,65.0,97.5,130.0,195.0
7,0,105.0,294.0,472.5,840.0,63.0,189.0,388.5,2,2,10,52.5,78.8,105.0,157.5
1,0,140.0,392.0,630.0,1120.0,84.0,252.0,320.2,1,0,50,70.0,105.0,140.0,210.0
2,0,151.7,424.8,682.6,1213.6,91.0,273.1,424.9,1,0,2,75.8,113.8,151.7,227.5
5,0,58.0,162.4,261.0,464.0,34.8,104.4,167.9,0,1,5,29.0,43.5,58.0,87.0
9,0,83.7,234.4,376.7,669.6,50.2,150.7,170.2,2,2,10,41.9,62.8,83.7,125.6
21,0,50.0,140.0,225.0,400.0,30.0,90.0,178.8,0,1,5,25.0,37.5,50.0,75.0
37,0,150.0,420.0,675.0,1200.0,90.0,270.0,485.1,1,0,10,75.0,112.5,150.0,225.0
44,0,105.7,296.0,475.7,845.6,63.4,190.3,410.9,2,2,10,52.9,79.3,105.7,158.6
47,0,102.9,288.1,463.1,823.2,61.7,185.2,266.6,2,2,100,51.5,77.2,102.9,154.4
13,1,75.0,210.0,337.5,600.0,45.0,135.0,223.7,0,2,10,37.5,56.2,75.0,112.5
41,1,78.0,218.4,351.0,624.0,46.8,140.4,292.1,0,2,5,39.0,58.5,78.0,117.0
29,1,72.0,201.6,324.0,576.0,43.2,129.6,180.1,0,2,25,36.0,54.0,72.0,108.0
42,1,147.1,411.9,661.9,1176.8,88.3,264.8,359.2,1,0,2,73.5,110.3,147.1,220.6
28,1,79.5,222.6,357.8,636.0,47.7,143.1,200.9,0,2,50,39.8,59.6,79.5,119.2
36,1,95.0,266.0,427.5,760.0,57.0,171.0,345.9,2,2,25,47.5,71.2,95.0,142.5
18,1,153.4,429.5,690.3,1227.2,92.0,276.1,467.7,1,0,100,76.7,115.1,153.4,230.1
14,1,107.8,301.8,485.1,862.4,64.7,194.0,287.5,2,2,10,53.9,80.8,107.8,161.7
40,1,100.3,280.8,451.3,802.4,60.2,180.5,269.4,2,2,5,50.1,75.2,100.3,150.4
19,1,153.4,429.5,690.3,1227.2,92.0,276.1,499.0,1,0,5,76.7,115.1,153.4,230.1
38,1,123.7,346.4,556.6,989.6,74.2,222.7,250.8,1,0,25,61.9,92.8,123.7,185.6
16,1,103.1,288.7,463.9,824.8,61.9,185.6,227.4,2,2,25,51.5,77.3,103.1,154.6
30,1,135.0,378.0,607.5,1080.0,81.0,243.0,282.9,1,0,50,67.5,101.2,135.0,202.5
6,1,155.8,436.2,701.1,1246.4,93.5,280.4,340.0,1,0,25,77.9,116.9,155.8,233.7
20,1,85.0,238.0,382.5,680.0,51.0,153.0,263.0,2,2,10,42.5,63.8,85.0,127.5
32,1,82.7,231.6,372.2,661.6,49.6,148.9,178.6,2,2,5,41.4,62.0,82.7,124.1
46,1,92.8,259.8,417.6,742.4,55.7,167.0,370.8,2,2,10,46.4,69.6,92.8,139.2
54,1,111.7,312.8,502.7,893.6,67.0,201.1,359.7,2,2,25,55.9,83.8,111.7,167.6
26,1,110.0,308.0,495.0,880.0,66.0,198.0,433.1,2,2,25,55.0,82.5,110.0,165.0
31,1,158.6,444.1,713.7,1268.8,95.2,285.5,484.4,1,0,50,79.3,118.9,158.6,237.9
51,1,114.8,321.4,516.6,918.4,68.9,206.6,239.0,2,2,10,57.4,86.1,114.8,172.2
10,1,83.0,232.4,373.5,664.0,49.8,149.4,178.4,2,2,10,41.5,62.2,83.0,124.5
33,1,104.5,292.6,470.2,836.0,62.7,188.1,345.9,2,2,5,52.2,78.4,104.5,156.8
48,1,88.7,248.4,399.2,709.6,53.2,159.7,278.6,2,2,100,44.4,66.5,88.7,133.1
43,1,75.2,210.6,338.4,601.6,45.1,135.4,209.7,0,2,10,37.6,56.4,75.2,112.8
15,1,121.2,339.4,545.4,969.6,72.7,218.2,304.2,1,0,10,60.6,90.9,121.2,181.8
52,1,90.0,252.0,405.0,720.0,54.0,162.0,214.8,2,2,25,45.0,67.5,90.0,135.0
12,1,131.5,368.2,591.8,1052.0,78.9,236.7,415.0,1,0,2,65.8,98.6,131.5,197.2
25,1,114.2,319.8,513.9,913.6,68.5,205.6,367.7,2,2,2,57.1,85.7,114.2,171.3
35,1,145.6,407.7,655.2,1164.8,87.4,262.1,324.9,1,0,50,72.8,109.2,145.6,218.4
0,1,100.0,280.0,450.0,800.0,60.0,180.0,246.6,2,2,100,50.0,75.0,100.0,150.0
23,1,159.1,445.5,715.9,1272.8,95.5,286.4,589.4,1,0,5,79.5,119.3,159.1,238.6
27,1,155.8,436.2,701.1,1246.4,93.5,280.4,610.7,1,0,100,77.9,116.9,155.8,233.7
4,1,76.8,215.0,345.6,614.4,46.1,138.2,243.8,0,2,100,38.4,57.6,76.8,115.2
