District,State,Flood_Threshold_Daily_mm,Flood_Threshold_3Day_mm,Flood_Threshold_Weekly_mm,Flood_Threshold_Annual_mm,Waterlogging_Threshold_mm,Extreme_Flood_Threshold_mm,Historical_Max_Daily_Rainfall_mm,Base_Flood_Risk,IMD_Category_At_Threshold,Return_Period_Years,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm
Visakhapatnam,Andhra Pradesh,0.7103574702108157,0.7103109656301145,0.710531676512528,0.7103574702108157,0.7099236641221375,0.710285132382892,0.767511177347243,Low,Extremely Heavy,0.0,0.7119266055045871,0.7102689486552567,0.7103574702108157,0.7102689486552567
Vizianagaram,Andhra Pradesh,0.11915673693858841,0.11914893617021277,0.11916887349765731,0.11915673693858841,0.11908396946564881,0.11914460285132383,0.1366829891420055,High,Heavy,0.08163265306122448,0.11926605504587162,0.11858190709046462,0.11915673693858841,0.11919315403422986
Srikakulam,Andhra Pradesh,0.237396883593034,0.23731587561374795,0.23752291709105727,0.237396883593034,0.23664122137404575,0.23727087576374745,0.030444964871194413,High,Very Heavy,0.03061224489795918,0.23853211009174313,0.23716381418092908,0.237396883593034,0.23777506112469443
East Godavari,Andhra Pradesh,0.09165902841429885,0.09165302782324053,0.09166836422896724,0.09165902841429885,0.09160305343511455,0.0916496945010184,0.06280604641260379,High,Heavy,0.08163265306122448,0.09174311926605505,0.09168704156479218,0.09165902841429885,0.09168704156479218
West Godavari,Andhra Pradesh,0.045829514207149424,0.04582651391162024,0.04583418211448359,0.045829514207149424,0.04580152671755722,0.045824847250509226,0.16627634660421542,High,Heavy,0.0,0.04587155963302758,0.045232273838630876,0.045829514207149424,0.04584352078239612
Krishna,Andhra Pradesh,0.13748854262144827,0.13747954173486093,0.13750254634345077,0.13748854262144827,0.13740458015267176,0.13747454175152746,0.0,High,Very Heavy,0.23469387755102042,0.13761467889908252,0.1381418092909535,0.13748854262144827,0.13753056234718825
Guntur,Andhra Pradesh,0.27497708524289644,0.2749590834697218,0.2750050926869016,0.27497708524289644,0.2748091603053435,0.27494908350305497,0.05067064083457529,Medium,Very Heavy,0.03061224489795918,0.27522935779816515,0.27506112469437655,0.27497708524289644,0.27506112469437655
Prakasam,Andhra Pradesh,0.19340054995417044,0.19345335515548284,0.19331839478508855,0.19340054995417044,0.19389312977099238,0.19348268839103872,0.17841175218224398,High,Very Heavy,0.08163265306122448,0.19266055045871566,0.19315403422982885,0.19340054995417044,0.19315403422982885
Nellore,Andhra Pradesh,0.1833180568285976,0.18330605564648123,0.18333672845793442,0.1833180568285976,0.18320610687022898,0.18329938900203663,0.07558015754737063,High,Very Heavy,0.08163265306122448,0.1834862385321101,0.18337408312958442,0.1833180568285976,0.18337408312958442
Kurnool,Andhra Pradesh,0.6416131989000917,0.6415711947626841,0.6416785496027706,0.6416131989000917,0.6412213740458016,0.6415478615071284,0.6008090270385351,Low,Extremely Heavy,0.23469387755102042,0.6422018348623854,0.6418092909535453,0.6416131989000917,0.6418092909535453
Kadapa,Andhra Pradesh,0.5957836846929423,0.5957446808510638,0.595844367488287,0.5957836846929423,0.5954198473282443,0.5957230142566192,0.47051309346391307,Medium,Very Heavy,0.03061224489795918,0.5963302752293579,0.595354523227384,0.5957836846929423,0.5959657701711492
Anantapur,Andhra Pradesh,0.7332722273143906,0.7332242225859249,0.7333469138317377,0.7332722273143906,0.732824427480916,0.7331975560081465,0.5784543325526932,Low,Extremely Heavy,0.08163265306122448,0.7339449541284403,0.7334963325183375,0.7332722273143906,0.7334963325183375
Chittoor,Andhra Pradesh,0.5041246562786434,0.5040916530278232,0.5041760032593197,0.5041246562786434,0.5038167938931297,0.5040733197556009,0.5269320843091334,Medium,Very Heavy,0.08163265306122448,0.5045871559633027,0.5048899755501222,0.5041246562786434,0.504278728606357
Alluri Sitharama Raju,Andhra Pradesh,0.8249312557286892,0.8248772504091655,0.825015278060705,0.8249312557286892,0.8244274809160305,0.8248472505091649,0.3815201192250372,Low,Extremely Heavy,0.4897959183673469,0.8256880733944955,0.8251833740831298,0.8249312557286892,0.8251833740831298
Anakapalli,Andhra Pradesh,0.9321723189734188,0.9322422258592473,0.9321654104705643,0.9321723189734188,0.931297709923664,0.9322810590631365,0.6044283585267192,Low,Extremely Heavy,0.0,0.9321100917431192,0.9327628361858191,0.9321723189734188,0.932151589242054
Bapatla,Andhra Pradesh,0.0733272227314391,0.07332242225859248,0.07333469138317378,0.0733272227314391,0.07328244274809159,0.07331975560081466,0.05727059825420483,High,Heavy,0.03061224489795918,0.07339449541284404,0.07334963325183369,0.0733272227314391,0.07334963325183369
Eluru,Andhra Pradesh,0.30889092575618704,0.3090016366612111,0.3090242411896516,0.30889092575618704,0.3083969465648855,0.3090631364562118,0.062167340855865394,Medium,Very Heavy,0.08163265306122448,0.310091743119266,0.30929095354523223,0.30889092575618704,0.30929095354523223
Konaseema,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0804769001490313,High,Heavy,0.03061224489795918,0.0,0.0,0.0,0.0
Parvathipuram Manyam,Andhra Pradesh,0.916590284142988,0.9165302782324061,0.9166836422896723,0.916590284142988,0.9160305343511449,0.9164969450101832,0.7325952735788801,Low,Extremely Heavy,0.08163265306122448,0.9174311926605506,0.9168704156479219,0.916590284142988,0.9168704156479219
Sri Sathya Sai,Andhra Pradesh,0.5105407882676444,0.5106382978723405,0.5106946424933796,0.5105407882676444,0.5099236641221374,0.5106924643584523,0.574622099212263,Medium,Very Heavy,0.08163265306122448,0.5119266055045871,0.511002444987775,0.5105407882676444,0.511002444987775
Tirupati,Andhra Pradesh,0.48487626031164077,0.4847790507364977,0.48502750050926874,0.48487626031164077,0.483969465648855,0.4847250509164969,0.26740472642111984,Medium,Very Heavy,1.0,0.4862385321100918,0.48533007334963335,0.48487626031164077,0.48533007334963335
Hyderabad,Telangana,0.229147571035747,0.22913256955810152,0.22917091057241806,0.229147571035747,0.2290076335877862,0.2291242362525458,0.17606983180753666,High,Very Heavy,0.08163265306122448,0.22935779816513768,0.22860635696821524,0.229147571035747,0.22921760391198048
Rangareddy,Telangana,0.2566452795600367,0.25662847790507365,0.25667141984110814,0.2566452795600367,0.25648854961832057,0.25661914460285135,0.32169469874387907,High,Very Heavy,0.03061224489795918,0.25688073394495414,0.25672371638141817,0.2566452795600367,0.25672371638141817
Medchal Malkajgiri,Telangana,0.20164986251145733,0.20163666121112928,0.20167040130372788,0.20164986251145733,0.20152671755725193,0.20162932790224036,0.08324462422823076,High,Very Heavy,0.23469387755102042,0.2018348623853211,0.2017114914425428,0.20164986251145733,0.2017114914425428
