District,State,Flood_Threshold_Daily_mm,Flood_Threshold_3Day_mm,Flood_Threshold_Weekly_mm,Flood_Threshold_Annual_mm,Waterlogging_Threshold_mm,Extreme_Flood_Threshold_mm,Historical_Max_Daily_Rainfall_mm,Base_Flood_Risk,IMD_Category_At_Threshold,Return_Period_Years,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm
49,0,0.7103574702108157,0.7103109656301145,0.710531676512528,0.7103574702108157,0.7099236641221375,0.710285132382892,0.767511177347243,1,0,0.0,0.7119266055045871,0.7102689486552567,0.7103574702108157,0.7102689486552567
50,0,0.1191567369385884,0.1191489361702127,0.1191688734976573,0.1191567369385884,0.1190839694656488,0.1191446028513238,0.1366829891420055,0,1,0.0816326530612244,0.1192660550458716,0.1185819070904646,0.1191567369385884,0.1191931540342298
45,0,0.237396883593034,0.2373158756137479,0.2375229170910572,0.237396883593034,0.2366412213740457,0.2372708757637474,0.0304449648711944,0,2,0.0306122448979591,0.2385321100917431,0.237163814180929,0.237396883593034,0.2377750611246944
8,0,0.0916590284142988,0.0916530278232405,0.0916683642289672,0.0916590284142988,0.0916030534351145,0.0916496945010184,0.0628060464126037,0,1,0.0816326530612244,0.091743119266055,0.0916870415647921,0.0916590284142988,0.0916870415647921
53,0,0.0458295142071494,0.0458265139116202,0.0458341821144835,0.0458295142071494,0.0458015267175572,0.0458248472505092,0.1662763466042154,0,1,0.0,0.0458715596330275,0.0452322738386308,0.0458295142071494,0.0458435207823961
22,0,0.1374885426214482,0.1374795417348609,0.1375025463434507,0.1374885426214482,0.1374045801526717,0.1374745417515274,0.0,0,2,0.2346938775510204,0.1376146788990825,0.1381418092909535,0.1374885426214482,0.1375305623471882
11,0,0.2749770852428964,0.2749590834697218,0.2750050926869016,0.2749770852428964,0.2748091603053435,0.2749490835030549,0.0506706408345752,2,2,0.0306122448979591,0.2752293577981651,0.2750611246943765,0.2749770852428964,0.2750611246943765
39,0,0.1934005499541704,0.1934533551554828,0.1933183947850885,0.1934005499541704,0.1938931297709923,0.1934826883910387,0.1784117521822439,0,2,0.0816326530612244,0.1926605504587156,0.1931540342298288,0.1934005499541704,0.1931540342298288
34,0,0.1833180568285976,0.1833060556464812,0.1833367284579344,0.1833180568285976,0.1832061068702289,0.1832993890020366,0.0755801575473706,0,2,0.0816326530612244,0.1834862385321101,0.1833740831295844,0.1833180568285976,0.1833740831295844
24,0,0.6416131989000917,0.6415711947626841,0.6416785496027706,0.6416131989000917,0.6412213740458016,0.6415478615071284,0.6008090270385351,1,0,0.2346938775510204,0.6422018348623854,0.6418092909535453,0.6416131989000917,0.6418092909535453
17,0,0.5957836846929423,0.5957446808510638,0.595844367488287,0.5957836846929423,0.5954198473282443,0.5957230142566192,0.470513093463913,2,2,0.0306122448979591,0.5963302752293579,0.595354523227384,0.5957836846929423,0.5959657701711492
3,0,0.7332722273143906,0.7332242225859249,0.7333469138317377,0.7332722273143906,0.732824427480916,0.7331975560081465,0.5784543325526932,1,0,0.0816326530612244,0.7339449541284403,0.7334963325183375,0.7332722273143906,0.7334963325183375
7,0,0.5041246562786434,0.5040916530278232,0.5041760032593197,0.5041246562786434,0.5038167938931297,0.5040733197556009,0.5269320843091334,2,2,0.0816326530612244,0.5045871559633027,0.5048899755501222,0.5041246562786434,0.504278728606357
1,0,0.8249312557286892,0.8248772504091655,0.825015278060705,0.8249312557286892,0.8244274809160305,0.8248472505091649,0.3815201192250372,1,0,0.4897959183673469,0.8256880733944955,0.8251833740831298,0.8249312557286892,0.8251833740831298
2,0,0.9321723189734188,0.9322422258592472,0.9321654104705644,0.9321723189734188,0.931297709923664,0.9322810590631364,0.6044283585267192,1,0,0.0,0.9321100917431192,0.9327628361858192,0.9321723189734188,0.932151589242054
5,0,0.0733272227314391,0.0733224222585924,0.0733346913831737,0.0733272227314391,0.0732824427480915,0.0733197556008146,0.0572705982542048,0,1,0.0306122448979591,0.073394495412844,0.0733496332518336,0.0733272227314391,0.0733496332518336
9,0,0.308890925756187,0.3090016366612111,0.3090242411896516,0.308890925756187,0.3083969465648855,0.3090631364562118,0.0621673408558653,2,2,0.0816326530612244,0.310091743119266,0.3092909535452322,0.308890925756187,0.3092909535452322
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804769001490313,0,1,0.0306122448979591,0.0,0.0,0.0,0.0
