District,State,Year,Case_Type,Annual_Rainfall_mm,Flood_Occurred,Flood_Severity,Waterlogging_Days,Waterlogging_Severity,Affected_Villages,Affected_Population,Deaths,Cattle_Lost,Crop_Area_Damaged_Hectares,Economic_Loss_Crores,Relief_Camps,NDRF_Deployed
Visakhapatnam,Andhra Pradesh,2015,urban_flood,1577.3,1,Moderate,31,Severe,490,418992,63,4761,41608,623.3,31,1
Visakhapatnam,Andhra Pradesh,2016,normal,1149.5,0,None,0,None,0,0,0,0,0,0.0,0,0
Visakhapatnam,Andhra Pradesh,2017,flood,1626.7,1,Severe,40,Extreme,14,112467,75,4101,33433,515.7,41,0
Visakhapatnam,Andhra Pradesh,2018,drought,739.9,0,None,0,None,0,0,0,0,0,0.0,0,0
Visakhapatnam,Andhra Pradesh,2019,waterlogging,1304.6,1,Moderate,57,Extreme,6,129373,12,3703,24461,558.0,39,1
Visakhapatnam,Andhra Pradesh,2020,extreme_flood,2625.3,1,Catastrophic,5,Mild,83,457872,48,3446,39031,301.7,8,1
Visakhapatnam,Andhra Pradesh,2021,mild,1116.0,0,None,0,None,0,0,0,0,0,0.0,0,0
Visakhapatnam,Andhra Pradesh,2022,severe_drought,418.7,0,None,0,None,0,0,0,0,0,0.0,0,0
Visakhapatnam,Andhra Pradesh,2023,urban_flood,1508.9,1,Moderate,52,Extreme,162,320935,45,4418,19221,567.4,43,0
Visakhapatnam,Andhra Pradesh,2024,normal,1151.9,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2015,normal,1054.4,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2016,flood,1399.2,1,Severe,13,Moderate,50,85450,34,1387,41610,694.7,7,1
Vizianagaram,Andhra Pradesh,2017,drought,719.3,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2018,waterlogging,1397.9,1,Moderate,21,Severe,208,65343,34,3432,33028,296.6,13,1
Vizianagaram,Andhra Pradesh,2019,extreme_flood,2237.8,1,Catastrophic,11,Moderate,76,215207,30,94,33029,621.5,49,1
Vizianagaram,Andhra Pradesh,2020,mild,987.0,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2021,severe_drought,515.3,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2022,urban_flood,1435.4,1,Moderate,32,Severe,338,374698,64,58,24815,358.3,39,0
Vizianagaram,Andhra Pradesh,2023,normal,1095.5,0,None,0,None,0,0,0,0,0,0.0,0,0
Vizianagaram,Andhra Pradesh,2024,flood,1868.6,1,Severe,55,Extreme,155,491643,13,2939,9210,761.0,13,1
Srikakulam,Andhra Pradesh,2015,flood,1835.4,1,Severe,50,Extreme,455,294275,11,1083,42122,342.1,30,0
Srikakulam,Andhra Pradesh,2016,drought,810.4,0,None,0,None,0,0,0,0,0,0.0,0,0
Srikakulam,Andhra Pradesh,2017,waterlogging,1326.2,1,Moderate,28,Severe,56,39337,23,4324,47196,651.4,8,1
