District,State,Year,Case_Type,Annual_Rainfall_mm,Flood_Occurred,Flood_Severity,Waterlogging_Days,Waterlogging_Severity,Affected_Villages,Affected_Population,Deaths,Cattle_Lost,Crop_Area_Damaged_Hectares,Economic_Loss_Crores,Relief_Camps,NDRF_Deployed
49,0,2015,6,1577.3,1,1,31,3,490,418992,63,4761,41608,623.3,31,1
49,0,2016,4,1149.5,0,3,0,4,0,0,0,0,0,0.0,0,0
49,0,2017,2,1626.7,1,2,40,0,14,112467,75,4101,33433,515.7,41,0
49,0,2018,0,739.9,0,3,0,4,0,0,0,0,0,0.0,0,0
49,0,2019,7,1304.6,1,1,57,0,6,129373,12,3703,24461,558.0,39,1
49,0,2020,1,2625.3,1,0,5,1,83,457872,48,3446,39031,301.7,8,1
49,0,2021,3,1116.0,0,3,0,4,0,0,0,0,0,0.0,0,0
49,0,2022,5,418.7,0,3,0,4,0,0,0,0,0,0.0,0,0
49,0,2023,6,1508.9,1,1,52,0,162,320935,45,4418,19221,567.4,43,0
49,0,2024,4,1151.9,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2015,4,1054.4,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2016,2,1399.2,1,2,13,2,50,85450,34,1387,41610,694.7,7,1
50,0,2017,0,719.3,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2018,7,1397.9,1,1,21,3,208,65343,34,3432,33028,296.6,13,1
50,0,2019,1,2237.8,1,0,11,2,76,215207,30,94,33029,621.5,49,1
50,0,2020,3,987.0,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2021,5,515.3,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2022,6,1435.4,1,1,32,3,338,374698,64,58,24815,358.3,39,0
50,0,2023,4,1095.5,0,3,0,4,0,0,0,0,0,0.0,0,0
50,0,2024,2,1868.6,1,2,55,0,155,491643,13,2939,9210,761.0,13,1
45,0,2015,2,1835.4,1,2,50,0,455,294275,11,1083,42122,342.1,30,0
45,0,2016,0,810.4,0,3,0,4,0,0,0,0,0,0.0,0,0
45,0,2017,7,1326.2,1,1,28,3,56,39337,23,4324,47196,651.4,8,1
45,0,2018,1,2226.9,1,0,55,0,229,34718,36,486,12837,259.0,10,1
45,0,2019,3,1190.5,0,3,0,4,0,0,0,0,0,0.0,0,0
45,0,2020,5,529.4,0,3,0,4,0,0,0,0,0,0.0,0,0
45,0,2021,6,1468.7,1,1,19,2,283,240141,76,3518,36096,367.0,0,1
45,0,2022,4,1006.3,0,3,0,4,0,0,0,0,0,0.0,0,0
45,0,2023,2,1782.7,1,2,37,3,315,98971,47,4702,24661,541.2,19,1
45,0,2024,0,789.6,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2015,0,748.1,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2016,7,1360.3,1,1,30,3,479,474216,45,223,42751,313.1,29,1
8,0,2017,1,2609.9,1,0,20,3,308,354799,6,4505,35342,784.1,0,1
8,0,2018,3,1115.0,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2019,5,453.2,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2020,6,1654.5,1,1,52,0,301,322626,58,3937,3113,26.1,20,1
8,0,2021,4,1250.5,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2022,2,1627.3,1,2,3,1,209,351908,62,1132,19754,391.3,36,0
8,0,2023,0,681.4,0,3,0,4,0,0,0,0,0,0.0,0,0
8,0,2024,7,1635.2,1,1,39,3,37,421284,11,326,7983,178.6,0,1
53,0,2015,7,1290.7,1,1,41,0,479,361204,78,1570,48076,693.7,42,1
53,0,2016,1,2087.3,1,0,16,2,402,470636,27,183,47949,775.4,33,0
53,0,2017,3,976.2,0,3,0,4,0,0,0,0,0,0.0,0,0
53,0,2018,5,229.8,0,3,0,4,0,0,0,0,0,0.0,0,0
53,0,2019,6,1482.4,1,1,32,3,402,83187,43,4679,28407,670.8,37,1
53,0,2020,4,917.0,0,3,0,4,0,0,0,0,0,0.0,0,0
53,0,2021,2,1485.8,1,2,56,0,468,414325,40,3153,36980,562.3,36,0
53,0,2022,0,724.1,0,3,0,4,0,0,0,0,0,0.0,0,0
53,0,2023,7,1222.1,1,1,6,1,190,381826,59,43,6873,619.1,37,1
53,0,2024,1,1975.8,1,0,29,3,168,486407,57,1620,47994,544.6,33,1
22,0,2015,1,2210.2,1,0,43,0,173,328145,3,3701,12651,279.3,39,1
22,0,2016,3,901.9,0,3,0,4,0,0,0,0,0,0.0,0,0
22,0,2017,5,281.3,0,3,0,4,0,0,0,0,0,0.0,0,0
22,0,2018,6,1153.5,1,1,2,1,36,276881,13,513,41659,161.7,4,1
22,0,2019,4,885.6,0,3,0,4,0,0,0,0,0,0.0,0,0
22,0,2020,2,1497.9,1,2,25,3,236,475477,36,2595,31058,685.3,5,1
22,0,2021,0,560.8,0,3,0,4,0,0,0,0,0,0.0,0,0
22,0,2022,7,1300.0,1,1,31,3,321,53097,36,1956,41565,449.5,37,0
22,0,2023,1,2088.3,1,0,27,3,198,71295,79,1923,8441,500.1,20,1
22,0,2024,3,1000.4,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2015,3,971.0,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2016,5,194.4,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2017,6,1214.2,1,1,30,3,392,179970,75,499,26506,645.6,32,1
11,0,2018,4,858.0,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2019,2,1331.1,1,2,13,2,156,202663,17,4468,13762,362.7,40,0
11,0,2020,0,450.2,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2021,7,1176.4,1,1,29,3,469,335997,27,4792,6016,747.6,30,1
11,0,2022,1,1665.7,1,0,17,2,121,31423,10,2907,19511,92.7,30,1
11,0,2023,3,880.2,0,3,0,4,0,0,0,0,0,0.0,0,0
11,0,2024,5,351.5,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2015,5,354.7,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2016,6,1052.8,1,1,11,2,18,43850,22,1959,27028,218.1,31,1
39,0,2017,4,786.4,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2018,2,1385.4,1,2,18,2,446,376350,39,4981,12951,788.2,10,1
39,0,2019,0,618.0,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2020,7,1106.9,1,1,12,2,107,216586,50,1112,36905,528.1,7,0
39,0,2021,1,1662.8,1,0,28,3,295,269176,3,4415,34426,273.9,14,0
39,0,2022,3,924.4,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2023,5,291.2,0,3,0,4,0,0,0,0,0,0.0,0,0
39,0,2024,6,1255.8,1,1,9,2,224,424234,10,3128,20362,358.5,9,0
34,0,2015,6,1401.0,1,1,45,0,304,125228,25,2012,9492,74.1,39,1
34,0,2016,4,986.1,0,3,0,4,0,0,0,0,0,0.0,0,0
34,0,2017,2,1436.4,1,2,55,0,100,234286,34,2780,33031,592.5,19,0
34,0,2018,0,573.1,0,3,0,4,0,0,0,0,0,0.0,0,0
34,0,2019,7,1361.6,1,1,22,3,213,218514,21,1879,12378,725.7,0,0
34,0,2020,1,2397.0,1,0,36,3,242,482530,70,1859,48389,387.5,5,0
34,0,2021,3,966.3,0,3,0,4,0,0,0,0,0,0.0,0,0
34,0,2022,5,312.4,0,3,0,4,0,0,0,0,0,0.0,0,0
34,0,2023,6,1227.0,1,1,59,0,418,13391,52,2561,46410,443.8,45,1
34,0,2024,4,834.2,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2015,4,520.6,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2016,2,806.9,1,2,43,0,28,212460,3,803,23650,674.3,35,0
24,0,2017,0,338.4,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2018,7,807.3,1,1,51,0,199,293967,66,2308,36200,634.4,22,1
24,0,2019,1,1370.9,1,0,28,3,192,118076,23,1911,10931,117.2,7,1
24,0,2020,3,636.1,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2021,5,252.7,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2022,6,844.8,1,1,22,3,486,393004,26,3454,38845,237.6,19,0
24,0,2023,4,538.6,0,3,0,4,0,0,0,0,0,0.0,0,0
24,0,2024,2,1001.5,1,2,26,3,59,308321,59,1877,34874,159.1,7,1
17,0,2015,2,1226.6,1,2,25,3,470,367194,27,1236,8537,756.8,21,1
17,0,2016,0,428.2,0,3,0,4,0,0,0,0,0,0.0,0,0
17,0,2017,7,883.4,1,1,16,2,382,333536,37,2703,32205,609.1,3,1
17,0,2018,1,1639.7,1,0,34,3,112,227224,40,103,24058,514.8,3,1
17,0,2019,3,735.5,0,3,0,4,0,0,0,0,0,0.0,0,0
17,0,2020,5,176.2,0,3,0,4,0,0,0,0,0,0.0,0,0
17,0,2021,6,991.5,1,1,36,3,360,464903,14,4935,21625,434.8,5,1
17,0,2022,4,596.2,0,3,0,4,0,0,0,0,0,0.0,0,0
17,0,2023,2,1082.3,1,2,48,0,420,442554,62,4074,40075,583.0,39,1
17,0,2024,0,380.2,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2015,0,341.4,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2016,7,608.8,1,1,26,3,190,101589,31,2490,12458,660.0,40,1
3,0,2017,1,1217.8,1,0,49,0,236,230281,73,1862,37369,69.9,42,0
3,0,2018,3,566.2,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2019,5,186.7,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2020,6,662.0,1,1,11,2,309,294941,47,2000,48876,511.3,31,1
3,0,2021,4,550.5,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2022,2,822.0,1,2,46,0,81,481217,77,1719,7834,51.5,1,1
3,0,2023,0,381.0,0,3,0,4,0,0,0,0,0,0.0,0,0
3,0,2024,7,613.2,1,1,44,0,292,375429,72,3048,24103,593.5,35,1
7,0,2015,7,1075.0,1,1,45,0,149,420777,4,364,18753,426.5,18,1
7,0,2016,1,1908.7,1,0,56,0,433,329849,35,3548,18600,557.7,12,1
7,0,2017,3,736.2,0,3,0,4,0,0,0,0,0,0.0,0,0
7,0,2018,5,399.5,0,3,0,4,0,0,0,0,0,0.0,0,0
7,0,2019,6,1112.8,1,1,29,3,288,307590,5,4002,36727,102.5,49,1
7,0,2020,4,725.7,0,3,0,4,0,0,0,0,0,0.0,0,0
7,0,2021,2,1099.6,1,2,55,0,395,319813,26,2394,49200,239.4,3,0
7,0,2022,0,537.1,0,3,0,4,0,0,0,0,0,0.0,0,0
7,0,2023,7,1085.9,1,1,48,0,452,220906,3,1476,4285,17.4,9,1
7,0,2024,1,1768.6,1,0,51,0,123,189020,78,2379,28560,578.9,46,1
1,0,2015,1,2876.3,1,0,20,3,498,246311,5,1878,37910,262.9,15,1
1,0,2016,3,1354.1,0,3,0,4,0,0,0,0,0,0.0,0,0
1,0,2017,5,586.7,0,3,0,4,0,0,0,0,0,0.0,0,0
1,0,2018,6,2013.1,1,1,50,0,293,186136,64,2227,34538,687.9,22,1
1,0,2019,4,1253.4,0,3,0,4,0,0,0,0,0,0.0,0,0
1,0,2020,2,2428.3,1,2,12,2,322,454584,79,2520,30794,795.5,8,1
1,0,2021,0,937.9,0,3,0,4,0,0,0,0,0,0.0,0,0
1,0,2022,7,1758.5,1,1,7,2,428,100051,29,0,31775,403.0,46,1
1,0,2023,1,2982.8,1,0,14,2,301,306803,46,1835,28362,21.7,0,1
1,0,2024,3,1391.7,0,3,0,4,0,0,0,0,0,0.0,0,0
