District,State,Year,Case_Type,Annual_Rainfall_mm,Flood_Occurred,Flood_Severity,Waterlogging_Days,Waterlogging_Severity,Affected_Villages,Affected_Population,Deaths,Cattle_Lost,Crop_Area_Damaged_Hectares,Economic_Loss_Crores,Relief_Camps,NDRF_Deployed
Visakhapatnam,Andhra Pradesh,0.0,urban_flood,0.47345411188023717,1.0,Moderate,0.5254237288135594,Severe,0.9839357429718875,0.8398905515520231,0.7974683544303798,0.9558321622164224,0.834329256065771,0.7803931388506321,0.6326530612244897,1.0
Visakhapatnam,Andhra Pradesh,0.11111111111111427,normal,0.3317656410426258,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visakhapatnam,Andhra Pradesh,0.22222222222220012,flood,0.4898155201536781,1.0,Severe,0.6779661016949152,Extreme,0.028112449799196783,0.22544576187946638,0.9493670886075949,0.8233286488656897,0.6704030479246039,0.6456742206084888,0.836734693877551,0.0
Visakhapatnam,Andhra Pradesh,0.3333333333333144,drought,0.19610505746365053,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visakhapatnam,Andhra Pradesh,0.44444444444442865,waterlogging,0.38313516377968404,1.0,Moderate,0.9661016949152542,Extreme,0.012048192771084336,0.25933468974572277,0.1518987341772152,0.7434250150572175,0.49049528774814516,0.6986352823337924,0.7959183673469387,1.0
Visakhapatnam,Andhra Pradesh,0.5555555555555429,extreme_flood,0.8205544331467561,1.0,Catastrophic,0.0847457627118644,Mild,0.16666666666666666,0.9178274683531616,0.6075949367088608,0.6918289500100382,0.7826549027471426,0.3777388255915863,0.16326530612244897,1.0
Visakhapatnam,Andhra Pradesh,0.6666666666666572,mild,0.3206703540555758,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visakhapatnam,Andhra Pradesh,0.7777777777777715,severe_drought,0.08972278342662206,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visakhapatnam,Andhra Pradesh,0.8888888888888857,urban_flood,0.45079985427085756,1.0,Moderate,0.8813559322033898,Extreme,0.3253012048192771,0.6433303599170116,0.569620253164557,0.8869704878538446,0.3854220974533788,0.7104044071616376,0.8775510204081632,0.0
Visakhapatnam,Andhra Pradesh,1.0,normal,0.3325605272745339,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,0.0,normal,0.300268274103269,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,0.11111111111111427,flood,0.4144669294207267,1.0,Severe,0.22033898305084745,Moderate,0.1004016064257028,0.17128882563418962,0.43037974683544306,0.2784581409355551,0.8343693603368759,0.86978840616001,0.14285714285714285,1.0
Vizianagaram,Andhra Pradesh,0.22222222222220012,drought,0.18928228397310637,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,0.3333333333333144,waterlogging,0.41403636604510985,1.0,Moderate,0.3559322033898305,Severe,0.41767068273092367,0.1309833321640123,0.43037974683544306,0.6890182694238105,0.6622819330258672,0.3713534493552022,0.26530612244897955,1.0
Vizianagaram,Andhra Pradesh,0.44444444444442865,extreme_flood,0.6922134269532675,1.0,Catastrophic,0.1864406779661017,Moderate,0.15261044176706826,0.4313932627063434,0.37974683544303794,0.018871712507528608,0.6623019851614197,0.7781394766495555,0.9999999999999999,1.0
Vizianagaram,Andhra Pradesh,0.5555555555555429,mild,0.27794521909051767,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,0.6666666666666572,severe_drought,0.1217169542609214,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,0.7777777777777715,urban_flood,0.42645646341867327,1.0,Moderate,0.5423728813559322,Severe,0.6787148594377509,0.7511009992683392,0.810126582278481,0.011644248142943184,0.4975937437337076,0.44860398146988856,0.7959183673469387,0.0
Vizianagaram,Andhra Pradesh,0.8888888888888857,normal,0.3138807008246945,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vizianagaram,Andhra Pradesh,1.0,flood,0.5699334282780778,1.0,Severe,0.9322033898305084,Extreme,0.3112449799196787,0.9855231375221754,0.16455696202531644,0.5900421602087934,0.18468016843793864,0.9527982972330036,0.26530612244897955,1.0
Srikakulam,Andhra Pradesh,0.0,flood,0.5589375020700164,1.0,Severe,0.847457627118644,Extreme,0.9136546184738955,0.5898890481392761,0.13924050632911392,0.21742621963461153,0.8446360537397233,0.4283210216601978,0.6122448979591836,0.0
Srikakulam,Andhra Pradesh,0.11111111111111427,drought,0.2194548405259497,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srikakulam,Andhra Pradesh,0.22222222222220012,waterlogging,0.3902891398668566,1.0,Moderate,0.4745762711864407,Severe,0.11244979919678713,0.07885299630160464,0.2911392405063291,0.868098775346316,0.9463805895327853,0.8155753098785525,0.16326530612244897,1.0
Srikakulam,Andhra Pradesh,0.3333333333333144,extreme_flood,0.6886033186500183,1.0,Catastrophic,0.9322033898305084,Extreme,0.4598393574297188,0.06959397833081093,0.45569620253164556,0.09757076892190324,0.25740926408662523,0.3242769500438212,0.2040816326530612,1.0
Srikakulam,Andhra Pradesh,0.44444444444442865,mild,0.3453449475043885,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srikakulam,Andhra Pradesh,0.5555555555555429,severe_drought,0.12638691087338128,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srikakulam,Andhra Pradesh,0.6666666666666572,urban_flood,0.43748550988639756,1.0,Moderate,0.3220338983050847,Moderate,0.5682730923694779,0.4813747206157979,0.9620253164556962,0.7062838787392091,0.7238018849007419,0.45949668210842615,0.0,1.0
Srikakulam,Andhra Pradesh,0.7777777777777715,normal,0.28433742920544497,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Srikakulam,Andhra Pradesh,0.8888888888888857,flood,0.5414831252277019,1.0,Severe,0.6271186440677966,Severe,0.6325301204819277,0.1983923506359436,0.5949367088607594,0.943987151174463,0.49450571485863243,0.6776011017904094,0.3877551020408163,1.0
Srikakulam,Andhra Pradesh,1.0,drought,0.21256582651607991,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,0.0,drought,0.1988209187560031,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,0.11111111111111427,waterlogging,0.4015831484118836,1.0,Moderate,0.5084745762711864,Severe,0.9618473895582328,0.9505898389343811,0.569620253164557,0.04477012648062638,0.8572488470022057,0.3920120195317391,0.5918367346938775,1.0
East Godavari,Andhra Pradesh,0.22222222222220012,extreme_flood,0.8154539131586793,1.0,Catastrophic,0.3389830508474576,Severe,0.6184738955823292,0.7112124522666453,0.0759493670886076,0.9044368600682594,0.7086825746942049,0.9817202954801552,0.0,1.0
East Godavari,Andhra Pradesh,0.3333333333333144,mild,0.3203391514589475,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,0.44444444444442865,severe_drought,0.1011492730103004,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,0.5555555555555429,urban_flood,0.49902295233994637,1.0,Moderate,0.8813559322033898,Extreme,0.6044176706827309,0.646720054523769,0.7341772151898734,0.7904035334270227,0.06242229797473431,0.03267810191561287,0.4081632653061224,1.0
East Godavari,Andhra Pradesh,0.6666666666666572,normal,0.36521710330208995,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,0.7777777777777715,flood,0.49001424171165503,1.0,Severe,0.05084745762711865,Mild,0.4196787148594377,0.7054172972647911,0.7848101265822784,0.22726360168640836,0.39610988570282735,0.48992112182296227,0.7346938775510203,0.0
East Godavari,Andhra Pradesh,0.8888888888888857,drought,0.17672970556089163,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,Andhra Pradesh,1.0,waterlogging,0.49263074222501907,1.0,Moderate,0.6610169491525424,Severe,0.07429718875502007,0.8444849809066581,0.13924050632911392,0.06544870507930135,0.16007619811509927,0.2236133717290597,0.0,1.0
West Godavari,Andhra Pradesh,0.0,waterlogging,0.3785314476865499,1.0,Moderate,0.6949152542372882,Extreme,0.9618473895582328,0.7240515971254748,0.9873417721518987,0.31519775145553103,0.9640264688189292,0.8685363716038562,0.8571428571428571,1.0
West Godavari,Andhra Pradesh,0.11111111111111427,extreme_flood,0.6423674361606997,1.0,Catastrophic,0.2711864406779661,Moderate,0.8072289156626505,0.9434135487556754,0.34177215189873417,0.03673961051997591,0.9614798476037698,0.9708275948416175,0.673469387755102,0.0
West Godavari,Andhra Pradesh,0.22222222222220012,mild,0.2743682310469314,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Godavari,Andhra Pradesh,0.3333333333333144,severe_drought,0.027158612923525324,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Godavari,Andhra Pradesh,0.44444444444442865,urban_flood,0.4420229854602061,1.0,Moderate,0.5423728813559322,Severe,0.8072289156626505,0.16675252823910278,0.5443037974683544,0.939369604497089,0.5696210146380589,0.8398647802679353,0.7551020408163265,1.0
West Godavari,Andhra Pradesh,0.5555555555555429,normal,0.25476103732653266,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
