State,Year,Annual_Rainfall_mm,Normal_Rainfall_mm,Departure_Percent,Monsoon_Rainfall_mm,Monsoon_Percent_of_Annual,Rainfall_Category,Flood_Events,Drought_Declared,Peak_Month,Peak_Month_Rainfall_mm,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm
1,2015,877.4,930,-5.7,753.5,85.9,2,0,0,1,234.0,26.8,18.1,12.7,3.8,21.3,113.9,234.0,197.1,139.9,68.6,45.1,22.1
1,2016,779.4,930,-16.2,646.1,82.9,2,0,0,1,199.3,0.0,0.0,0.0,16.6,28.5,108.6,199.3,157.0,108.6,72.6,21.6,19.2
1,2017,771.7,930,-17.0,695.2,90.1,2,0,0,1,210.9,8.3,11.4,0.0,19.7,17.7,98.4,210.9,188.4,128.1,69.4,7.1,15.1
1,2018,917.1,930,-1.4,786.9,85.8,2,0,0,1,221.7,0.0,9.0,0.0,34.7,27.0,144.1,221.7,202.6,139.4,79.1,46.3,20.2
1,2019,1218.9,930,31.1,1034.7,84.9,1,12,0,1,297.7,28.0,16.1,29.1,7.9,36.6,164.6,297.7,263.7,173.7,135.0,30.8,3.4
1,2020,817.8,930,-12.1,691.8,84.6,2,0,0,1,185.0,0.0,0.0,0.0,13.3,28.5,114.4,185.0,167.9,131.1,93.4,28.8,25.2
1,2021,1044.6,930,12.3,919.3,88.0,2,3,0,1,267.8,27.0,24.4,8.4,4.7,36.6,163.4,267.8,233.5,147.7,106.9,26.7,29.3
1,2022,1110.9,930,19.5,911.2,82.0,2,7,0,1,262.0,13.6,21.9,10.9,23.1,41.5,147.7,262.0,225.7,172.1,103.7,33.7,27.4
1,2023,1016.4,930,9.3,878.8,86.5,2,0,0,1,259.1,11.8,0.0,27.9,24.3,48.4,167.7,259.1,215.4,136.7,99.9,19.2,6.8
1,2024,1184.9,930,27.4,989.7,83.5,1,1,0,1,276.3,4.8,0.0,6.1,40.0,38.3,183.6,276.3,254.8,169.9,105.1,36.9,11.2
29,2015,739.0,950,-22.2,664.8,90.0,0,0,0,1,203.6,0.9,25.1,0.3,15.5,37.7,105.4,203.6,181.1,100.9,73.8,14.2,0.0
29,2016,687.8,950,-27.6,582.4,84.7,0,0,1,1,157.7,11.3,7.0,0.0,4.9,43.8,92.7,157.7,150.9,122.6,58.5,27.5,17.3
29,2017,811.7,950,-14.6,665.1,81.9,2,0,0,1,216.3,17.2,2.8,13.4,21.6,33.9,105.4,216.3,171.4,109.2,62.8,28.0,15.2
29,2018,675.2,950,-28.9,564.2,83.6,0,0,1,1,186.3,7.2,0.0,12.6,0.5,34.6,96.8,186.3,134.1,94.9,52.1,37.2,21.8
