District,State,Urban_Percent,Agriculture_Percent,Forest_Percent,Waterbody_Percent,Wasteland_Percent,Impervious_Surface_Percent,Green_Cover_Percent,Runoff_Potential,Urban_Heat_Island_Risk
Visakhapatnam,Andhra Pradesh,0.5186781609195401,0.3649851632047477,0.1187150837988827,0.07936507936507937,0.392,0.5191570881226055,0.14384508990318123,High,Medium
Vizianagaram,Andhra Pradesh,0.15804597701149423,0.7551928783382789,0.14245810055865923,0.06349206349206347,0.32266666666666666,0.15900383141762453,0.2033195020746888,Medium,Low
Srikakulam,Andhra Pradesh,0.20689655172413787,0.8560830860534124,0.09916201117318438,0.2698412698412699,0.029333333333333336,0.20689655172413796,0.17012448132780084,Medium,Low
East Godavari,Andhra Pradesh,0.1451149425287356,0.33531157270029677,0.0893854748603352,0.4656084656084657,1.0,0.14559386973180077,0.11203319502074689,Low,Low
West Godavari,Andhra Pradesh,0.20258620689655168,0.3679525222551928,0.0628491620111732,0.5978835978835979,0.8186666666666667,0.2030651340996169,0.0885200553250346,Medium,Low
Krishna,Andhra Pradesh,0.2629310344827586,0.5400593471810088,0.1634078212290503,0.455026455026455,0.2773333333333334,0.26436781609195403,0.2047026279391425,Medium,Low
Guntur,Andhra Pradesh,0.785919540229885,0.20029673590504452,0.053072625698324036,0.19576719576719576,0.25866666666666666,0.7854406130268201,0.0636237897648686,High,High
Prakasam,Andhra Pradesh,0.18534482758620685,0.9421364985163203,0.18435754189944134,0.2063492063492064,0.0,0.18582375478927204,0.2627939142461964,Medium,Low
Nellore,Andhra Pradesh,0.14367816091954022,0.5296735905044511,0.07960893854748605,0.8095238095238095,0.4986666666666667,0.14367816091954022,0.12033195020746888,Low,Low
Kurnool,Andhra Pradesh,0.17241379310344826,0.7077151335311572,0.111731843575419,0.21693121693121697,0.3626666666666667,0.17241379310344826,0.16874135546334718,Medium,Low
Kadapa,Andhra Pradesh,0.17385057471264362,0.7002967359050445,0.07681564245810057,0.09523809523809525,0.5013333333333334,0.17432950191570884,0.13416320885200556,Medium,Low
Anantapur,Andhra Pradesh,0.1364942528735632,0.8857566765578635,0.08379888268156425,0.03174603174603176,0.256,0.13793103448275862,0.15767634854771784,Low,Low
Chittoor,Andhra Pradesh,0.2212643678160919,0.8501483679525221,0.14245810055865923,0.3068783068783069,0.0,0.22222222222222227,0.21300138312586447,Medium,Low
Alluri Sitharama Raju,Andhra Pradesh,0.024425287356321844,0.1824925816023739,0.9385474860335197,0.3280423280423281,0.0,0.024904214559386968,0.9391424619640389,Low,Low
Anakapalli,Andhra Pradesh,0.09626436781609193,0.9614243323442135,0.07122905027932962,0.09523809523809525,0.18666666666666668,0.0957854406130268,0.1521438450899032,Low,Low
Bapatla,Andhra Pradesh,0.3189655172413793,0.5771513353115726,0.1634078212290503,1.0,0.0,0.31992337164750956,0.20746887966804983,Medium,Medium
