Pincode,District,State,Latitude,Longitude,Region_Type,Taluk,Flood_Zone
530001,21,0,17.6868,83.2185,2,21,1
530002,21,0,17.72,83.29,2,21,3
530026,21,0,17.65,83.18,1,21,3
530040,21,0,17.78,83.37,1,21,2
530046,21,0,17.8,83.4,0,21,3
533001,4,0,17.005,81.78,2,4,1
533003,4,0,16.98,81.75,0,4,2
533201,4,0,17.1,81.9,0,4,2
534001,24,0,16.91,81.3,2,24,3
534002,24,0,16.93,81.33,1,24,1
520001,10,0,16.506,80.648,2,10,2
520010,10,0,16.52,80.67,2,10,1
521001,10,0,16.44,80.6,1,10,1
522001,5,0,16.307,80.437,2,5,2
522002,5,0,16.32,80.45,2,5,2
522201,5,0,16.2,80.35,0,5,3
524001,15,0,14.443,79.987,2,15,3
524002,15,0,14.46,80.0,1,15,2
518001,11,0,15.828,78.037,2,11,1
518002,11,0,15.84,78.05,2,11,2
516001,7,0,14.467,78.824,2,7,1
515001,1,0,14.682,77.601,2,1,3
515002,1,0,14.7,77.62,1,1,1
517001,3,0,13.217,79.1,2,3,1
517501,20,0,13.629,79.419,2,20,0
517502,20,0,13.64,79.43,2,20,1
535001,22,0,18.107,83.396,2,22,2
532001,19,0,18.295,83.894,2,19,2
500001,6,1,17.385,78.487,2,6,0
500002,6,1,17.39,78.47,2,6,3
500003,6,1,17.41,78.5,2,6,2
500004,6,1,17.4,78.46,2,6,2
500008,6,1,17.44,78.48,2,6,1
500016,6,1,17.42,78.44,2,6,0
500018,6,1,17.405,78.46,2,6,3
500029,6,1,17.43,78.39,2,6,1
500032,17,1,17.33,78.35,2,17,2
500034,17,1,17.31,78.32,1,17,2
500075,17,1,17.29,78.29,1,17,0
501501,17,1,17.2,78.1,0,17,2
500072,13,1,17.5,78.55,1,13,0
500087,13,1,17.53,78.58,2,13,2
502001,18,1,17.62,78.07,2,18,3
502032,18,1,17.58,78.02,0,18,3
503001,16,1,18.673,78.094,2,16,3
503002,16,1,18.69,78.11,1,16,1
505001,8,1,18.439,79.129,2,8,1
505002,8,1,18.45,79.14,2,8,1
506001,23,1,17.978,79.594,2,23,3
506002,23,1,17.99,79.61,2,23,0
506003,23,1,17.96,79.57,1,23,2
507001,9,1,17.247,80.151,2,9,3
507002,9,1,17.26,80.17,1,9,1
508001,14,1,17.058,79.267,2,14,2
509001,12,1,16.737,77.983,2,12,3
509002,12,1,16.75,78.0,1,12,0
504001,0,1,19.664,78.532,2,0,2
504002,0,1,19.68,78.55,1,0,2
504201,0,1,19.5,78.4,0,0,1
504251,2,1,19.37,79.28,0,2,2
