Pincode,District,State,Latitude,Longitude,Region_Type,Taluk,Flood_Zone
0.8571428571428577,Visakhapatnam,Andhra Pradesh,0.6915983289494045,0.8926585094549502,Urban,Visakhapatnam,Zone II
0.8571714285714283,Visakhapatnam,Andhra Pradesh,0.6967352622621075,0.9040203400603843,Urban,Visakhapatnam,Zone IV
0.8578571428571422,Visakhapatnam,Andhra Pradesh,0.6859043787714683,0.8865406006674093,Semi-Urban,Visakhapatnam,Zone IV
0.858257142857143,Visakhapatnam,Andhra Pradesh,0.7060188766826556,0.9167328778007313,Semi-Urban,Visakhapatnam,Zone III
0.858428571428572,Visakhapatnam,Andhra Pradesh,0.7091134148228377,0.9215000794533612,Rural,Visakhapatnam,Zone IV
0.9428571428571431,East Godavari,Andhra Pradesh,0.5861055237505801,0.6640711902113452,Urban,East Godavari,Zone II
0.942914285714286,East Godavari,Andhra Pradesh,0.582237351075352,0.6593039885587153,Rural,East Godavari,Zone III
0.9485714285714284,East Godavari,Andhra Pradesh,0.6008045799164479,0.6831399968218665,Rural,East Godavari,Zone III
0.9714285714285715,West Godavari,Andhra Pradesh,0.5714064675847133,0.5877959637692669,Urban,West Godavari,Zone IV
0.9714571428571421,West Godavari,Andhra Pradesh,0.5745010057248958,0.5925631654218968,Semi-Urban,West Godavari,Zone II
0.5714285714285712,Krishna,Andhra Pradesh,0.5088967971530249,0.48418878118544306,Urban,Krishna,Zone III
0.5716857142857137,Krishna,Andhra Pradesh,0.5110629738511525,0.48768472906403915,Urban,Krishna,Zone II
0.5999999999999996,Krishna,Andhra Pradesh,0.4986848212904227,0.4765612585412349,Semi-Urban,Krishna,Zone II
0.6285714285714281,Guntur,Andhra Pradesh,0.4781061426582083,0.45065946289527936,Urban,Guntur,Zone III
0.6286000000000005,Guntur,Andhra Pradesh,0.48011759244932684,0.4527252502780872,Urban,Guntur,Zone III
0.6342857142857135,Guntur,Andhra Pradesh,0.46155036360823143,0.436834578102653,Rural,Guntur,Zone IV
0.685714285714285,Nellore,Andhra Pradesh,0.18969518799319207,0.37915143810583096,Urban,Nellore,Zone IV
0.6857428571428574,Nellore,Andhra Pradesh,0.19232554541234714,0.3812172254886388,Semi-Urban,Nellore,Zone III
0.5142857142857142,Kurnool,Andhra Pradesh,0.40399195420083567,0.06928333068488968,Urban,Kurnool,Zone II
0.5143142857142848,Kurnool,Andhra Pradesh,0.4058486770849452,0.07134911806769395,Urban,Kurnool,Zone III
0.4571428571428573,Kadapa,Andhra Pradesh,0.19340863376141115,0.19434292070554626,Urban,Kadapa,Zone II
0.4285714285714288,Anantapur,Andhra Pradesh,0.22667491876837387,0.0,Urban,Anantapur,Zone IV
0.4285999999999994,Anantapur,Andhra Pradesh,0.22946000309453796,0.0030192277133327394,Semi-Urban,Anantapur,Zone II
0.48571428571428577,Chittoor,Andhra Pradesh,0.0,0.23820117590974021,Urban,Chittoor,Zone II
0.5,Tirupati,Andhra Pradesh,0.0637474856877609,0.2888924201493719,Urban,Tirupati,Zone I
0.5000285714285706,Tirupati,Andhra Pradesh,0.06544948166486142,0.2906403940886708,Urban,Tirupati,Zone II
1.0,Vizianagaram,Andhra Pradesh,0.7566145752746403,0.9208644525663434,Urban,Vizianagaram,Zone III
0.9142857142857146,Srikakulam,Andhra Pradesh,0.7857032337923568,1.0,Urban,Srikakulam,Zone III
0.0,Hyderabad,Telangana,0.6449017484140493,0.1407913554743363,Urban,Hyderabad,Zone I
2.8571428570600688e-05,Hyderabad,Telangana,0.6456753829490949,0.13808994120451246,Urban,Hyderabad,Zone IV
5.714285714297773e-05,Hyderabad,Telangana,0.6487699210892774,0.14285714285714413,Urban,Hyderabad,Zone III
8.571428571357842e-05,Hyderabad,Telangana,0.6472226520191859,0.13650087398696975,Urban,Hyderabad,Zone III
0.00019999999999953388,Hyderabad,Telangana,0.6534117282995515,0.13967900842205694,Urban,Hyderabad,Zone II
0.0004285714285714448,Hyderabad,Telangana,0.650317190159369,0.13332273955188256,Urban,Hyderabad,Zone I
0.00048571428571442254,Hyderabad,Telangana,0.6479962865542319,0.13650087398696975,Urban,Hyderabad,Zone IV
0.0007999999999999119,Hyderabad,Telangana,0.65186445922946,0.12537740346416726,Urban,Hyderabad,Zone II
0.0008857142857134903,Rangareddy,Telangana,0.6363917685285467,0.11902113459399288,Urban,Rangareddy,Zone III
0.000942857142856468,Rangareddy,Telangana,0.6332972303883646,0.11425393294136299,Semi-Urban,Rangareddy,Zone III
0.002114285714284847,Rangareddy,Telangana,0.630202692248182,0.10948673128873487,Semi-Urban,Rangareddy,Zone I
0.042857142857142705,Rangareddy,Telangana,0.6162772706173603,0.07929445415541103,Rural,Rangareddy,Zone III
0.0020285714285712686,Medchal Malkajgiri,Telangana,0.6626953427200992,0.15080247894485943,Semi-Urban,Medchal Malkajgiri,Zone I
0.0024571428571427134,Medchal Malkajgiri,Telangana,0.6673371499303733,0.15556968059748932,Urban,Medchal Malkajgiri,Zone III
0.05714285714285694,Sangareddy,Telangana,0.6812625715611946,0.07452725250278114,Urban,Sangareddy,Zone IV
0.05802857142857043,Sangareddy,Telangana,0.675073495280829,0.06658191641506406,Rural,Sangareddy,Zone IV
0.08571428571428541,Nizamabad,Telangana,0.8441900046418072,0.07834101382488434,Urban,Nizamabad,Zone IV
0.08574285714285779,Nizamabad,Telangana,0.8468203620609627,0.08088352137295374,Semi-Urban,Nizamabad,Zone II
0.14285714285714235,Karimnagar,Telangana,0.8079839084016713,0.24280947084061744,Urban,Karimnagar,Zone II
0.14288571428571473,Karimnagar,Telangana,0.8096859043787714,0.2445574447799146,Urban,Karimnagar,Zone II
0.17142857142857082,Warangal,Telangana,0.7366548042704628,0.316701096456379,Urban,Warangal,Zone IV
0.1714571428571432,Warangal,Telangana,0.7385115271545719,0.3192436040044502,Urban,Warangal,Zone I
0.1714857142857138,Warangal,Telangana,0.7338697199442987,0.3128873351342758,Semi-Urban,Warangal,Zone III
0.1999999999999993,Khammam,Telangana,0.6235494352467894,0.4052121404735409,Urban,Khammam,Zone IV
0.20002857142857167,Khammam,Telangana,0.6255608850379084,0.40823136818687544,Semi-Urban,Khammam,Zone II
0.22857142857142776,Nalgonda,Telangana,0.5943060498220643,0.2647385984427135,Urban,Nalgonda,Zone III
0.25714285714285623,Mahabubnagar,Telangana,0.5446387126721337,0.0607023677101548,Urban,Mahabubnagar,Zone IV
0.2571714285714286,Mahabubnagar,Telangana,0.5466501624632523,0.06340378197997865,Semi-Urban,Mahabubnagar,Zone I
0.11428571428571388,Adilabad,Telangana,0.9975243694878544,0.14794215795328114,Urban,Adilabad,Zone III
0.11431428571428626,Adilabad,Telangana,1.0,0.15080247894485943,Semi-Urban,Adilabad,Zone III
0.11999999999999922,Adilabad,Telangana,0.9721491567383569,0.12696647068171174,Rural,Adilabad,Zone II
0.12142857142857189,Asifabad,Telangana,0.9520346588271704,0.26680438582552135,Rural,Asifabad,Zone III
