Pincode,District,State,Region_Type
530001,Visakhapatnam,Andhra Pradesh,Urban
530002,Visakhapatnam,Andhra Pradesh,Urban
530003,Visakhapatnam,Andhra Pradesh,Semi-Urban
530004,Visakhapatnam,Andhra Pradesh,Urban
530005,Visakhapatnam,Andhra Pradesh,Urban
530006,Visakhapatnam,Andhra Pradesh,Rural
530007,Visakhapatnam,Andhra Pradesh,Urban
530008,Visakhapatnam,Andhra Pradesh,Rural
530009,Visakhapatnam,Andhra Pradesh,Urban
530010,Visakhapatnam,Andhra Pradesh,Urban
530011,Visakhapatnam,Andhra Pradesh,Semi-Urban
530012,Visakhapatnam,Andhra Pradesh,Rural
530013,Visakhapatnam,Andhra Pradesh,Semi-Urban
530014,Visakhapatnam,Andhra Pradesh,Rural
530015,Visakhapatnam,Andhra Pradesh,Urban
535001,Vizianagaram,Andhra Pradesh,Rural
535002,Vizianagaram,Andhra Pradesh,Urban
535003,Vizianagaram,Andhra Pradesh,Rural
532001,Srikakulam,Andhra Pradesh,Semi-Urban
532002,Srikakulam,Andhra Pradesh,Rural
532003,Srikakulam,Andhra Pradesh,Semi-Urban
532004,Srikakulam,Andhra Pradesh,Urban
532005,Srikakulam,Andhra Pradesh,Urban
532006,Srikakulam,Andhra Pradesh,Rural
532007,Srikakulam,Andhra Pradesh,Semi-Urban
532008,Srikakulam,Andhra Pradesh,Rural
532009,Srikakulam,Andhra Pradesh,Urban
532010,Srikakulam,Andhra Pradesh,Semi-Urban
532011,Srikakulam,Andhra Pradesh,Urban
532012,Srikakulam,Andhra Pradesh,Rural
532013,Srikakulam,Andhra Pradesh,Rural
532014,Srikakulam,Andhra Pradesh,Rural
532015,Srikakulam,Andhra Pradesh,Urban
533001,East Godavari,Andhra Pradesh,Rural
533002,East Godavari,Andhra Pradesh,Rural
533003,East Godavari,Andhra Pradesh,Semi-Urban
533004,East Godavari,Andhra Pradesh,Rural
533005,East Godavari,Andhra Pradesh,Rural
533006,East Godavari,Andhra Pradesh,Rural
533007,East Godavari,Andhra Pradesh,Rural
533008,East Godavari,Andhra Pradesh,Urban
533009,East Godavari,Andhra Pradesh,Urban
533010,East Godavari,Andhra Pradesh,Rural
533011,East Godavari,Andhra Pradesh,Urban
533012,East Godavari,Andhra Pradesh,Rural
533013,East Godavari,Andhra Pradesh,Rural
533014,East Godavari,Andhra Pradesh,Rural
533015,East Godavari,Andhra Pradesh,Rural
534001,West Godavari,Andhra Pradesh,Semi-Urban
534002,West Godavari,Andhra Pradesh,Semi-Urban
534003,West Godavari,Andhra Pradesh,Urban
534004,West Godavari,Andhra Pradesh,Semi-Urban
534005,West Godavari,Andhra Pradesh,Urban
534006,West Godavari,Andhra Pradesh,Semi-Urban
534007,West Godavari,Andhra Pradesh,Rural
534008,West Godavari,Andhra Pradesh,Rural
534009,West Godavari,Andhra Pradesh,Urban
534010,West Godavari,Andhra Pradesh,Semi-Urban
534011,West Godavari,Andhra Pradesh,Rural
534012,West Godavari,Andhra Pradesh,Urban
534013,West Godavari,Andhra Pradesh,Urban
534014,West Godavari,Andhra Pradesh,Urban
534015,West Godavari,Andhra Pradesh,Semi-Urban
520001,Krishna,Andhra Pradesh,Urban
520002,Krishna,Andhra Pradesh,Rural
520003,Krishna,Andhra Pradesh,Semi-Urban
520004,Krishna,Andhra Pradesh,Semi-Urban
520005,Krishna,Andhra Pradesh,Urban
520006,Krishna,Andhra Pradesh,Semi-Urban
520007,Krishna,Andhra Pradesh,Rural
520008,Krishna,Andhra Pradesh,Rural
520009,Krishna,Andhra Pradesh,Rural
520010,Krishna,Andhra Pradesh,Semi-Urban
520011,Krishna,Andhra Pradesh,Rural
520012,Krishna,Andhra Pradesh,Rural
520013,Krishna,Andhra Pradesh,Rural
520014,Krishna,Andhra Pradesh,Urban
520015,Krishna,Andhra Pradesh,Urban
522001,Guntur,Andhra Pradesh,Urban
522002,Guntur,Andhra Pradesh,Rural
522003,Guntur,Andhra Pradesh,Semi-Urban
522004,Guntur,Andhra Pradesh,Semi-Urban
522005,Guntur,Andhra Pradesh,Rural
522006,Guntur,Andhra Pradesh,Rural
522007,Guntur,Andhra Pradesh,Rural
522008,Guntur,Andhra Pradesh,Semi-Urban
522009,Guntur,Andhra Pradesh,Rural
522010,Guntur,Andhra Pradesh,Urban
522011,Guntur,Andhra Pradesh,Urban
522012,Guntur,Andhra Pradesh,Urban
522013,Guntur,Andhra Pradesh,Semi-Urban
522014,Guntur,Andhra Pradesh,Semi-Urban
522015,Guntur,Andhra Pradesh,Rural
523001,Prakasam,Andhra Pradesh,Urban
523002,Prakasam,Andhra Pradesh,Rural
523003,Prakasam,Andhra Pradesh,Semi-Urban
523004,Prakasam,Andhra Pradesh,Urban
523005,Prakasam,Andhra Pradesh,Semi-Urban
523006,Prakasam,Andhra Pradesh,Urban
523007,Prakasam,Andhra Pradesh,Semi-Urban
523008,Prakasam,Andhra Pradesh,Semi-Urban
523009,Prakasam,Andhra Pradesh,Urban
523010,Prakasam,Andhra Pradesh,Urban
523011,Prakasam,Andhra Pradesh,Semi-Urban
523012,Prakasam,Andhra Pradesh,Rural
523013,Prakasam,Andhra Pradesh,Semi-Urban
523014,Prakasam,Andhra Pradesh,Rural
523015,Prakasam,Andhra Pradesh,Rural
524001,Nellore,Andhra Pradesh,Rural
