Pincode,District,State,Region_Type
530001,20,0,2
530002,20,0,2
530003,20,0,1
530004,20,0,2
530005,20,0,2
530006,20,0,0
530007,20,0,2
530008,20,0,0
530009,20,0,2
530010,20,0,2
530011,20,0,1
530012,20,0,0
530013,20,0,1
530014,20,0,0
530015,20,0,2
535001,21,0,0
535002,21,0,2
535003,21,0,0
532001,19,0,1
532002,19,0,0
532003,19,0,1
532004,19,0,2
532005,19,0,2
532006,19,0,0
532007,19,0,1
532008,19,0,0
532009,19,0,2
532010,19,0,1
532011,19,0,2
532012,19,0,0
532013,19,0,0
532014,19,0,0
532015,19,0,2
533001,3,0,0
533002,3,0,0
533003,3,0,1
533004,3,0,0
533005,3,0,0
533006,3,0,0
533007,3,0,0
533008,3,0,2
533009,3,0,2
533010,3,0,0
533011,3,0,2
533012,3,0,0
533013,3,0,0
533014,3,0,0
533015,3,0,0
534001,23,0,1
534002,23,0,1
534003,23,0,2
534004,23,0,1
534005,23,0,2
534006,23,0,1
534007,23,0,0
534008,23,0,0
534009,23,0,2
534010,23,0,1
534011,23,0,0
534012,23,0,2
534013,23,0,2
534014,23,0,2
534015,23,0,1
520001,9,0,2
520002,9,0,0
520003,9,0,1
520004,9,0,1
520005,9,0,2
520006,9,0,1
520007,9,0,0
520008,9,0,0
520009,9,0,0
520010,9,0,1
520011,9,0,0
520012,9,0,0
520013,9,0,0
520014,9,0,2
520015,9,0,2
522001,4,0,2
522002,4,0,0
522003,4,0,1
522004,4,0,1
522005,4,0,0
522006,4,0,0
522007,4,0,0
522008,4,0,1
522009,4,0,0
522010,4,0,2
522011,4,0,2
522012,4,0,2
522013,4,0,1
522014,4,0,1
522015,4,0,0
523001,16,0,2
523002,16,0,0
523003,16,0,1
523004,16,0,2
523005,16,0,1
523006,16,0,2
523007,16,0,1
523008,16,0,1
523009,16,0,2
523010,16,0,2
523011,16,0,1
523012,16,0,0
523013,16,0,1
523014,16,0,0
523015,16,0,0
524001,14,0,0
524002,14,0,0
524003,14,0,1
524004,14,0,0
524005,14,0,0
524006,14,0,1
524007,14,0,1
524008,14,0,2
524009,14,0,0
524010,14,0,0
524011,14,0,2
524012,14,0,1
524013,14,0,1
524014,14,0,2
524015,14,0,0
518001,10,0,2
518002,10,0,2
518003,10,0,1
518004,10,0,0
518005,10,0,2
518006,10,0,0
518007,10,0,1
518008,10,0,2
518009,10,0,2
518010,10,0,1
518011,10,0,2
518012,10,0,0
518013,10,0,0
518014,10,0,0
518015,10,0,2
516001,6,0,0
516002,6,0,1
516003,6,0,1
516004,6,0,2
516005,6,0,2
516006,6,0,0
516007,6,0,1
516008,6,0,2
516009,6,0,0
516010,6,0,2
516011,6,0,1
516012,6,0,1
516013,6,0,0
516014,6,0,0
516015,6,0,1
515001,1,0,1
515002,1,0,1
515003,1,0,0
515004,1,0,1
515005,1,0,2
515006,1,0,2
515007,1,0,1
515008,1,0,1
515009,1,0,0
515010,1,0,2
515011,1,0,1
