Pincode,District,State,Region_Type
0.8570938803496944,Visakhapatnam,Andhra Pradesh,Urban
0.857122450145706,Visakhapatnam,Andhra Pradesh,Urban
0.8571510199417176,Visakhapatnam,Andhra Pradesh,Semi-Urban
0.8571795897377292,Visakhapatnam,Andhra Pradesh,Urban
0.8572081595337409,Visakhapatnam,Andhra Pradesh,Urban
0.8572367293297525,Visakhapatnam,Andhra Pradesh,Rural
0.8572652991257641,Visakhapatnam,Andhra Pradesh,Urban
0.8572938689217757,Visakhapatnam,Andhra Pradesh,Rural
0.8573224387177873,Visakhapatnam,Andhra Pradesh,Urban
0.857351008513799,Visakhapatnam,Andhra Pradesh,Urban
0.8573795783098106,Visakhapatnam,Andhra Pradesh,Semi-Urban
0.8574081481058222,Visakhapatnam,Andhra Pradesh,Rural
0.8574367179018338,Visakhapatnam,Andhra Pradesh,Semi-Urban
0.8574652876978455,Visakhapatnam,Andhra Pradesh,Rural
0.8574938574938571,Visakhapatnam,Andhra Pradesh,Urban
0.9999428604079768,Vizianagaram,Andhra Pradesh,Rural
0.9999714302039884,Vizianagaram,Andhra Pradesh,Urban
1.0,Vizianagaram,Andhra Pradesh,Rural
0.9142334723730077,Srikakulam,Andhra Pradesh,Semi-Urban
0.9142620421690193,Srikakulam,Andhra Pradesh,Rural
0.9142906119650309,Srikakulam,Andhra Pradesh,Semi-Urban
0.9143191817610425,Srikakulam,Andhra Pradesh,Urban
0.9143477515570542,Srikakulam,Andhra Pradesh,Urban
0.9143763213530658,Srikakulam,Andhra Pradesh,Rural
0.9144048911490774,Srikakulam,Andhra Pradesh,Semi-Urban
0.914433460945089,Srikakulam,Andhra Pradesh,Rural
0.9144620307411007,Srikakulam,Andhra Pradesh,Urban
0.9144906005371123,Srikakulam,Andhra Pradesh,Semi-Urban
0.9145191703331239,Srikakulam,Andhra Pradesh,Urban
0.9145477401291355,Srikakulam,Andhra Pradesh,Rural
0.9145763099251472,Srikakulam,Andhra Pradesh,Rural
0.9146048797211588,Srikakulam,Andhra Pradesh,Rural
0.9146334495171704,Srikakulam,Andhra Pradesh,Urban
0.9428032683846634,East Godavari,Andhra Pradesh,Rural
0.9428318381806751,East Godavari,Andhra Pradesh,Rural
0.9428604079766867,East Godavari,Andhra Pradesh,Semi-Urban
0.9428889777726983,East Godavari,Andhra Pradesh,Rural
0.9429175475687099,East Godavari,Andhra Pradesh,Rural
0.9429461173647216,East Godavari,Andhra Pradesh,Rural
0.9429746871607332,East Godavari,Andhra Pradesh,Rural
0.9430032569567448,East Godavari,Andhra Pradesh,Urban
0.9430318267527564,East Godavari,Andhra Pradesh,Urban
0.943060396548768,East Godavari,Andhra Pradesh,Rural
0.9430889663447797,East Godavari,Andhra Pradesh,Urban
0.9431175361407931,East Godavari,Andhra Pradesh,Rural
0.9431461059368047,East Godavari,Andhra Pradesh,Rural
0.9431746757328163,East Godavari,Andhra Pradesh,Rural
0.943203245528828,East Godavari,Andhra Pradesh,Rural
0.971373064396321,West Godavari,Andhra Pradesh,Semi-Urban
0.9714016341923326,West Godavari,Andhra Pradesh,Semi-Urban
0.9714302039883442,West Godavari,Andhra Pradesh,Urban
0.9714587737843559,West Godavari,Andhra Pradesh,Semi-Urban
0.9714873435803675,West Godavari,Andhra Pradesh,Urban
0.9715159133763791,West Godavari,Andhra Pradesh,Semi-Urban
0.9715444831723907,West Godavari,Andhra Pradesh,Rural
0.9715730529684024,West Godavari,Andhra Pradesh,Rural
0.971601622764414,West Godavari,Andhra Pradesh,Urban
0.9716301925604256,West Godavari,Andhra Pradesh,Semi-Urban
0.9716587623564372,West Godavari,Andhra Pradesh,Rural
0.9716873321524488,West Godavari,Andhra Pradesh,Urban
0.9717159019484605,West Godavari,Andhra Pradesh,Urban
0.9717444717444721,West Godavari,Andhra Pradesh,Urban
0.9717730415404837,West Godavari,Andhra Pradesh,Semi-Urban
0.5713959202331296,Krishna,Andhra Pradesh,Urban
0.5714244900291412,Krishna,Andhra Pradesh,Rural
0.5714530598251528,Krishna,Andhra Pradesh,Semi-Urban
0.5714816296211644,Krishna,Andhra Pradesh,Semi-Urban
0.5715101994171761,Krishna,Andhra Pradesh,Urban
0.5715387692131877,Krishna,Andhra Pradesh,Semi-Urban
0.5715673390091993,Krishna,Andhra Pradesh,Rural
0.5715959088052109,Krishna,Andhra Pradesh,Rural
0.5716244786012226,Krishna,Andhra Pradesh,Rural
0.5716530483972342,Krishna,Andhra Pradesh,Semi-Urban
0.5716816181932458,Krishna,Andhra Pradesh,Rural
0.5717101879892574,Krishna,Andhra Pradesh,Rural
0.5717387577852691,Krishna,Andhra Pradesh,Rural
0.5717673275812807,Krishna,Andhra Pradesh,Urban
0.5717958973772923,Krishna,Andhra Pradesh,Urban
0.6285355122564429,Guntur,Andhra Pradesh,Urban
0.6285640820524545,Guntur,Andhra Pradesh,Rural
0.6285926518484661,Guntur,Andhra Pradesh,Semi-Urban
0.6286212216444778,Guntur,Andhra Pradesh,Semi-Urban
0.6286497914404894,Guntur,Andhra Pradesh,Rural
0.628678361236501,Guntur,Andhra Pradesh,Rural
0.6287069310325126,Guntur,Andhra Pradesh,Rural
0.6287355008285243,Guntur,Andhra Pradesh,Semi-Urban
0.6287640706245359,Guntur,Andhra Pradesh,Rural
0.6287926404205475,Guntur,Andhra Pradesh,Urban
