District,State,Population_2011,Population_Density_per_sqkm,Area_sqkm,Urban_Population_Percent,Rural_Population_Percent,Population_Growth_Rate,Vulnerable_Population_Percent,Flood_Exposure_Index
Visakhapatnam,Andhra Pradesh,0.007082522315674496,0.02088418768646596,0.1533135509396637,0.43870967741935485,0.5612903225806452,0.16774193548387095,0.9999999999999999,0.20604099244875945
Vizianagaram,Andhra Pradesh,0.03377545036259586,0.031136425278003792,0.734915924826904,0.49290322580645163,0.5070967741935484,0.8580645161290325,0.7177419354838709,0.49190938511326865
Srikakulam,Andhra Pradesh,0.015528566889542557,0.03509628424193111,0.22631058358061323,0.36,0.6400000000000001,0.3935483870967743,0.7903225806451614,0.4865156418554477
East Godavari,Andhra Pradesh,0.01630377861307328,0.015459723352318957,0.6872403560830861,0.6593548387096774,0.3406451612903226,0.3612903225806452,0.6975806451612904,0.4153182308522115
West Godavari,Andhra Pradesh,0.02315138981184995,0.02131814483319772,0.7238377843719089,0.5032258064516129,0.4967741935483871,0.006451612903225823,0.46370967741935487,0.43473570658036675
Krishna,Andhra Pradesh,0.03507835567860472,0.02565771630051532,0.9489614243323441,0.21032258064516124,0.7896774193548386,0.535483870967742,0.9395161290322581,0.45954692556634313
Guntur,Andhra Pradesh,0.003662633580823757,0.01898562516951451,0.045103857566765576,0.07354838709677419,0.9264516129032259,0.2387096774193549,0.6169354838709676,0.27615965480043153
Prakasam,Andhra Pradesh,0.001410965437335432,0.003363167887171141,0.26726013847675567,0.2451612903225806,0.7548387096774192,0.7870967741935485,0.4879032258064516,0.13915857605177995
Nellore,Andhra Pradesh,0.008572769625241958,0.014266341198806615,0.3535113748763601,0.735483870967742,0.2645161290322581,0.045161290322580594,0.9072580645161291,0.3872707659115427
Kurnool,Andhra Pradesh,0.04776759879982233,0.03374016815839436,1.0,0.4812903225806452,0.5187096774193547,0.3870967741935485,0.8629032258064516,0.3926645091693636
Kadapa,Andhra Pradesh,0.025317176607165086,0.018768646596148627,0.9171117705242333,0.09806451612903222,0.9019354838709679,0.10967741935483871,0.7620967741935484,0.20604099244875945
Anantapur,Andhra Pradesh,0.030543092537599757,0.02299972877678329,0.9129574678536103,1.0,0.0,0.10322580645161289,0.5362903225806451,0.226537216828479
Chittoor,Andhra Pradesh,0.0030531896098455317,0.01979929481963656,0.014243323442136524,0.9264516129032259,0.07354838709677419,0.14193548387096777,0.31854838709677424,0.4368932038834952
Alluri Sitharama Raju,Andhra Pradesh,0.0016051462008101636,0.0,0.9240356083086054,0.0,1.0,0.9225806451612905,0.3870967741935484,0.2405609492988134
Anakapalli,Andhra Pradesh,0.012375730230753447,0.016219148359099538,0.47339268051434225,0.9625806451612904,0.03741935483870967,0.9290322580645164,0.6532258064516129,0.25134843581445526
Bapatla,Andhra Pradesh,0.005419429189663448,0.004339571467317602,0.7093966369930762,0.37677419354838715,0.623225806451613,0.6258064516129033,0.12903225806451613,0.03236245954692557
Eluru,Andhra Pradesh,0.012227833959804962,0.010089503661513424,0.7732937685459941,0.2593548387096774,0.7406451612903227,0.5096774193548388,0.7137096774193549,0.23300970873786414
Konaseema,Andhra Pradesh,0.005383106883147614,0.016219148359099538,0.15410484668644908,0.9122580645161289,0.08774193548387094,0.432258064516129,0.217741935483871,0.121898597626753
Parvathipuram Manyam,Andhra Pradesh,0.03204398213184333,0.0231624627068077,0.9560830860534124,0.9187096774193548,0.08129032258064514,0.5225806451612904,0.9999999999999999,0.31823085221143477
