District,State,Year,Month,Month_Number,Scenario,Data_Type,Rainfall_mm,Normal_Rainfall_mm,Departure_mm,Departure_Percent,Rainfall_Category,Flood_Probability_Percent
49,0,2025,4,1,5,0,12.5,11.0,1.5,13.6,3,10.9
49,0,2025,3,2,5,0,10.0,11.0,-1.0,-9.1,3,0.0
49,0,2025,7,3,5,1,10.5,11.0,-0.5,-4.5,3,0.0
49,0,2025,0,4,5,1,19.0,22.0,-3.0,-13.6,3,0.0
49,0,2025,8,5,5,1,45.0,44.0,1.0,2.3,3,1.8
49,0,2025,6,6,5,1,177.9,165.0,12.9,7.8,3,6.3
49,0,2025,5,7,5,1,273.8,275.0,-1.2,-0.4,3,0.0
49,0,2025,1,8,5,1,250.1,242.0,8.1,3.3,3,2.7
49,0,2025,11,9,5,1,178.3,165.0,13.3,8.1,3,6.4
49,0,2025,10,10,5,1,105.5,110.0,-4.5,-4.1,3,0.0
49,0,2025,9,11,5,1,38.0,33.0,5.0,15.2,3,12.1
49,0,2025,2,12,5,1,13.1,11.0,2.1,19.1,3,15.3
50,0,2025,4,1,3,0,8.9,10.5,-1.6,-15.2,3,0.0
50,0,2025,3,2,3,0,8.9,10.5,-1.6,-15.2,3,0.0
50,0,2025,7,3,3,1,8.9,10.5,-1.6,-15.2,3,0.0
50,0,2025,0,4,3,1,17.8,21.0,-3.2,-15.2,3,0.0
50,0,2025,8,5,3,1,58.8,42.0,16.8,40.0,1,32.0
50,0,2025,6,6,3,1,220.5,157.5,63.0,40.0,1,32.0
50,0,2025,5,7,3,1,223.1,262.5,-39.4,-15.0,3,0.0
50,0,2025,1,8,3,1,196.3,231.0,-34.7,-15.0,3,0.0
50,0,2025,11,9,3,1,133.9,157.5,-23.6,-15.0,3,0.0
50,0,2025,10,10,3,1,89.2,105.0,-15.8,-15.0,3,0.0
50,0,2025,9,11,3,1,26.8,31.5,-4.7,-14.9,3,0.0
50,0,2025,2,12,3,1,8.9,10.5,-1.6,-15.2,3,0.0
45,0,2025,4,1,1,0,12.7,11.5,1.2,10.4,3,8.3
45,0,2025,3,2,1,0,12.7,11.5,1.2,10.4,3,8.3
45,0,2025,7,3,1,1,12.7,11.5,1.2,10.4,3,8.3
45,0,2025,0,4,1,1,25.3,23.0,2.3,10.0,3,8.0
45,0,2025,8,5,1,1,50.6,46.0,4.6,10.0,3,8.0
45,0,2025,6,6,1,1,51.8,172.5,-120.7,-70.0,0,0.0
45,0,2025,5,7,1,1,86.2,287.5,-201.3,-70.0,0,0.0
45,0,2025,1,8,1,1,278.3,253.0,25.3,10.0,3,8.0
45,0,2025,11,9,1,1,189.8,172.5,17.3,10.0,3,8.0
45,0,2025,10,10,1,1,126.5,115.0,11.5,10.0,3,8.0
45,0,2025,9,11,1,1,38.0,34.5,3.5,10.1,3,8.1
45,0,2025,2,12,1,1,12.7,11.5,1.2,10.4,3,8.3
8,0,2025,4,1,4,0,22.2,12.0,10.2,85.0,2,68.0
8,0,2025,3,2,4,0,26.1,12.0,14.1,117.5,2,94.0
8,0,2025,7,3,4,1,25.8,12.0,13.8,115.0,2,92.0
8,0,2025,0,4,4,1,47.2,24.0,23.2,96.7,2,77.3
8,0,2025,8,5,4,1,99.0,48.0,51.0,106.2,2,85.0
8,0,2025,6,6,4,1,318.0,180.0,138.0,76.7,2,61.3
8,0,2025,5,7,4,1,613.3,300.0,313.3,104.4,2,83.5
8,0,2025,1,8,4,1,389.9,264.0,125.9,47.7,1,38.2
8,0,2025,11,9,4,1,332.4,180.0,152.4,84.7,2,67.7
8,0,2025,10,10,4,1,173.5,120.0,53.5,44.6,1,35.7
8,0,2025,9,11,4,1,58.2,36.0,22.2,61.7,1,49.3
8,0,2025,2,12,4,1,17.8,12.0,5.8,48.3,1,38.7
