District,State,Year,Month,Month_Number,Scenario,Data_Type,Rainfall_mm,Normal_Rainfall_mm,Departure_mm,Departure_Percent,Rainfall_Category,Flood_Probability_Percent
Visakhapatnam,Andhra Pradesh,2025,Jan,0.0,Normal Year,Actual,0.017819192414582317,0.015965166908563134,0.4285190615835777,0.4053112755768394,Normal,0.109
Visakhapatnam,Andhra Pradesh,2025,Feb,0.09090909090909091,Normal Year,Actual,0.013732221677292792,0.015965166908563134,0.4239369501466276,0.3064867218110579,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Mar,0.1818181818181818,Normal Year,Forecast,0.014549615824750698,0.015965166908563134,0.4248533724340176,0.326512842838485,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Apr,0.2727272727272727,Normal Year,Forecast,0.02844531633153507,0.047895500725689405,0.42027126099706746,0.2868959512407488,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,May,0.36363636363636365,Normal Year,Forecast,0.0709498119993461,0.11175616835994194,0.4276026392961877,0.3561166739225076,Normal,0.018000000000000002
Visakhapatnam,Andhra Pradesh,2025,Jun,0.4545454545454545,Normal Year,Forecast,0.28821317639365707,0.4629898403483309,0.44941348973607037,0.3800609490639965,Normal,0.063
Visakhapatnam,Andhra Pradesh,2025,Jul,0.5454545454545454,Normal Year,Forecast,0.4449893738760831,0.7822931785195937,0.42357038123167157,0.34436221158032215,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Aug,0.6363636363636364,Normal Year,Forecast,0.4062448912865784,0.6865021770682148,0.4406158357771261,0.3604701784936874,Normal,0.027000000000000003
Visakhapatnam,Andhra Pradesh,2025,Sep,0.7272727272727273,Normal Year,Forecast,0.2888670917116234,0.4629898403483309,0.4501466275659824,0.38136700043535043,Normal,0.064
Visakhapatnam,Andhra Pradesh,2025,Oct,0.8181818181818182,Normal Year,Forecast,0.16985450384175252,0.3033381712626996,0.4175219941348974,0.3282542446669569,Normal,0.0
Visakhapatnam,Andhra Pradesh,2025,Nov,0.9090909090909091,Normal Year,Forecast,0.059506293934935436,0.07982583454281568,0.4349340175953079,0.41227688289072706,Normal,0.121
Visakhapatnam,Andhra Pradesh,2025,Dec,0.9999999999999999,Normal Year,Forecast,0.018800065391531798,0.015965166908563134,0.42961876832844575,0.42925555071832827,Normal,0.153
Vizianagaram,Andhra Pradesh,2025,Jan,0.0,Early Monsoon,Actual,0.011933954552885404,0.014513788098693761,0.42283724340175954,0.2799303439268611,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Feb,0.09090909090909091,Early Monsoon,Actual,0.011933954552885404,0.014513788098693761,0.42283724340175954,0.2799303439268611,Normal,0.0
Vizianagaram,Andhra Pradesh,2025,Mar,0.1818181818181818,Early Monsoon,Forecast,0.011933954552885404,0.014513788098693761,0.42283724340175954,0.2799303439268611,Normal,0.0
