District,State,Major_Rivers,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Reservoir_Present,Reservoir_Capacity_TMC,Waterbody_Area_sqkm,Flood_Plain_Area_sqkm,River_Bank_Breach_History,Flood_Risk_From_River
49,0,5,2,17.6,50,0,25.3,272.0,171.9,1,3
50,0,10,1,16.7,28,0,31.6,435.8,149.7,1,3
45,0,10,1,16.4,9,0,31.3,224.3,136.5,2,3
8,0,0,1,19.9,42,0,23.6,244.6,27.3,2,2
53,0,0,1,22.9,15,1,24.8,361.5,224.9,3,2
22,0,6,1,21.3,34,0,1.3,426.0,133.0,3,2
11,0,6,1,4.9,36,0,42.6,416.8,62.4,3,1
39,0,10,1,9.7,43,0,10.5,23.8,172.0,3,3
34,0,13,1,12.9,52,1,0.2,216.7,126.0,0,3
24,0,16,2,11.9,57,0,39.5,73.0,281.8,3,3
17,0,13,1,23.5,16,0,26.9,199.3,259.1,1,2
3,0,15,1,1.4,36,0,41.0,439.3,48.7,3,0
7,0,14,1,6.4,22,0,32.5,438.8,182.7,3,1
1,0,10,1,19.7,5,0,38.0,68.8,76.8,1,2
2,0,10,1,24.4,31,0,37.9,132.6,245.2,2,2
5,0,6,1,13.9,18,0,17.2,480.8,87.1,1,3
9,0,0,1,1.6,11,1,28.2,243.9,171.7,0,0
21,0,4,2,24.5,57,1,17.1,18.5,222.3,2,2
37,0,10,1,4.5,10,0,11.3,481.3,78.3,2,1
44,0,10,1,1.5,4,1,46.2,328.7,180.6,2,0
47,0,10,1,29.4,22,1,14.2,447.8,157.2,0,2
13,1,11,1,13.8,14,0,36.4,175.1,32.2,1,3
41,1,12,2,7.2,39,1,48.5,400.2,189.7,1,1
29,1,10,1,12.3,10,0,26.5,382.4,42.3,3,3
42,1,10,1,3.3,17,1,2.7,117.5,26.8,2,1
28,1,10,1,2.2,51,0,13.1,125.2,123.1,0,1
36,1,2,2,20.5,7,0,14.5,192.1,153.0,2,2
18,1,10,1,6.3,25,0,14.9,327.3,167.7,1,1
14,1,10,1,26.9,5,0,32.4,492.5,208.4,2,2
40,1,10,1,4.6,48,1,23.6,153.6,62.8,3,1
19,1,1,2,20.7,34,0,42.1,242.6,163.1,0,2
38,1,10,1,28.6,34,1,39.7,248.4,50.3,1,2
16,1,10,1,10.4,57,1,28.0,414.2,232.6,2,3
30,1,0,1,8.6,3,1,15.8,202.2,289.9,2,3
6,1,0,1,15.9,43,1,6.1,103.3,191.7,0,3
20,1,7,2,6.0,30,0,0.8,40.5,103.5,0,1
32,1,8,2,22.3,43,1,41.3,338.5,125.2,2,2
46,1,10,1,4.9,7,1,8.3,197.2,156.6,3,1
54,1,10,1,17.8,19,0,49.2,339.7,140.2,0,3
26,1,6,1,7.1,36,0,47.3,438.4,14.0,3,1
31,1,10,1,29.5,30,1,13.9,314.6,68.8,2,2
51,1,10,1,19.4,11,0,26.5,442.3,187.7,2,2
10,1,10,1,10.3,30,0,0.6,146.8,287.3,1,3
33,1,10,1,13.5,24,0,8.5,52.1,270.3,0,3
48,1,10,1,25.8,36,0,11.0,309.0,208.2,2,2
43,1,10,1,13.2,1,1,18.7,26.4,96.1,0,3
15,1,10,1,16.2,19,0,8.5,477.2,221.2,3,3
52,1,9,1,17.9,4,0,3.1,170.4,102.3,1,3
12,1,10,1,2.2,48,1,28.6,22.3,293.8,1,1
25,1,10,1,19.0,13,1,32.9,76.7,46.6,0,2
35,1,10,1,13.2,35,0,45.8,16.5,217.4,3,3
0,1,3,2,8.7,42,0,4.4,380.1,227.8,3,3
23,1,10,1,6.4,59,0,30.1,461.9,212.9,1,1
27,1,0,1,22.6,50,0,5.5,42.9,64.4,1,2
4,1,10,1,11.2,55,0,29.4,48.8,187.8,0,3
