District,State,Major_Rivers,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Reservoir_Present,Reservoir_Capacity_TMC,Waterbody_Area_sqkm,Flood_Plain_Area_sqkm,River_Bank_Breach_History,Flood_Risk_From_River
Visakhapatnam,Andhra Pradesh,"Gosthani, Sarada",1.0,0.5765124555160143,0.8448275862068965,No,0.5122448979591836,0.5367647058823529,0.5643316654753395,Never,Medium
Vizianagaram,Andhra Pradesh,Minor Stream,0.0,0.5444839857651245,0.46551724137931033,No,0.6408163265306122,0.8808823529411764,0.484989278055754,Never,Medium
Srikakulam,Andhra Pradesh,Minor Stream,0.0,0.5338078291814946,0.13793103448275862,No,0.6346938775510204,0.4365546218487395,0.4378127233738385,Occasional,Medium
East Godavari,Andhra Pradesh,Godavari,0.0,0.6583629893238433,0.7068965517241379,No,0.4775510204081633,0.47920168067226887,0.047533952823445316,Occasional,Low
West Godavari,Andhra Pradesh,Godavari,0.0,0.7651245551601422,0.2413793103448276,Yes,0.5020408163265305,0.7247899159663865,0.7537526804860615,Rare,Low
Krishna,Andhra Pradesh,Krishna,0.0,0.708185053380783,0.5689655172413792,No,0.022448979591836733,0.8602941176470588,0.42530378842030025,Rare,Low
Guntur,Andhra Pradesh,Krishna,0.0,0.12455516014234876,0.603448275862069,No,0.8653061224489795,0.8409663865546219,0.17298070050035738,Rare,High
Prakasam,Andhra Pradesh,Minor Stream,0.0,0.295373665480427,0.7241379310344828,No,0.21020408163265306,0.015336134453781514,0.5646890636168691,Rare,Medium
Nellore,Andhra Pradesh,Penna,0.0,0.40925266903914587,0.8793103448275862,Yes,0.0,0.4205882352941176,0.4002859185132237,Frequent,Medium
Kurnool,Andhra Pradesh,"Tungabhadra, Krishna",1.0,0.3736654804270462,0.9655172413793103,No,0.8020408163265305,0.11869747899159662,0.9571122230164403,Rare,Medium
Kadapa,Andhra Pradesh,Penna,0.0,0.786476868327402,0.25862068965517243,No,0.5448979591836733,0.3840336134453782,0.8759828448892066,Never,Low
Anantapur,Andhra Pradesh,Tungabhadra,0.0,0.0,0.603448275862069,No,0.8326530612244897,0.888235294117647,0.12401715511079342,Rare,Extreme
Chittoor,Andhra Pradesh,Swarnamukhi,0.0,0.1779359430604982,0.3620689655172414,No,0.6591836734693877,0.8871848739495798,0.6029306647605431,Rare,High
Alluri Sitharama Raju,Andhra Pradesh,Minor Stream,0.0,0.6512455516014234,0.06896551724137931,No,0.7714285714285714,0.10987394957983192,0.224446032880629,Never,Low
Anakapalli,Andhra Pradesh,Minor Stream,0.0,0.8185053380782917,0.5172413793103448,No,0.7693877551020407,0.24390756302521005,0.8263045032165832,Occasional,Low
Bapatla,Andhra Pradesh,Krishna,0.0,0.4448398576512455,0.2931034482758621,No,0.346938775510204,0.9754201680672269,0.26125804145818443,Never,Medium
Eluru,Andhra Pradesh,Godavari,0.0,0.007117437722419934,0.17241379310344826,Yes,0.5714285714285713,0.47773109243697476,0.5636168691922802,Frequent,Extreme
Konaseema,Andhra Pradesh,"Godavari, Vasistha",1.0,0.8220640569395018,0.9655172413793103,Yes,0.3448979591836735,0.0042016806722689065,0.7444603288062902,Occasional,Low
Parvathipuram Manyam,Andhra Pradesh,Minor Stream,0.0,0.11032028469750889,0.15517241379310345,No,0.22653061224489796,0.9764705882352941,0.22980700500357396,Occasional,High
Sri Sathya Sai,Andhra Pradesh,Minor Stream,0.0,0.003558718861209967,0.05172413793103448,Yes,0.9387755102040816,0.6558823529411765,0.5954253037884202,Occasional,Extreme
Tirupati,Andhra Pradesh,Minor Stream,0.0,0.9964412811387898,0.3620689655172414,Yes,0.2857142857142857,0.9060924369747899,0.5117941386704788,Frequent,Low
Hyderabad,Telangana,Musi,0.0,0.44128113879003555,0.22413793103448273,No,0.7387755102040815,0.33319327731092435,0.06504646175839887,Never,Medium
Rangareddy,Telangana,"Musi, Krishna",1.0,0.20640569395017794,0.6551724137931034,Yes,0.9857142857142855,0.8060924369747898,0.6279485346676197,Never,High
Medchal Malkajgiri,Telangana,Minor Stream,0.0,0.3879003558718861,0.15517241379310345,No,0.5367346938775509,0.7686974789915966,0.1011436740528949,Rare,Medium
Sangareddy,Telangana,Minor Stream,0.0,0.06761565836298931,0.27586206896551724,Yes,0.05102040816326531,0.2121848739495798,0.045746962115797,Occasional,High
Medak,Telangana,Minor Stream,0.0,0.02846975088967972,0.8620689655172413,No,0.26326530612244897,0.22836134453781515,0.3899213724088635,Frequent,High
Nizamabad,Telangana,"Godavari, Manjira",1.0,0.6797153024911032,0.10344827586206895,No,0.29183673469387755,0.36890756302521005,0.49678341672623294,Occasional,Low
