District,State,Major_Rivers,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Reservoir_Present,Reservoir_Capacity_TMC,Waterbody_Area_sqkm,Flood_Plain_Area_sqkm,River_Bank_Breach_History,Flood_Risk_From_River
49,0,5,1.0,0.5765124555160143,0.8448275862068965,0,0.5122448979591836,0.5367647058823529,0.5643316654753395,1,3
50,0,10,0.0,0.5444839857651245,0.4655172413793103,0,0.6408163265306122,0.8808823529411764,0.484989278055754,1,3
45,0,10,0.0,0.5338078291814946,0.1379310344827586,0,0.6346938775510204,0.4365546218487395,0.4378127233738385,2,3
8,0,0,0.0,0.6583629893238433,0.7068965517241379,0,0.4775510204081633,0.4792016806722688,0.0475339528234453,2,2
53,0,0,0.0,0.7651245551601422,0.2413793103448276,1,0.5020408163265305,0.7247899159663865,0.7537526804860615,3,2
22,0,6,0.0,0.708185053380783,0.5689655172413792,0,0.0224489795918367,0.8602941176470588,0.4253037884203002,3,2
11,0,6,0.0,0.1245551601423487,0.603448275862069,0,0.8653061224489795,0.8409663865546219,0.1729807005003573,3,1
39,0,10,0.0,0.295373665480427,0.7241379310344828,0,0.210204081632653,0.0153361344537815,0.5646890636168691,3,3
34,0,13,0.0,0.4092526690391458,0.8793103448275862,1,0.0,0.4205882352941176,0.4002859185132237,0,3
24,0,16,1.0,0.3736654804270462,0.9655172413793104,0,0.8020408163265305,0.1186974789915966,0.9571122230164404,3,3
17,0,13,0.0,0.786476868327402,0.2586206896551724,0,0.5448979591836733,0.3840336134453782,0.8759828448892066,1,2
3,0,15,0.0,0.0,0.603448275862069,0,0.8326530612244897,0.888235294117647,0.1240171551107934,3,0
7,0,14,0.0,0.1779359430604982,0.3620689655172414,0,0.6591836734693877,0.8871848739495798,0.6029306647605431,3,1
1,0,10,0.0,0.6512455516014234,0.0689655172413793,0,0.7714285714285714,0.1098739495798319,0.224446032880629,1,2
2,0,10,0.0,0.8185053380782917,0.5172413793103448,0,0.7693877551020407,0.24390756302521,0.8263045032165832,2,2
5,0,6,0.0,0.4448398576512455,0.2931034482758621,0,0.346938775510204,0.9754201680672268,0.2612580414581844,1,3
9,0,0,0.0,0.0071174377224199,0.1724137931034482,1,0.5714285714285713,0.4777310924369747,0.5636168691922802,0,0
21,0,4,1.0,0.8220640569395018,0.9655172413793104,1,0.3448979591836735,0.0042016806722689,0.7444603288062902,2,2
37,0,10,0.0,0.1103202846975088,0.1551724137931034,0,0.2265306122448979,0.976470588235294,0.2298070050035739,2,1
44,0,10,0.0,0.0035587188612099,0.0517241379310344,1,0.9387755102040816,0.6558823529411765,0.5954253037884202,2,0
47,0,10,0.0,0.9964412811387898,0.3620689655172414,1,0.2857142857142857,0.90609243697479,0.5117941386704788,0,2
13,1,11,0.0,0.4412811387900355,0.2241379310344827,0,0.7387755102040815,0.3331932773109243,0.0650464617583988,1,3
41,1,12,1.0,0.2064056939501779,0.6551724137931034,1,0.9857142857142857,0.8060924369747898,0.6279485346676197,1,1
29,1,10,0.0,0.3879003558718861,0.1551724137931034,0,0.5367346938775509,0.7686974789915966,0.1011436740528949,3,3
42,1,10,0.0,0.0676156583629893,0.2758620689655172,1,0.0510204081632653,0.2121848739495798,0.045746962115797,2,1
28,1,10,0.0,0.0284697508896797,0.8620689655172413,0,0.2632653061224489,0.2283613445378151,0.3899213724088635,0,1
36,1,2,1.0,0.6797153024911032,0.1034482758620689,0,0.2918367346938775,0.36890756302521,0.4967834167262329,2,2
18,1,10,0.0,0.1743772241992882,0.4137931034482758,0,0.3,0.6529411764705882,0.5493209435310935,1,1
