District,State,Slope_Category,Mean_Slope_Degrees,Max_Slope_Degrees,Runoff_Coefficient,Surface_Water_Flow_Speed,Waterlogging_Potential,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number
49,0,2,13.78,36.0,0.27,0,2,27.0,3.9,64
50,0,1,5.25,10.8,0.53,1,3,53.0,7.4,79
45,0,0,2.6,8.9,0.72,2,1,72.0,2.8,63
8,0,4,0.2,0.7,0.81,4,0,81.0,7.0,74
53,0,4,0.95,3.4,0.92,4,0,92.0,9.4,78
22,0,4,0.57,2.1,0.81,4,0,81.0,9.6,82
11,0,0,2.43,8.8,0.71,2,1,71.0,5.1,79
39,0,2,10.31,21.4,0.36,0,2,36.0,6.9,57
34,0,0,1.47,4.7,0.62,2,1,62.0,2.7,64
24,0,1,3.62,10.8,0.43,1,3,43.0,5.1,58
17,0,1,6.54,18.2,0.59,1,3,59.0,1.8,82
3,0,1,6.44,20.6,0.61,1,3,61.0,3.9,59
7,0,1,5.07,15.3,0.57,1,3,57.0,5.4,73
1,0,3,30.92,100.0,0.26,3,4,26.0,8.8,78
2,0,2,11.99,31.9,0.36,0,2,36.0,11.6,71
5,0,4,0.21,0.8,0.8,4,0,80.0,10.8,87
9,0,2,12.53,49.6,0.43,0,2,43.0,6.8,69
21,0,4,0.1,0.2,0.87,4,0,87.0,7.8,71
37,0,3,24.87,78.4,0.28,3,4,28.0,2.7,81
44,0,1,4.19,10.1,0.65,1,3,65.0,1.5,71
47,0,1,4.0,9.2,0.4,1,3,40.0,7.4,59
13,1,0,2.46,5.4,0.79,2,1,79.0,6.4,78
41,1,0,2.96,9.0,0.74,2,1,74.0,8.6,71
29,1,0,1.34,3.7,0.62,2,1,62.0,7.8,72
42,1,0,1.38,3.7,0.73,2,1,73.0,0.7,71
28,1,1,6.65,15.8,0.44,1,3,44.0,8.8,74
36,1,2,9.6,19.5,0.41,0,2,41.0,3.8,93
18,1,1,6.5,13.5,0.52,1,3,52.0,10.3,63
14,1,0,1.9,7.5,0.77,2,1,77.0,11.3,95
40,1,1,6.72,17.5,0.42,1,3,42.0,3.8,97
19,1,0,2.04,5.9,0.69,2,1,69.0,4.3,75
38,1,2,14.27,36.8,0.34,0,2,34.0,7.4,56
16,1,2,13.15,27.2,0.44,0,2,44.0,4.9,88
30,1,2,14.06,41.1,0.4,0,2,40.0,8.9,74
6,1,1,4.12,8.3,0.58,1,3,58.0,11.2,75
20,1,2,9.74,38.3,0.3,0,2,30.0,5.4,61
32,1,1,6.75,14.2,0.59,1,3,59.0,10.2,58
46,1,1,6.74,19.3,0.57,1,3,57.0,2.4,59
54,1,0,2.0,4.0,0.78,2,1,78.0,3.1,91
26,1,0,2.62,8.8,0.75,2,1,75.0,2.0,75
31,1,2,14.6,45.0,0.41,0,2,41.0,6.3,68
51,1,1,4.83,12.7,0.49,1,3,49.0,5.0,56
10,1,2,14.51,39.8,0.38,0,2,38.0,4.3,70
33,1,2,13.98,42.7,0.38,0,2,38.0,11.3,90
48,1,0,2.42,6.0,0.78,2,1,78.0,1.4,83
43,1,2,14.96,38.7,0.39,0,2,39.0,8.3,74
15,1,0,1.01,3.9,0.75,2,1,75.0,4.7,86
52,1,1,6.33,24.2,0.49,1,3,49.0,6.9,75
12,1,2,14.68,48.3,0.42,0,2,42.0,8.4,62
25,1,1,6.19,15.7,0.5,1,3,50.0,9.1,57
35,1,2,8.7,21.6,0.44,0,2,44.0,2.1,76
0,1,1,4.63,12.6,0.43,1,3,43.0,10.7,83
23,1,2,12.83,42.8,0.42,0,2,42.0,5.2,85
27,1,0,2.58,8.9,0.65,2,1,65.0,11.7,94
4,1,0,2.74,8.4,0.75,2,1,75.0,3.5,75
