District,State,Slope_Category,Mean_Slope_Degrees,Max_Slope_Degrees,Runoff_Coefficient,Surface_Water_Flow_Speed,Waterlogging_Potential,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number
Visakhapatnam,Andhra Pradesh,Moderate,0.44386761842959116,0.35871743486973945,0.015151515151515194,Fast,Low,0.015151515151515194,0.2909090909090909,0.19512195121951215
Vizianagaram,Andhra Pradesh,Gentle,0.16709928617780662,0.1062124248496994,0.40909090909090917,Moderate,Medium,0.40909090909090917,0.6090909090909091,0.5609756097560976
Srikakulam,Andhra Pradesh,Flat,0.08111615833874108,0.0871743486973948,0.6969696969696969,Slow,High,0.6969696969696969,0.1909090909090909,0.1707317073170731
East Godavari,Andhra Pradesh,Very Flat,0.003244646333549643,0.00501002004008016,0.8333333333333334,Very Slow,Extreme,0.8333333333333334,0.5727272727272728,0.4390243902439024
West Godavari,Andhra Pradesh,Very Flat,0.027579493835171966,0.03206412825651302,1.0,Very Slow,Extreme,1.0,0.790909090909091,0.5365853658536586
Krishna,Andhra Pradesh,Very Flat,0.015249837767683322,0.01903807615230461,0.8333333333333334,Very Slow,Extreme,0.8333333333333334,0.8090909090909091,0.6341463414634145
Guntur,Andhra Pradesh,Flat,0.07560025957170668,0.08617234468937876,0.6818181818181818,Slow,High,0.6818181818181818,0.4,0.5609756097560976
Prakasam,Andhra Pradesh,Moderate,0.3312783906554186,0.21242484969939876,0.1515151515151515,Fast,Low,0.1515151515151515,0.5636363636363637,0.024390243902439046
Nellore,Andhra Pradesh,Flat,0.04445165476963011,0.04509018036072144,0.5454545454545454,Slow,High,0.5454545454545455,0.18181818181818185,0.19512195121951215
Kurnool,Andhra Pradesh,Gentle,0.11421155094094745,0.1062124248496994,0.25757575757575757,Moderate,Medium,0.25757575757575757,0.4,0.04878048780487809
Kadapa,Andhra Pradesh,Gentle,0.208955223880597,0.18036072144288576,0.5,Moderate,Medium,0.5,0.1,0.6341463414634145
Anantapur,Andhra Pradesh,Gentle,0.20571057754704739,0.20440881763527055,0.5303030303030303,Moderate,Medium,0.5303030303030304,0.2909090909090909,0.07317073170731692
Chittoor,Andhra Pradesh,Gentle,0.16125892277741727,0.15130260521042085,0.4696969696969696,Moderate,Medium,0.4696969696969697,0.42727272727272736,0.41463414634146334
