District,State,Year,Month,Month_Number,Case_Type,Soil_Moisture_Percent,Saturation_Level,Field_Capacity_Percent,Wilting_Point_Percent,Excess_Water_mm,Waterlogging_Risk
Visakhapatnam,Andhra Pradesh,2020,Jan,1,normal,12.6,Very Low,34.3,14.7,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Feb,2,normal,26.6,Low,38.3,13.7,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Mar,3,normal,16.2,Very Low,34.2,11.5,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Apr,4,normal,26.3,Low,36.1,8.4,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,May,5,normal,14.6,Very Low,28.5,9.0,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Jun,6,normal,43.5,Moderate,30.5,14.6,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Jul,7,normal,41.4,Moderate,41.0,8.5,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Aug,8,normal,43.1,Moderate,31.6,9.7,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Sep,9,normal,51.6,Moderate,40.9,14.7,0.0,Medium
Visakhapatnam,Andhra Pradesh,2020,Oct,10,normal,40.1,Moderate,31.4,16.1,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Nov,11,normal,29.7,Low,33.0,15.2,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Dec,12,normal,18.3,Very Low,40.3,15.5,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Jan,1,flood,33.0,Low,38.0,11.8,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Feb,2,flood,41.8,Moderate,44.3,13.3,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Mar,3,flood,28.3,Low,36.7,9.6,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Apr,4,flood,28.8,Low,29.0,17.1,0.0,Low
Vizianagaram,Andhra Pradesh,2020,May,5,flood,44.1,Moderate,32.9,10.7,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Jun,6,flood,68.1,High,26.5,12.1,1.6,Medium
Vizianagaram,Andhra Pradesh,2020,Jul,7,flood,73.4,High,43.6,8.3,6.9,High
Vizianagaram,Andhra Pradesh,2020,Aug,8,flood,72.1,High,37.9,9.1,8.9,High
Vizianagaram,Andhra Pradesh,2020,Sep,9,flood,68.1,High,36.0,13.6,4.0,Medium
Vizianagaram,Andhra Pradesh,2020,Oct,10,flood,77.4,High,39.4,15.7,16.7,High
Vizianagaram,Andhra Pradesh,2020,Nov,11,flood,29.2,Low,38.6,17.9,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Dec,12,flood,34.4,Low,28.5,17.8,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jan,1,drought,17.1,Very Low,31.4,13.7,0.0,Low
Srikakulam,Andhra Pradesh,2020,Feb,2,drought,13.7,Very Low,44.4,9.8,0.0,Low
Srikakulam,Andhra Pradesh,2020,Mar,3,drought,9.8,Very Low,38.7,14.0,0.0,Low
Srikakulam,Andhra Pradesh,2020,Apr,4,drought,3.8,Very Low,39.4,8.1,0.0,Low
Srikakulam,Andhra Pradesh,2020,May,5,drought,7.9,Very Low,43.4,8.6,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jun,6,drought,20.3,Low,25.4,15.8,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jul,7,drought,26.2,Low,37.1,8.6,0.0,Low
Srikakulam,Andhra Pradesh,2020,Aug,8,drought,14.0,Very Low,40.4,13.9,0.0,Low
Srikakulam,Andhra Pradesh,2020,Sep,9,drought,16.2,Very Low,29.2,14.1,0.0,Low
Srikakulam,Andhra Pradesh,2020,Oct,10,drought,17.6,Very Low,37.7,14.0,0.0,Low
Srikakulam,Andhra Pradesh,2020,Nov,11,drought,3.2,Very Low,29.3,17.2,0.0,Low
Srikakulam,Andhra Pradesh,2020,Dec,12,drought,18.6,Very Low,33.8,15.9,0.0,Low
East Godavari,Andhra Pradesh,2020,Jan,1,waterlogging,31.9,Low,31.9,13.6,0.0,Low
East Godavari,Andhra Pradesh,2020,Feb,2,waterlogging,36.8,Low,44.8,8.9,0.0,Low
East Godavari,Andhra Pradesh,2020,Mar,3,waterlogging,30.2,Low,36.2,16.9,0.0,Low
East Godavari,Andhra Pradesh,2020,Apr,4,waterlogging,46.4,Moderate,38.4,10.5,0.0,Low
East Godavari,Andhra Pradesh,2020,May,5,waterlogging,37.5,Low,36.8,12.3,0.0,Low
East Godavari,Andhra Pradesh,2020,Jun,6,waterlogging,82.6,High,32.0,10.7,29.3,High
East Godavari,Andhra Pradesh,2020,Jul,7,waterlogging,81.0,High,36.7,16.7,30.9,High
East Godavari,Andhra Pradesh,2020,Aug,8,waterlogging,74.5,High,32.2,15.3,16.1,High
East Godavari,Andhra Pradesh,2020,Sep,9,waterlogging,70.1,High,40.6,10.1,9.6,High
East Godavari,Andhra Pradesh,2020,Oct,10,waterlogging,80.9,High,34.5,11.0,27.6,High
East Godavari,Andhra Pradesh,2020,Nov,11,waterlogging,45.2,Moderate,34.7,17.4,0.0,Low
East Godavari,Andhra Pradesh,2020,Dec,12,waterlogging,46.2,Moderate,31.2,8.5,0.0,Low
West Godavari,Andhra Pradesh,2020,Jan,1,extreme_flood,46.5,Moderate,39.7,16.5,0.0,Low
West Godavari,Andhra Pradesh,2020,Feb,2,extreme_flood,54.7,Moderate,31.0,17.1,0.0,Medium
West Godavari,Andhra Pradesh,2020,Mar,3,extreme_flood,53.8,Moderate,29.2,10.9,0.0,Medium
West Godavari,Andhra Pradesh,2020,Apr,4,extreme_flood,38.6,Low,42.6,12.2,0.0,Low
West Godavari,Andhra Pradesh,2020,May,5,extreme_flood,53.9,Moderate,29.9,17.7,0.0,Medium
West Godavari,Andhra Pradesh,2020,Jun,6,extreme_flood,90.0,Saturated,31.3,8.1,45.5,Extreme
West Godavari,Andhra Pradesh,2020,Jul,7,extreme_flood,94.9,Saturated,32.1,8.2,52.2,Extreme
West Godavari,Andhra Pradesh,2020,Aug,8,extreme_flood,91.9,Saturated,42.4,12.6,51.7,Extreme
West Godavari,Andhra Pradesh,2020,Sep,9,extreme_flood,75.6,High,33.7,8.6,20.5,High
West Godavari,Andhra Pradesh,2020,Oct,10,extreme_flood,92.1,Saturated,31.6,8.3,53.1,Extreme
West Godavari,Andhra Pradesh,2020,Nov,11,extreme_flood,50.4,Moderate,34.8,17.7,0.0,Medium
West Godavari,Andhra Pradesh,2020,Dec,12,extreme_flood,41.8,Moderate,43.5,17.7,0.0,Low
Krishna,Andhra Pradesh,2020,Jan,1,mild,26.3,Low,36.0,8.7,0.0,Low
Krishna,Andhra Pradesh,2020,Feb,2,mild,23.1,Low,30.7,11.3,0.0,Low
Krishna,Andhra Pradesh,2020,Mar,3,mild,18.2,Very Low,37.7,17.5,0.0,Low
Krishna,Andhra Pradesh,2020,Apr,4,mild,15.0,Very Low,38.9,11.9,0.0,Low
Krishna,Andhra Pradesh,2020,May,5,mild,27.0,Low,40.2,12.9,0.0,Low
Krishna,Andhra Pradesh,2020,Jun,6,mild,34.4,Low,25.2,10.4,0.0,Low
Krishna,Andhra Pradesh,2020,Jul,7,mild,38.2,Low,39.2,15.3,0.0,Low
Krishna,Andhra Pradesh,2020,Aug,8,mild,30.0,Low,42.1,14.6,0.0,Low
Krishna,Andhra Pradesh,2020,Sep,9,mild,38.2,Low,37.4,16.1,0.0,Low
Krishna,Andhra Pradesh,2020,Oct,10,mild,42.9,Moderate,26.8,9.0,0.0,Low
Krishna,Andhra Pradesh,2020,Nov,11,mild,19.9,Very Low,42.1,10.7,0.0,Low
Krishna,Andhra Pradesh,2020,Dec,12,mild,9.7,Very Low,38.4,10.2,0.0,Low
Guntur,Andhra Pradesh,2020,Jan,1,severe_drought,0.0,Very Low,34.7,11.6,0.0,Low
Guntur,Andhra Pradesh,2020,Feb,2,severe_drought,3.3,Very Low,41.6,12.5,0.0,Low
Guntur,Andhra Pradesh,2020,Mar,3,severe_drought,6.8,Very Low,31.4,11.5,0.0,Low
Guntur,Andhra Pradesh,2020,Apr,4,severe_drought,0.0,Very Low,33.9,11.1,0.0,Low
Guntur,Andhra Pradesh,2020,May,5,severe_drought,0.0,Very Low,41.4,10.7,0.0,Low
Guntur,Andhra Pradesh,2020,Jun,6,severe_drought,1.9,Very Low,29.9,11.7,0.0,Low
Guntur,Andhra Pradesh,2020,Jul,7,severe_drought,10.7,Very Low,38.1,14.8,0.0,Low
Guntur,Andhra Pradesh,2020,Aug,8,severe_drought,9.3,Very Low,31.1,11.5,0.0,Low
Guntur,Andhra Pradesh,2020,Sep,9,severe_drought,7.9,Very Low,28.7,10.1,0.0,Low
Guntur,Andhra Pradesh,2020,Oct,10,severe_drought,17.7,Very Low,33.2,15.2,0.0,Low
Guntur,Andhra Pradesh,2020,Nov,11,severe_drought,1.3,Very Low,28.9,14.6,0.0,Low
Guntur,Andhra Pradesh,2020,Dec,12,severe_drought,13.8,Very Low,26.4,8.9,0.0,Low
Prakasam,Andhra Pradesh,2020,Jan,1,urban_flood,20.0,Very Low,32.0,13.7,0.0,Low
Prakasam,Andhra Pradesh,2020,Feb,2,urban_flood,14.5,Very Low,44.1,8.3,0.0,Low
Prakasam,Andhra Pradesh,2020,Mar,3,urban_flood,13.4,Very Low,31.1,9.1,0.0,Low
Prakasam,Andhra Pradesh,2020,Apr,4,urban_flood,16.1,Very Low,36.3,9.2,0.0,Low
Prakasam,Andhra Pradesh,2020,May,5,urban_flood,15.4,Very Low,27.1,9.5,0.0,Low
Prakasam,Andhra Pradesh,2020,Jun,6,urban_flood,27.0,Low,25.5,8.6,0.0,Low
Prakasam,Andhra Pradesh,2020,Jul,7,urban_flood,42.7,Moderate,31.9,9.9,0.0,Low
Prakasam,Andhra Pradesh,2020,Aug,8,urban_flood,27.8,Low,32.6,9.6,0.0,Low
Prakasam,Andhra Pradesh,2020,Sep,9,urban_flood,38.4,Low,25.9,8.1,0.0,Low
Prakasam,Andhra Pradesh,2020,Oct,10,urban_flood,30.5,Low,39.1,9.9,0.0,Low
Prakasam,Andhra Pradesh,2020,Nov,11,urban_flood,18.3,Very Low,39.7,13.1,0.0,Low
Prakasam,Andhra Pradesh,2020,Dec,12,urban_flood,17.4,Very Low,39.0,15.5,0.0,Low
Nellore,Andhra Pradesh,2020,Jan,1,normal,29.1,Low,37.1,12.4,0.0,Low
Nellore,Andhra Pradesh,2020,Feb,2,normal,18.3,Very Low,42.7,15.3,0.0,Low
Nellore,Andhra Pradesh,2020,Mar,3,normal,30.3,Low,27.1,17.3,0.0,Low
Nellore,Andhra Pradesh,2020,Apr,4,normal,24.7,Low,38.2,14.0,0.0,Low
Nellore,Andhra Pradesh,2020,May,5,normal,19.8,Very Low,25.7,11.1,0.0,Low
Nellore,Andhra Pradesh,2020,Jun,6,normal,44.2,Moderate,33.2,11.0,0.0,Low
Nellore,Andhra Pradesh,2020,Jul,7,normal,45.6,Moderate,31.2,12.2,0.0,Low
Nellore,Andhra Pradesh,2020,Aug,8,normal,52.4,Moderate,40.3,17.9,0.0,Medium
Nellore,Andhra Pradesh,2020,Sep,9,normal,47.0,Moderate,36.9,8.0,0.0,Low
Nellore,Andhra Pradesh,2020,Oct,10,normal,43.2,Moderate,42.4,15.2,0.0,Low
Nellore,Andhra Pradesh,2020,Nov,11,normal,20.4,Low,33.6,16.8,0.0,Low
Nellore,Andhra Pradesh,2020,Dec,12,normal,12.1,Very Low,40.3,9.8,0.0,Low
Kurnool,Andhra Pradesh,2020,Jan,1,flood,47.8,Moderate,40.9,9.1,0.0,Low
Kurnool,Andhra Pradesh,2020,Feb,2,flood,41.8,Moderate,44.0,16.7,0.0,Low
Kurnool,Andhra Pradesh,2020,Mar,3,flood,39.1,Low,34.2,15.9,0.0,Low
Kurnool,Andhra Pradesh,2020,Apr,4,flood,32.5,Low,34.1,15.1,0.0,Low
Kurnool,Andhra Pradesh,2020,May,5,flood,39.7,Low,32.7,14.6,0.0,Low
Kurnool,Andhra Pradesh,2020,Jun,6,flood,63.9,Moderate,41.3,12.3,0.0,Medium
Kurnool,Andhra Pradesh,2020,Jul,7,flood,81.4,High,30.5,8.8,24.2,High
Kurnool,Andhra Pradesh,2020,Aug,8,flood,81.2,High,27.3,10.4,29.7,High
Kurnool,Andhra Pradesh,2020,Sep,9,flood,79.7,High,26.0,14.4,23.3,High
Kurnool,Andhra Pradesh,2020,Oct,10,flood,74.4,High,25.3,15.4,18.4,High
Kurnool,Andhra Pradesh,2020,Nov,11,flood,47.8,Moderate,26.8,11.8,0.0,Low
Kurnool,Andhra Pradesh,2020,Dec,12,flood,37.6,Low,32.1,11.1,0.0,Low
Kadapa,Andhra Pradesh,2020,Jan,1,drought,14.2,Very Low,39.9,10.9,0.0,Low
Kadapa,Andhra Pradesh,2020,Feb,2,drought,12.1,Very Low,32.0,11.8,0.0,Low
