District,State,Year,Month,Month_Number,Case_Type,Soil_Moisture_Percent,Saturation_Level,Field_Capacity_Percent,Wilting_Point_Percent,Excess_Water_mm,Waterlogging_Risk
49,0,2020,4,1,4,12.6,4,34.3,14.7,0.0,2
49,0,2020,3,2,4,26.6,1,38.3,13.7,0.0,2
49,0,2020,7,3,4,16.2,4,34.2,11.5,0.0,2
49,0,2020,0,4,4,26.3,1,36.1,8.4,0.0,2
49,0,2020,8,5,4,14.6,4,28.5,9.0,0.0,2
49,0,2020,6,6,4,43.5,2,30.5,14.6,0.0,2
49,0,2020,5,7,4,41.4,2,41.0,8.5,0.0,2
49,0,2020,1,8,4,43.1,2,31.6,9.7,0.0,2
49,0,2020,11,9,4,51.6,2,40.9,14.7,0.0,3
49,0,2020,10,10,4,40.1,2,31.4,16.1,0.0,2
49,0,2020,9,11,4,29.7,1,33.0,15.2,0.0,2
49,0,2020,2,12,4,18.3,4,40.3,15.5,0.0,2
50,0,2020,4,1,2,33.0,1,38.0,11.8,0.0,2
50,0,2020,3,2,2,41.8,2,44.3,13.3,0.0,2
50,0,2020,7,3,2,28.3,1,36.7,9.6,0.0,2
50,0,2020,0,4,2,28.8,1,29.0,17.1,0.0,2
50,0,2020,8,5,2,44.1,2,32.9,10.7,0.0,2
50,0,2020,6,6,2,68.1,0,26.5,12.1,1.6,3
50,0,2020,5,7,2,73.4,0,43.6,8.3,6.9,1
50,0,2020,1,8,2,72.1,0,37.9,9.1,8.9,1
50,0,2020,11,9,2,68.1,0,36.0,13.6,4.0,3
50,0,2020,10,10,2,77.4,0,39.4,15.7,16.7,1
50,0,2020,9,11,2,29.2,1,38.6,17.9,0.0,2
50,0,2020,2,12,2,34.4,1,28.5,17.8,0.0,2
45,0,2020,4,1,0,17.1,4,31.4,13.7,0.0,2
45,0,2020,3,2,0,13.7,4,44.4,9.8,0.0,2
45,0,2020,7,3,0,9.8,4,38.7,14.0,0.0,2
45,0,2020,0,4,0,3.8,4,39.4,8.1,0.0,2
45,0,2020,8,5,0,7.9,4,43.4,8.6,0.0,2
45,0,2020,6,6,0,20.3,1,25.4,15.8,0.0,2
45,0,2020,5,7,0,26.2,1,37.1,8.6,0.0,2
45,0,2020,1,8,0,14.0,4,40.4,13.9,0.0,2
45,0,2020,11,9,0,16.2,4,29.2,14.1,0.0,2
45,0,2020,10,10,0,17.6,4,37.7,14.0,0.0,2
45,0,2020,9,11,0,3.2,4,29.3,17.2,0.0,2
45,0,2020,2,12,0,18.6,4,33.8,15.9,0.0,2
8,0,2020,4,1,7,31.9,1,31.9,13.6,0.0,2
8,0,2020,3,2,7,36.8,1,44.8,8.9,0.0,2
8,0,2020,7,3,7,30.2,1,36.2,16.9,0.0,2
8,0,2020,0,4,7,46.4,2,38.4,10.5,0.0,2
8,0,2020,8,5,7,37.5,1,36.8,12.3,0.0,2
8,0,2020,6,6,7,82.6,0,32.0,10.7,29.3,1
8,0,2020,5,7,7,81.0,0,36.7,16.7,30.9,1
8,0,2020,1,8,7,74.5,0,32.2,15.3,16.1,1
8,0,2020,11,9,7,70.1,0,40.6,10.1,9.6,1
8,0,2020,10,10,7,80.9,0,34.5,11.0,27.6,1
8,0,2020,9,11,7,45.2,2,34.7,17.4,0.0,2
8,0,2020,2,12,7,46.2,2,31.2,8.5,0.0,2
53,0,2020,4,1,1,46.5,2,39.7,16.5,0.0,2
53,0,2020,3,2,1,54.7,2,31.0,17.1,0.0,3
53,0,2020,7,3,1,53.8,2,29.2,10.9,0.0,3
53,0,2020,0,4,1,38.6,1,42.6,12.2,0.0,2
53,0,2020,8,5,1,53.9,2,29.9,17.7,0.0,3
53,0,2020,6,6,1,90.0,3,31.3,8.1,45.5,0
53,0,2020,5,7,1,94.9,3,32.1,8.2,52.2,0
53,0,2020,1,8,1,91.9,3,42.4,12.6,51.7,0
