District,State,Year,Month,Month_Number,Case_Type,Soil_Moisture_Percent,Saturation_Level,Field_Capacity_Percent,Wilting_Point_Percent,Excess_Water_mm,Waterlogging_Risk
Visakhapatnam,Andhra Pradesh,2020,Jan,0.0,normal,0.1327713382507903,Very Low,0.4623115577889445,0.6699999999999999,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Feb,0.09090909090909091,normal,0.2802950474183351,Low,0.6633165829145726,0.5700000000000001,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Mar,0.1818181818181818,normal,0.17070600632244468,Very Low,0.4572864321608041,0.3500000000000001,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Apr,0.2727272727272727,normal,0.27713382507903056,Low,0.5527638190954773,0.040000000000000036,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,May,0.36363636363636365,normal,0.15384615384615383,Very Low,0.17085427135678377,0.09999999999999998,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Jun,0.4545454545454545,normal,0.458377239199157,Moderate,0.27135678391959783,0.6599999999999999,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Jul,0.5454545454545454,normal,0.43624868282402524,Moderate,0.7989949748743719,0.050000000000000044,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Aug,0.6363636363636364,normal,0.4541622760800843,Moderate,0.3266331658291457,0.16999999999999993,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Sep,0.7272727272727273,normal,0.5437302423603794,Moderate,0.7939698492462308,0.6699999999999999,0.0,Medium
Visakhapatnam,Andhra Pradesh,2020,Oct,0.8181818181818182,normal,0.422550052687039,Moderate,0.316582914572864,0.8100000000000003,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Nov,0.9090909090909091,normal,0.3129610115911486,Low,0.3969849246231154,0.72,0.0,Low
Visakhapatnam,Andhra Pradesh,2020,Dec,0.9999999999999999,normal,0.1928345626975764,Very Low,0.7638190954773867,0.75,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Jan,0.0,flood,0.3477344573234984,Low,0.6482412060301506,0.3800000000000001,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Feb,0.09090909090909091,flood,0.44046364594309795,Moderate,0.9648241206030148,0.53,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Mar,0.1818181818181818,flood,0.2982086406743941,Low,0.5829145728643217,0.15999999999999992,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Apr,0.2727272727272727,flood,0.303477344573235,Low,0.1959798994974873,0.9100000000000001,0.0,Low
Vizianagaram,Andhra Pradesh,2020,May,0.36363636363636365,flood,0.46469968387776606,Moderate,0.3919597989949746,0.27,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Jun,0.4545454545454545,flood,0.7175974710221285,High,0.07035175879396971,0.4099999999999999,0.028622540250447227,Medium
Vizianagaram,Andhra Pradesh,2020,Jul,0.5454545454545454,flood,0.7734457323498419,High,0.9296482412060301,0.030000000000000027,0.12343470483005367,High
Vizianagaram,Andhra Pradesh,2020,Aug,0.6363636363636364,flood,0.7597471022128556,High,0.6432160804020097,0.10999999999999999,0.1592128801431127,High
Vizianagaram,Andhra Pradesh,2020,Sep,0.7272727272727273,flood,0.7175974710221285,High,0.5477386934673365,0.56,0.07155635062611806,Medium
Vizianagaram,Andhra Pradesh,2020,Oct,0.8181818181818182,flood,0.815595363540569,High,0.7185929648241205,0.77,0.2987477638640429,High
Vizianagaram,Andhra Pradesh,2020,Nov,0.9090909090909091,flood,0.30769230769230765,Low,0.6783919597989949,0.99,0.0,Low
Vizianagaram,Andhra Pradesh,2020,Dec,0.9999999999999999,flood,0.36248682824025286,Low,0.17085427135678377,0.9800000000000002,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jan,0.0,drought,0.1801896733403583,Very Low,0.316582914572864,0.5700000000000001,0.0,Low
Srikakulam,Andhra Pradesh,2020,Feb,0.09090909090909091,drought,0.14436248682824024,Very Low,0.9698492462311554,0.18000000000000005,0.0,Low
Srikakulam,Andhra Pradesh,2020,Mar,0.1818181818181818,drought,0.10326659641728135,Very Low,0.6834170854271358,0.6000000000000001,0.0,Low
Srikakulam,Andhra Pradesh,2020,Apr,0.2727272727272727,drought,0.040042149631190724,Very Low,0.7185929648241205,0.010000000000000009,0.0,Low
Srikakulam,Andhra Pradesh,2020,May,0.36363636363636365,drought,0.08324552160168598,Very Low,0.9195979899497484,0.05999999999999994,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jun,0.4545454545454545,drought,0.21390937829293993,Low,0.015075376884421843,0.78,0.0,Low
Srikakulam,Andhra Pradesh,2020,Jul,0.5454545454545454,drought,0.27608008429926234,Low,0.6030150753768844,0.05999999999999994,0.0,Low
Srikakulam,Andhra Pradesh,2020,Aug,0.6363636363636364,drought,0.1475237091675448,Very Low,0.7688442211055273,0.5900000000000001,0.0,Low
Srikakulam,Andhra Pradesh,2020,Sep,0.7272727272727273,drought,0.17070600632244468,Very Low,0.20603015075376874,0.6100000000000001,0.0,Low
Srikakulam,Andhra Pradesh,2020,Oct,0.8181818181818182,drought,0.18545837723919917,Very Low,0.6331658291457287,0.6000000000000001,0.0,Low
Srikakulam,Andhra Pradesh,2020,Nov,0.9090909090909091,drought,0.03371970495258166,Very Low,0.21105527638190935,0.9199999999999999,0.0,Low
Srikakulam,Andhra Pradesh,2020,Dec,0.9999999999999999,drought,0.19599578503688095,Very Low,0.437185929648241,0.79,0.0,Low
East Godavari,Andhra Pradesh,2020,Jan,0.0,waterlogging,0.3361433087460484,Low,0.34170854271356754,0.56,0.0,Low
East Godavari,Andhra Pradesh,2020,Feb,0.09090909090909091,waterlogging,0.38777660695468913,Low,0.9899497487437183,0.09000000000000008,0.0,Low
East Godavari,Andhra Pradesh,2020,Mar,0.1818181818181818,waterlogging,0.31822971548998946,Low,0.5577889447236182,0.8899999999999999,0.0,Low
East Godavari,Andhra Pradesh,2020,Apr,0.2727272727272727,waterlogging,0.4889357218124341,Moderate,0.6683417085427132,0.25,0.0,Low
East Godavari,Andhra Pradesh,2020,May,0.36363636363636365,waterlogging,0.3951527924130664,Low,0.5879396984924621,0.43000000000000016,0.0,Low
East Godavari,Andhra Pradesh,2020,Jun,0.4545454545454545,waterlogging,0.8703898840885141,High,0.3467336683417084,0.27,0.5241502683363148,High
East Godavari,Andhra Pradesh,2020,Jul,0.5454545454545454,waterlogging,0.8535300316122234,High,0.5829145728643217,0.8699999999999999,0.552772808586762,High
East Godavari,Andhra Pradesh,2020,Aug,0.6363636363636364,waterlogging,0.7850368809272918,High,0.35678391959798983,0.7300000000000002,0.2880143112701252,High
East Godavari,Andhra Pradesh,2020,Sep,0.7272727272727273,waterlogging,0.7386722866174921,High,0.778894472361809,0.20999999999999996,0.17173524150268335,High
East Godavari,Andhra Pradesh,2020,Oct,0.8181818181818182,waterlogging,0.8524762908324552,High,0.47236180904522596,0.30000000000000004,0.4937388193202147,High
East Godavari,Andhra Pradesh,2020,Nov,0.9090909090909091,waterlogging,0.47629083245521603,Moderate,0.48241206030150763,0.94,0.0,Low
East Godavari,Andhra Pradesh,2020,Dec,0.9999999999999999,waterlogging,0.4868282402528978,Moderate,0.3065326633165828,0.050000000000000044,0.0,Low
West Godavari,Andhra Pradesh,2020,Jan,0.0,extreme_flood,0.48998946259220233,Moderate,0.7336683417085428,0.8500000000000001,0.0,Low
West Godavari,Andhra Pradesh,2020,Feb,0.09090909090909091,extreme_flood,0.5763962065331929,Moderate,0.29648241206030135,0.9100000000000001,0.0,Medium
West Godavari,Andhra Pradesh,2020,Mar,0.1818181818181818,extreme_flood,0.5669125395152792,Moderate,0.20603015075376874,0.29000000000000004,0.0,Medium
West Godavari,Andhra Pradesh,2020,Apr,0.2727272727272727,extreme_flood,0.40674394099051636,Low,0.879396984924623,0.41999999999999993,0.0,Low
West Godavari,Andhra Pradesh,2020,May,0.36363636363636365,extreme_flood,0.5679662802950474,Moderate,0.24120603015075348,0.97,0.0,Medium
West Godavari,Andhra Pradesh,2020,Jun,0.4545454545454545,extreme_flood,0.9483667017913593,Saturated,0.3115577889447234,0.010000000000000009,0.813953488372093,Extreme
West Godavari,Andhra Pradesh,2020,Jul,0.5454545454545454,extreme_flood,1.0,Saturated,0.3517587939698492,0.019999999999999907,0.9338103756708408,Extreme
West Godavari,Andhra Pradesh,2020,Aug,0.6363636363636364,extreme_flood,0.9683877766069547,Saturated,0.8693467336683414,0.45999999999999996,0.9248658318425761,Extreme
West Godavari,Andhra Pradesh,2020,Sep,0.7272727272727273,extreme_flood,0.7966280295047418,High,0.4321608040201004,0.05999999999999994,0.36672629695885506,High
West Godavari,Andhra Pradesh,2020,Oct,0.8181818181818182,extreme_flood,0.970495258166491,Saturated,0.3266331658291457,0.030000000000000027,0.9499105545617174,Extreme
West Godavari,Andhra Pradesh,2020,Nov,0.9090909090909091,extreme_flood,0.5310853530031612,Moderate,0.487437185929648,0.97,0.0,Medium
West Godavari,Andhra Pradesh,2020,Dec,0.9999999999999999,extreme_flood,0.44046364594309795,Moderate,0.9246231155778895,0.97,0.0,Low
Krishna,Andhra Pradesh,2020,Jan,0.0,mild,0.27713382507903056,Low,0.5477386934673365,0.06999999999999995,0.0,Low
Krishna,Andhra Pradesh,2020,Feb,0.09090909090909091,mild,0.2434141201264489,Low,0.2814070351758793,0.33000000000000007,0.0,Low
Krishna,Andhra Pradesh,2020,Mar,0.1818181818181818,mild,0.1917808219178082,Very Low,0.6331658291457287,0.95,0.0,Low
Krishna,Andhra Pradesh,2020,Apr,0.2727272727272727,mild,0.15806111696522654,Very Low,0.6934673366834168,0.3900000000000001,0.0,Low
Krishna,Andhra Pradesh,2020,May,0.36363636363636365,mild,0.28451001053740776,Low,0.7587939698492461,0.49,0.0,Low
Krishna,Andhra Pradesh,2020,Jun,0.4545454545454545,mild,0.36248682824025286,Low,0.005025125628140392,0.24,0.0,Low
Krishna,Andhra Pradesh,2020,Jul,0.5454545454545454,mild,0.40252897787144365,Low,0.7085427135678393,0.7300000000000002,0.0,Low
Krishna,Andhra Pradesh,2020,Aug,0.6363636363636364,mild,0.3161222339304531,Low,0.8542713567839195,0.6599999999999999,0.0,Low
Krishna,Andhra Pradesh,2020,Sep,0.7272727272727273,mild,0.40252897787144365,Low,0.6180904522613062,0.8100000000000003,0.0,Low
Krishna,Andhra Pradesh,2020,Oct,0.8181818181818182,mild,0.4520547945205479,Moderate,0.08542713567839177,0.09999999999999998,0.0,Low
Krishna,Andhra Pradesh,2020,Nov,0.9090909090909091,mild,0.2096944151738672,Very Low,0.8542713567839195,0.27,0.0,Low
Krishna,Andhra Pradesh,2020,Dec,0.9999999999999999,mild,0.10221285563751316,Very Low,0.6683417085427132,0.21999999999999997,0.0,Low
Guntur,Andhra Pradesh,2020,Jan,0.0,severe_drought,0.0,Very Low,0.48241206030150763,0.3599999999999999,0.0,Low
Guntur,Andhra Pradesh,2020,Feb,0.09090909090909091,severe_drought,0.03477344573234984,Very Low,0.829145728643216,0.44999999999999996,0.0,Low
Guntur,Andhra Pradesh,2020,Mar,0.1818181818181818,severe_drought,0.07165437302423604,Very Low,0.316582914572864,0.3500000000000001,0.0,Low
Guntur,Andhra Pradesh,2020,Apr,0.2727272727272727,severe_drought,0.0,Very Low,0.4422110552763816,0.31000000000000005,0.0,Low
Guntur,Andhra Pradesh,2020,May,0.36363636363636365,severe_drought,0.0,Very Low,0.8190954773869343,0.27,0.0,Low
Guntur,Andhra Pradesh,2020,Jun,0.4545454545454545,severe_drought,0.020021074815595362,Very Low,0.24120603015075348,0.3699999999999999,0.0,Low
Guntur,Andhra Pradesh,2020,Jul,0.5454545454545454,severe_drought,0.11275026343519493,Very Low,0.6532663316582914,0.6800000000000002,0.0,Low
Guntur,Andhra Pradesh,2020,Aug,0.6363636363636364,severe_drought,0.09799789251844047,Very Low,0.3015075376884422,0.3500000000000001,0.0,Low
Guntur,Andhra Pradesh,2020,Sep,0.7272727272727273,severe_drought,0.08324552160168598,Very Low,0.18090452261306522,0.20999999999999996,0.0,Low
Guntur,Andhra Pradesh,2020,Oct,0.8181818181818182,severe_drought,0.18651211801896733,Very Low,0.40703517587939686,0.72,0.0,Low
Guntur,Andhra Pradesh,2020,Nov,0.9090909090909091,severe_drought,0.0136986301369863,Very Low,0.19095477386934645,0.6599999999999999,0.0,Low
Guntur,Andhra Pradesh,2020,Dec,0.9999999999999999,severe_drought,0.14541622760800843,Very Low,0.06532663316582887,0.09000000000000008,0.0,Low
