District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
East Godavari,Andhra Pradesh,Alluvial,0.33333333333333326,0.5,0.8000000000000003,0.875,High,Slow,High,0.6800000000000002,0.13636363636363635,0.3125
West Godavari,Andhra Pradesh,Alluvial,0.38888888888888884,0.425,0.8999999999999999,0.9375,High,Slow,High,0.6399999999999997,0.11363636363636365,0.265625
Krishna,Andhra Pradesh,Alluvial,0.36111111111111105,0.45,0.8999999999999999,0.8125,High,Slow,High,0.7199999999999998,0.14772727272727276,0.28125
Konaseema,Andhra Pradesh,Alluvial,0.41666666666666663,0.37500000000000006,1.0,1.0,High,Slow,High,0.6000000000000001,0.10227272727272729,0.234375
Eluru,Andhra Pradesh,Alluvial,0.3055555555555556,0.47500000000000003,1.0,0.75,High,Slow,High,0.6800000000000002,0.15909090909090912,0.296875
Bapatla,Andhra Pradesh,Alluvial,0.2777777777777778,0.55,0.8000000000000003,0.6875,High,Moderate,Medium,0.7600000000000002,0.20454545454545459,0.390625
Guntur,Andhra Pradesh,Black Cotton,0.8888888888888888,0.10000000000000003,0.3999999999999999,0.25,High,Slow,High,0.9199999999999999,0.04545454545454547,0.109375
Prakasam,Andhra Pradesh,Black Cotton,0.8333333333333333,0.15000000000000008,0.3999999999999999,0.1875,High,Slow,High,0.96,0.034090909090909116,0.078125
Kurnool,Andhra Pradesh,Red Sandy Loam,0.05555555555555558,0.925,0.10000000000000009,0.0625,Low,Fast,Low,0.52,0.8863636363636364,0.890625
Anantapur,Andhra Pradesh,Red Sandy Loam,0.0,1.0000000000000002,0.0,0.0,Low,Fast,Low,0.43999999999999995,1.0,0.984375
Kadapa,Andhra Pradesh,Red Sandy Loam,0.11111111111111116,0.8500000000000001,0.20000000000000018,0.0625,Low,Fast,Low,0.48,0.8181818181818182,0.84375
Chittoor,Andhra Pradesh,Red Loamy,0.2222222222222222,0.7000000000000002,0.3999999999999999,0.1875,Medium,Moderate,Low,0.56,0.5909090909090909,0.625
