District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
8,0,0,0.3333333333333332,0.5,0.8000000000000003,0.875,0,2,0,0.6800000000000002,0.1363636363636363,0.3125
53,0,0,0.3888888888888888,0.425,0.8999999999999999,0.9375,0,2,0,0.6399999999999997,0.1136363636363636,0.265625
22,0,0,0.361111111111111,0.45,0.8999999999999999,0.8125,0,2,0,0.7199999999999998,0.1477272727272727,0.28125
21,0,0,0.4166666666666666,0.375,1.0,1.0,0,2,0,0.6000000000000001,0.1022727272727272,0.234375
9,0,0,0.3055555555555556,0.475,1.0,0.75,0,2,0,0.6800000000000002,0.1590909090909091,0.296875
5,0,0,0.2777777777777778,0.55,0.8000000000000003,0.6875,0,1,2,0.7600000000000002,0.2045454545454545,0.390625
11,0,1,0.8888888888888888,0.1,0.3999999999999999,0.25,0,2,0,0.92,0.0454545454545454,0.109375
39,0,1,0.8333333333333333,0.15,0.3999999999999999,0.1875,0,2,0,0.96,0.0340909090909091,0.078125
24,0,6,0.0555555555555555,0.925,0.1,0.0625,1,0,1,0.52,0.8863636363636364,0.890625
3,0,6,0.0,1.0000000000000002,0.0,0.0,1,0,1,0.4399999999999999,1.0,0.984375
17,0,6,0.1111111111111111,0.8500000000000001,0.2000000000000001,0.0625,1,0,1,0.48,0.8181818181818182,0.84375
7,0,5,0.2222222222222222,0.7000000000000002,0.3999999999999999,0.1875,2,1,1,0.56,0.5909090909090909,0.625
44,0,6,0.0277777777777777,0.9500000000000002,0.1,0.0625,1,0,1,0.48,0.9318181818181818,0.9375
34,0,6,0.0833333333333333,0.9000000000000001,0.1,0.125,1,0,1,0.52,0.8636363636363636,0.859375
47,0,5,0.1666666666666666,0.7500000000000002,0.3999999999999999,0.125,2,1,1,0.52,0.6590909090909092,0.703125
49,0,3,0.1666666666666666,0.675,0.7000000000000002,0.4375,2,1,2,0.1199999999999996,0.5,0.546875
50,0,3,0.1111111111111111,0.7250000000000001,0.7000000000000002,0.375,2,1,2,0.08,0.5454545454545455,0.578125
45,0,3,0.1388888888888888,0.7000000000000002,0.7000000000000002,0.375,2,1,2,0.1600000000000001,0.5227272727272727,0.5625
1,0,3,0.1944444444444444,0.6500000000000001,0.7000000000000002,0.5,2,1,2,0.0399999999999995,0.4772727272727273,0.515625
2,0,5,0.2222222222222222,0.6500000000000001,0.6000000000000001,0.3125,2,1,2,0.2800000000000002,0.5454545454545455,0.59375
37,0,3,0.1388888888888888,0.7000000000000002,0.7000000000000002,0.5625,2,1,2,0.0,0.5,0.53125
0,1,2,0.9444444444444444,0.0499999999999999,0.3999999999999999,0.25,0,2,0,0.92,0.0113636363636363,0.046875
23,1,6,0.0555555555555555,0.925,0.1,0.125,1,0,1,0.3999999999999999,0.9545454545454544,0.9375
27,1,2,0.9166666666666664,0.075,0.3999999999999999,0.1875,0,2,0,0.96,0.0227272727272727,0.0625
35,1,2,0.8888888888888888,0.1,0.3999999999999999,0.25,0,2,0,0.92,0.0340909090909091,0.078125
36,1,2,1.0,0.0,0.3999999999999999,0.1875,0,2,0,1.0,0.0,0.0
14,1,2,0.9444444444444444,0.0499999999999999,0.3999999999999999,0.1875,0,2,0,0.96,0.0181818181818181,0.03125
18,1,5,0.25,0.675,0.3999999999999999,0.1875,2,1,2,0.52,0.5909090909090909,0.625
40,1,2,0.8611111111111112,0.125,0.3999999999999999,0.25,0,2,0,0.92,0.0409090909090909,0.09375
19,1,2,0.8888888888888888,0.1,0.3999999999999999,0.25,0,2,0,0.92,0.0340909090909091,0.078125
38,1,2,0.9166666666666664,0.075,0.3999999999999999,0.1875,0,2,0,0.96,0.0227272727272727,0.046875
28,1,4,0.7222222222222221,0.2,0.6000000000000001,0.1875,0,2,0,0.8799999999999999,0.0681818181818182,0.15625
42,1,4,0.6666666666666667,0.25,0.6000000000000001,0.1875,0,2,0,0.8399999999999999,0.0795454545454545,0.1875
43,1,5,0.2777777777777778,0.6500000000000001,0.3999999999999999,0.1875,2,1,2,0.56,0.5454545454545455,0.59375
15,1,5,0.3055555555555556,0.625,0.3999999999999999,0.1875,2,1,2,0.52,0.5227272727272727,0.5625
16,1,6,0.0833333333333333,0.8750000000000002,0.2000000000000001,0.125,1,0,1,0.3999999999999999,0.9090909090909092,0.90625
30,1,6,0.0555555555555555,0.925,0.1,0.125,1,0,1,0.3600000000000003,0.9772727272727274,0.96875
13,1,4,0.6111111111111112,0.3,0.6000000000000001,0.0625,0,2,0,0.7999999999999998,0.0909090909090909,0.203125
41,1,2,0.8333333333333333,0.1,0.6000000000000001,0.125,0,2,0,0.92,0.0454545454545454,0.109375
