District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
49,0,5,25.7,42.5,30.7,1.3,2,1,3,7.4,31.2,7.9
50,0,0,32.5,39.0,31.1,1.2,0,2,1,7.7,29.1,2.7
45,0,4,41.6,47.8,26.2,1.0,1,0,2,7.8,17.0,8.2
8,0,1,54.2,8.3,25.2,1.8,3,3,0,7.4,39.9,5.1
53,0,1,57.1,12.8,26.8,1.8,3,3,0,8.0,34.7,3.3
22,0,8,10.1,63.2,29.7,0.6,1,0,2,7.5,17.0,4.5
11,0,8,10.4,52.2,30.6,0.6,1,0,2,8.4,11.5,7.5
39,0,1,64.2,18.5,29.6,2.2,3,3,0,8.1,45.9,5.6
34,0,0,29.4,37.2,36.8,1.4,0,2,1,7.5,43.7,5.1
24,0,5,32.4,33.7,33.4,1.2,2,1,3,7.1,45.4,8.0
17,0,3,70.9,8.6,16.7,2.2,3,3,0,6.3,24.4,3.0
3,0,1,62.8,19.2,20.6,2.2,3,3,0,8.4,5.0,7.4
7,0,6,29.5,52.0,29.9,1.1,2,1,3,7.5,46.2,9.2
1,0,4,27.9,40.3,25.5,0.5,1,0,2,8.2,1.8,6.4
2,0,8,11.3,52.5,27.4,0.8,1,0,2,6.7,27.2,8.4
5,0,0,30.3,40.2,33.0,1.3,0,2,1,7.9,22.8,6.8
9,0,3,76.8,11.6,18.7,2.5,3,3,0,8.4,4.8,3.2
21,0,1,60.7,17.2,24.1,1.8,3,3,0,8.3,2.8,6.6
37,0,8,16.4,52.2,19.4,1.3,1,0,2,6.6,47.0,2.5
44,0,5,19.9,42.2,33.0,1.9,2,1,3,5.7,23.8,9.7
47,0,4,29.0,32.6,22.5,1.2,1,0,2,6.4,34.9,4.9
13,1,1,56.3,7.8,26.0,2.3,3,3,0,6.8,19.7,4.8
41,1,0,29.4,42.9,38.8,1.2,0,2,1,8.1,48.5,2.4
29,1,0,20.1,31.8,39.4,1.4,0,2,1,7.3,46.6,6.5
42,1,5,31.6,45.0,29.9,1.3,2,1,3,7.1,4.3,7.2
28,1,3,74.9,10.5,14.9,2.5,3,3,0,6.4,16.9,1.1
36,1,4,29.9,38.9,25.1,1.0,1,0,2,6.2,45.0,1.4
18,1,0,25.6,37.0,42.7,2.0,0,2,1,5.6,2.6,1.1
14,1,0,33.9,33.0,33.6,1.8,0,2,1,5.6,37.7,3.0
40,1,7,31.0,47.9,35.7,1.6,2,1,3,5.9,26.0,9.4
19,1,4,35.1,46.9,23.0,0.5,1,0,2,5.7,43.4,6.2
38,1,1,64.5,15.7,25.7,2.7,3,3,0,7.6,13.2,6.2
16,1,7,25.3,40.5,39.7,1.7,2,1,3,8.1,19.8,3.0
30,1,3,70.4,10.4,25.0,2.3,3,3,0,8.4,6.8,5.5
6,1,1,53.2,18.6,29.9,2.1,3,3,0,6.2,2.8,1.8
20,1,3,65.3,10.9,22.7,2.4,3,3,0,5.7,32.4,5.6
32,1,1,54.5,9.8,27.2,2.2,3,3,0,6.1,29.7,6.4
46,1,5,26.0,45.0,37.1,1.7,2,1,3,7.3,46.1,4.8
54,1,3,76.6,8.8,15.9,2.2,3,3,0,7.3,10.7,4.7
26,1,0,34.3,30.1,38.3,1.2,0,2,1,6.3,41.5,6.0
31,1,4,40.9,46.3,29.2,0.8,1,0,2,7.7,22.6,6.8
51,1,2,45.1,36.8,26.0,1.4,0,2,1,5.9,15.6,2.4
10,1,4,33.1,36.4,22.7,0.9,1,0,2,5.9,27.7,7.4
33,1,0,29.1,36.5,43.0,2.0,0,2,1,5.7,43.1,9.4
48,1,4,39.0,42.4,20.0,0.3,1,0,2,6.7,5.4,8.9
43,1,7,20.5,37.2,33.6,1.2,2,1,3,7.7,42.1,4.8
15,1,2,33.5,29.6,28.5,1.4,0,2,1,7.7,12.2,3.0
52,1,3,62.6,15.5,25.0,2.1,3,3,0,7.7,6.6,6.2
12,1,3,66.1,5.3,18.1,2.4,3,3,0,6.8,1.5,7.5
25,1,5,32.1,43.2,40.1,2.0,2,1,3,6.5,3.9,8.3
35,1,3,72.6,11.2,16.4,2.1,3,3,0,8.0,24.5,6.1
0,1,3,71.5,17.7,18.2,2.8,3,3,0,7.5,36.7,4.5
23,1,7,21.5,37.2,33.0,1.7,2,1,3,6.5,10.9,8.7
27,1,4,34.4,35.1,20.9,1.2,1,0,2,6.9,33.0,5.9
4,1,7,23.5,46.2,38.6,1.6,2,1,3,7.9,31.8,3.7
