District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
Visakhapatnam,Andhra Pradesh,Loam,0.2338830584707646,0.6424870466321242,0.5622775800711743,0.4,Medium,Moderate,Medium,0.642857142857143,0.6319148936170212,0.7906976744186047
Vizianagaram,Andhra Pradesh,Alluvial,0.335832083958021,0.5820379965457685,0.5765124555160142,0.36,High,Slow,High,0.7499999999999998,0.5872340425531916,0.18604651162790697
Srikakulam,Andhra Pradesh,Laterite,0.472263868065967,0.7340241796200344,0.4021352313167259,0.28,Low,Fast,Low,0.7857142857142854,0.32978723404255317,0.8255813953488371
East Godavari,Andhra Pradesh,Black Cotton,0.6611694152923538,0.05181347150259069,0.36654804270462626,0.6000000000000001,Very High,Very Slow,Extreme,0.642857142857143,0.8170212765957446,0.4651162790697674
West Godavari,Andhra Pradesh,Black Cotton,0.704647676161919,0.12953367875647667,0.42348754448398573,0.6000000000000001,Very High,Very Slow,Extreme,0.857142857142857,0.7063829787234043,0.25581395348837205
Krishna,Andhra Pradesh,Sandy Loam,0.0,0.9999999999999998,0.5266903914590746,0.12,Low,Fast,Low,0.6785714285714286,0.32978723404255317,0.39534883720930236
Guntur,Andhra Pradesh,Sandy Loam,0.004497751124437788,0.8100172711571674,0.5587188612099645,0.12,Low,Fast,Low,0.9999999999999998,0.2127659574468085,0.7441860465116279
Prakasam,Andhra Pradesh,Black Cotton,0.8110944527736133,0.22797927461139894,0.5231316725978647,0.7600000000000001,Very High,Very Slow,Extreme,0.8928571428571426,0.9446808510638297,0.5232558139534883
Nellore,Andhra Pradesh,Alluvial,0.28935532233883055,0.5509499136442142,0.779359430604982,0.43999999999999995,High,Slow,High,0.6785714285714286,0.897872340425532,0.4651162790697674
Kurnool,Andhra Pradesh,Loam,0.3343328335832084,0.4905008635578583,0.6583629893238432,0.36,Medium,Moderate,Medium,0.5357142857142854,0.9340425531914893,0.8023255813953488
Kadapa,Andhra Pradesh,Heavy Clay,0.9115442278860569,0.05699481865284972,0.06405693950177926,0.7600000000000001,Very High,Very Slow,Extreme,0.24999999999999978,0.48723404255319147,0.22093023255813954
Anantapur,Andhra Pradesh,Black Cotton,0.7901049475262368,0.24006908462867005,0.20284697508896798,0.7600000000000001,Very High,Very Slow,Extreme,0.9999999999999998,0.07446808510638298,0.7325581395348837
Chittoor,Andhra Pradesh,Red Loamy,0.29085457271364323,0.8065630397236614,0.5338078291814945,0.32000000000000006,Medium,Moderate,Medium,0.6785714285714286,0.9510638297872341,0.941860465116279
Alluri Sitharama Raju,Andhra Pradesh,Laterite,0.26686656671664166,0.6044905008635577,0.3772241992882561,0.08000000000000002,Low,Fast,Low,0.9285714285714282,0.006382978723404258,0.6162790697674418
Anakapalli,Andhra Pradesh,Sandy Loam,0.01799100449775115,0.8151986183074265,0.44483985765124545,0.20000000000000007,Low,Fast,Low,0.392857142857143,0.5468085106382978,0.8488372093023256
Bapatla,Andhra Pradesh,Alluvial,0.30284857571214396,0.6027633851468048,0.6441281138790036,0.4,High,Slow,High,0.8214285714285714,0.4531914893617021,0.6627906976744186
Eluru,Andhra Pradesh,Heavy Clay,0.9999999999999999,0.10880829015544038,0.13523131672597855,0.88,Very High,Very Slow,Extreme,0.9999999999999998,0.0702127659574468,0.2441860465116279
Konaseema,Andhra Pradesh,Black Cotton,0.7586206896551725,0.2055267702936096,0.3274021352313168,0.6000000000000001,Very High,Very Slow,Extreme,0.9642857142857142,0.027659574468085105,0.6395348837209301
Parvathipuram Manyam,Andhra Pradesh,Sandy Loam,0.0944527736131934,0.8100172711571674,0.16014234875444833,0.4,Low,Fast,Low,0.357142857142857,0.9680851063829787,0.16279069767441862
Sri Sathya Sai,Andhra Pradesh,Loam,0.14692653673163417,0.6373056994818651,0.6441281138790036,0.64,Medium,Moderate,Medium,0.03571428571428581,0.47446808510638294,1.0
Tirupati,Andhra Pradesh,Laterite,0.28335832083958024,0.4715025906735751,0.2704626334519573,0.36,Low,Fast,Low,0.2857142857142858,0.7106382978723403,0.4418604651162791
Hyderabad,Telangana,Black Cotton,0.6926536731634182,0.04317789291882557,0.395017793594306,0.7999999999999999,Very High,Very Slow,Extreme,0.4285714285714286,0.3872340425531915,0.43023255813953487
Rangareddy,Telangana,Alluvial,0.28935532233883055,0.6493955094991364,0.8505338078291813,0.36,High,Slow,High,0.8928571428571426,1.0,0.1511627906976744
Medchal Malkajgiri,Telangana,Alluvial,0.14992503748125938,0.45768566493955093,0.871886120996441,0.43999999999999995,High,Slow,High,0.607142857142857,0.9595744680851064,0.627906976744186
Sangareddy,Telangana,Loam,0.3223388305847077,0.6856649395509498,0.5338078291814945,0.4,Medium,Moderate,Medium,0.5357142857142854,0.05957446808510638,0.7093023255813954
Medak,Telangana,Heavy Clay,0.9715142428785607,0.08981001727115717,0.0,0.88,Very High,Very Slow,Extreme,0.2857142857142858,0.3276595744680851,0.0
Nizamabad,Telangana,Laterite,0.29685157421289354,0.5803108808290154,0.3629893238434164,0.28,Low,Fast,Low,0.2142857142857142,0.925531914893617,0.03488372093023254
Kamareddy,Telangana,Alluvial,0.23238380809595208,0.547495682210708,0.98932384341637,0.68,High,Slow,High,0.0,0.023404255319148942,0.0
Jagtial,Telangana,Alluvial,0.3568215892053973,0.47841105354058716,0.6654804270462633,0.6000000000000001,High,Slow,High,0.0,0.7702127659574468,0.22093023255813954
Rajanna Sircilla,Telangana,Red Sandy,0.3133433283358321,0.7357512953367875,0.7402135231316727,0.5200000000000001,Medium,Moderate,Medium,0.10714285714285743,0.5212765957446809,0.9651162790697674
Karimnagar,Telangana,Laterite,0.37481259370314846,0.7184801381692572,0.2882562277580071,0.08000000000000002,Low,Fast,Low,0.03571428571428581,0.8914893617021277,0.5930232558139535
Peddapalli,Telangana,Black Cotton,0.815592203898051,0.1796200345423143,0.38434163701067603,0.9600000000000001,Very High,Very Slow,Extreme,0.7142857142857142,0.24893617021276593,0.5930232558139535
Jayashankar Bhupalpally,Telangana,Red Sandy,0.2278860569715143,0.6079447322970637,0.8825622775800712,0.56,Medium,Moderate,Medium,0.8928571428571426,0.3893617021276596,0.22093023255813954
Mulugu,Telangana,Heavy Clay,0.904047976011994,0.08808290155440415,0.35943060498220636,0.7999999999999999,Very High,Very Slow,Extreme,0.9999999999999998,0.1127659574468085,0.5116279069767442
Bhadradri Kothagudem,Telangana,Black Cotton,0.646176911544228,0.229706390328152,0.5338078291814945,0.7200000000000001,Very High,Very Slow,Extreme,0.2142857142857142,0.027659574468085105,0.08139534883720931
Khammam,Telangana,Heavy Clay,0.8275862068965517,0.09671848013816925,0.2775800711743771,0.84,Very High,Very Slow,Extreme,0.03571428571428581,0.6574468085106383,0.5232558139534883
Nalgonda,Telangana,Black Cotton,0.6656671664167916,0.07772020725388601,0.43772241992882555,0.7600000000000001,Very High,Very Slow,Extreme,0.1785714285714286,0.6,0.6162790697674418
Suryapet,Telangana,Loam,0.2383808095952024,0.6856649395509498,0.790035587188612,0.56,Medium,Moderate,Medium,0.607142857142857,0.948936170212766,0.43023255813953487
Yadadri Bhuvanagiri,Telangana,Heavy Clay,0.9970014992503747,0.06044905008635579,0.03558718861209964,0.7600000000000001,Very High,Very Slow,Extreme,0.607142857142857,0.1957446808510638,0.41860465116279066
Mahabubnagar,Telangana,Alluvial,0.3628185907046476,0.4283246977547495,0.8327402135231314,0.36,High,Slow,High,0.24999999999999978,0.851063829787234,0.5697674418604651
Nagarkurnool,Telangana,Laterite,0.46176911544227883,0.708117443868739,0.5088967971530247,0.20000000000000007,Low,Fast,Low,0.7499999999999998,0.448936170212766,0.6627906976744186
Wanaparthy,Telangana,Clay Loam,0.5247376311844077,0.544041450777202,0.395017793594306,0.43999999999999995,High,Slow,High,0.10714285714285743,0.3,0.1511627906976744
Gadwal,Telangana,Laterite,0.3448275862068966,0.5371329879101898,0.2775800711743771,0.24000000000000005,Low,Fast,Low,0.10714285714285743,0.5574468085106383,0.7325581395348837
Narayanpet,Telangana,Alluvial,0.2848575712143928,0.5388601036269429,0.9999999999999998,0.68,High,Slow,High,0.03571428571428581,0.8851063829787235,0.9651162790697674
Vikarabad,Telangana,Laterite,0.43328335832083953,0.6407599309153711,0.18149466192170816,0.0,Low,Fast,Low,0.392857142857143,0.08297872340425533,0.9069767441860466
Siddipet,Telangana,Red Sandy,0.15592203898050974,0.5509499136442142,0.6654804270462633,0.36,Medium,Moderate,Medium,0.7499999999999998,0.8638297872340426,0.43023255813953487
Jangaon,Telangana,Clay Loam,0.3508245877061469,0.41968911917098445,0.48398576512455516,0.43999999999999995,High,Slow,High,0.7499999999999998,0.2276595744680851,0.22093023255813954
Warangal,Telangana,Heavy Clay,0.7871064467766117,0.17616580310880825,0.35943060498220636,0.7200000000000001,Very High,Very Slow,Extreme,0.7499999999999998,0.10851063829787233,0.5930232558139535
Hanamkonda,Telangana,Heavy Clay,0.8395802098950523,0.0,0.11387900355871894,0.84,Very High,Very Slow,Extreme,0.4285714285714286,0.0,0.7441860465116279
Mahabubabad,Telangana,Loam,0.3298350824587707,0.6545768566493955,0.896797153024911,0.68,Medium,Moderate,Medium,0.3214285714285714,0.05106382978723404,0.8372093023255814
Nirmal,Telangana,Heavy Clay,0.937031484257871,0.10189982728842831,0.053380782918149405,0.7200000000000001,Very High,Very Slow,Extreme,0.857142857142857,0.4893617021276596,0.5813953488372092
Adilabad,Telangana,Heavy Clay,0.9205397301349326,0.21416234887737473,0.11743772241992878,0.9999999999999999,Very High,Very Slow,Extreme,0.6785714285714286,0.748936170212766,0.39534883720930236
Kumuram Bheem,Telangana,Red Sandy,0.17091454272863568,0.5509499136442142,0.6441281138790036,0.56,Medium,Moderate,Medium,0.3214285714285714,0.2,0.8837209302325579
Mancherial,Telangana,Laterite,0.3643178410794602,0.5146804835924006,0.21352313167259773,0.36,Low,Fast,Low,0.4642857142857142,0.6702127659574468,0.5581395348837209
Asifabad,Telangana,Red Sandy,0.20089955022488756,0.7063903281519861,0.8434163701067616,0.5200000000000001,Medium,Moderate,Medium,0.8214285714285714,0.6446808510638298,0.3023255813953488
