circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
4,4,0,6780,504273,0,0,21,1,11175,5296
4,4,0,9885,504299,0,0,21,1,11242,5447
4,4,0,6953,504299,0,0,21,1,11716,11618
4,4,0,1092,504296,0,0,21,1,11145,5064
4,4,0,8386,504296,0,0,21,1,11188,5563
4,4,0,10408,504296,0,0,21,1,11106,6270
4,4,0,14001,504209,0,0,27,1,10780,4872
4,4,0,9506,504296,0,1,21,1,11159,5073
4,4,0,5631,504296,0,0,21,1,11716,11618
4,4,0,1857,504272,0,0,27,1,11079,5086
4,4,0,11594,504272,0,0,27,1,11072,4922
4,4,0,3907,504297,0,0,21,1,11090,4384
4,4,0,7676,504295,0,0,21,1,11231,4829
4,4,15,14506,506371,0,0,11,1,8686,5142
4,4,15,7576,506371,0,0,11,1,8651,5228
4,4,22,14506,505415,0,0,16,1,10388,4103
4,4,22,8427,505304,0,0,42,1,9325,2923
4,4,22,10382,505532,0,0,16,1,10419,4011
4,4,15,6472,506003,0,0,11,1,8142,5301
4,4,15,79,506145,0,0,13,1,8183,4364
4,4,15,11181,506144,0,0,13,1,8041,4804
4,4,15,2403,506144,0,0,13,1,8054,4889
4,4,15,2259,506221,0,0,13,1,7659,3944
4,4,15,12808,506301,0,0,13,1,7798,4629
4,4,15,2327,506223,0,0,45,1,8007,3743
4,4,15,5361,506223,0,0,45,1,8097,3680
4,4,15,3824,506143,0,0,11,1,7734,5131
4,4,15,11115,506143,0,0,13,1,7935,5068
4,4,15,12740,506143,0,0,13,1,7898,4757
4,4,15,9309,506143,0,0,13,1,7898,4757
4,4,15,13474,506143,0,0,13,1,8023,4907
4,4,22,11818,505467,0,0,45,1,8784,4129
4,4,15,9146,506175,0,1,13,1,8184,4200
4,4,15,9300,506175,0,1,13,1,7721,4236
4,4,15,10306,506175,0,0,13,1,7528,4259
4,4,15,11501,506367,0,0,45,1,5718,4122
4,4,15,3048,506367,0,0,45,1,5253,4074
4,4,15,10736,506355,0,0,45,1,4946,3646
4,4,15,12634,506355,0,0,45,1,4900,3736
4,4,15,9960,506201,0,0,13,1,3158,3494
4,4,15,9372,506244,0,0,13,1,1745,446
4,4,15,4830,506244,0,0,13,1,2334,4598
4,4,15,7862,506244,0,0,13,1,528,2320
4,4,15,14359,506303,0,0,13,1,2881,381
4,4,15,2805,506342,0,0,55,1,8640,5752
4,4,22,8860,505301,0,0,42,1,9883,3275
4,4,15,5932,506169,0,0,14,1,11367,11
4,4,15,7255,506168,0,0,14,1,11356,365
4,4,15,3811,506356,0,0,14,1,11360,362
4,4,15,7005,506356,0,0,14,1,9291,6553
4,4,22,9211,505467,0,0,18,1,9039,4238
4,4,15,9211,506356,0,0,14,1,9592,5702
4,4,15,9859,506356,0,0,14,1,9783,5617
4,4,15,11944,506165,0,0,30,1,9980,7829
4,4,15,12980,506345,0,0,14,1,9529,6841
4,4,15,1256,506345,0,0,14,1,9346,6164
4,4,15,7443,506344,0,0,30,1,9160,7204
4,4,15,10788,506352,0,0,30,1,8782,6915
4,4,15,961,506172,0,0,30,1,9110,8169
4,4,15,4921,506170,0,1,14,1,9694,5998
4,4,15,11566,506350,0,0,55,1,8676,6271
4,4,15,11238,506221,0,0,13,1,7745,3697
4,4,15,211,506366,0,0,14,1,9665,5487
4,4,15,10275,506366,0,0,14,1,9583,5503
4,4,15,10543,506366,0,0,14,1,9456,5525
4,4,15,14017,506366,0,0,14,1,9347,5548
4,4,15,67,506343,0,0,30,1,8991,6693
4,4,15,1040,506343,0,0,30,1,8991,6693
4,4,15,9140,506391,0,0,55,1,9249,5507
4,4,15,8683,506391,0,0,55,1,8963,5556
4,4,15,9524,506347,0,0,30,1,9509,7612
4,4,15,1445,506347,0,0,30,1,9081,7498
4,3,28,9141,502102,0,0,28,1,8661,2733
4,4,15,6751,506170,0,0,14,1,9692,6136
4,4,15,11288,506348,0,0,14,1,9279,6392
4,4,15,11590,506348,0,0,14,1,9364,5891
4,4,15,2805,506348,0,0,14,1,9229,5972
4,4,15,11288,506165,0,0,30,1,9569,8014
4,4,15,12471,506348,0,0,14,1,9120,6224
4,4,15,9416,506348,0,0,14,1,8987,6232
4,4,15,3841,506319,0,0,14,1,8866,5776
4,4,15,12640,506319,0,0,14,1,8839,5869
4,4,15,2379,506319,0,0,14,1,8986,5993
4,4,15,10034,506319,0,0,14,1,8753,5861
4,4,15,10613,506319,0,0,14,1,8969,5951
4,4,15,11358,506350,0,0,55,1,8566,6479
4,4,22,3166,505425,0,0,16,1,10963,3916
4,4,22,6743,505304,0,0,42,1,9298,2837
4,4,22,7713,505304,0,0,42,1,9512,2914
4,4,22,9143,505304,0,0,42,1,9666,3008
4,4,22,11396,505532,0,0,16,1,10666,3932
4,4,22,14013,505450,0,0,16,1,10891,2871
4,4,22,7534,505452,0,0,16,1,10446,3571
4,4,22,1031,505403,0,0,42,1,10060,3195
4,4,22,5541,505453,0,0,16,1,10547,3321
4,4,22,5980,505453,0,0,16,1,10706,3392
4,4,22,8316,505453,0,0,16,1,10667,3312
4,4,22,2646,505325,0,0,16,1,10692,2994
4,4,22,8188,505325,0,0,16,1,10623,2850
4,4,22,8983,505404,0,0,42,1,9393,3055
4,4,22,8295,505331,0,0,16,1,10892,2999
4,4,22,2558,505331,0,0,16,1,10809,3103
4,3,39,11416,502313,0,0,28,1,7843,2183
4,4,22,11957,505331,0,0,16,1,10825,3216
4,4,22,8934,505454,0,0,16,1,10900,3978
4,4,22,13102,505454,0,0,16,1,10876,3989
4,4,22,2065,505455,0,0,16,1,10668,3534
4,4,22,8375,505455,0,0,16,1,10691,3498
4,4,22,10395,505529,0,0,16,1,10768,3678
4,4,22,139,505305,0,0,42,1,10019,2870
4,4,22,340,505305,0,0,42,1,9842,3006
4,4,22,6608,505305,0,0,42,1,9649,2928
4,4,22,11820,505305,0,0,42,1,9725,2849
4,4,22,5196,505460,0,0,16,1,10753,3324
4,4,22,6988,505460,0,0,16,1,10819,3436
4,4,22,8361,505460,0,0,16,1,10871,3369
4,4,22,12980,505307,0,0,42,1,10153,3363
4,4,53,7729,506102,0,0,25,1,6859,6790
4,4,22,3021,505301,0,0,42,1,9877,3211
4,4,22,5644,505301,0,0,42,1,9965,3250
4,4,22,5978,505301,0,0,42,1,9625,3251
4,4,22,1556,505301,0,0,42,1,9760,3310
4,4,22,14117,505301,0,0,42,1,9856,3759
4,4,33,873,503305,0,0,17,1,9663,806
4,4,22,12745,505405,0,0,42,1,9693,3408
4,4,22,220,505466,0,0,45,1,8504,4315
