circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Adilabad Division,Kothimir B.O,0.40289992483777326,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3638689,79.5376658
Telangana Circle,Hyderabad Region,Adilabad Division,Papanpet B.O,0.4029525991746338,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.4764899,79.5839230
Telangana Circle,Hyderabad Region,Adilabad Division,Kukuda B.O,0.4029525991746338,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,,
Telangana Circle,Hyderabad Region,Adilabad Division,Bareguda B.O,0.4029465213665345,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3285752,79.4760132
Telangana Circle,Hyderabad Region,Adilabad Division,Mosam B.O,0.4029465213665345,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3778044,79.6165209
Telangana Circle,Hyderabad Region,Adilabad Division,Penchikalpet B.O,0.4029465213665345,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.2402360,79.8205696
Telangana Circle,Hyderabad Region,Adilabad Division,Vempalli B.O,0.402770264931655,BO,Delivery,MANCHERIAL,TELANGANA,18.8730283,79.4118699
Telangana Circle,Hyderabad Region,Adilabad Division,Old Town B.O,0.4029465213665345,BO,Non Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3454350,79.4782916
Telangana Circle,Hyderabad Region,Adilabad Division,Kammergaon  B.O,0.4029465213665345,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,,
Telangana Circle,Hyderabad Region,Adilabad Division,Chakepalli B.O,0.4028978989017401,BO,Delivery,MANCHERIAL,TELANGANA,19.1820860,79.4816378
Telangana Circle,Hyderabad Region,Adilabad Division,Repallewada B.O,0.4028978989017401,BO,Delivery,MANCHERIAL,TELANGANA,19.1760637,79.4281914
Telangana Circle,Hyderabad Region,Adilabad Division,Ginnedhari B.O,0.40294854730256746,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.1973141,79.239476100000005
Telangana Circle,Hyderabad Region,Adilabad Division,Malini,0.40294449543050137,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.458072999999999,79.400529000000006
Telangana Circle,Hyderabad Region,Hanamkonda Division,Yellapur B.O,0.4071503386352079,BO,Delivery,HANUMAKONDA,TELANGANA,18.0814575,79.4986557
Telangana Circle,Hyderabad Region,Hanamkonda Division,Madipalli B.O,0.4071503386352079,BO,Delivery,HANUMAKONDA,TELANGANA,18.0721411,79.5205913
Telangana Circle,Hyderabad Region,Karimnagar Division,Yellapur B.O,0.40521354378756846,BO,Delivery,Jagitial,TELANGANA,18.6848470,79.1109610
Telangana Circle,Hyderabad Region,Karimnagar Division,Mucherla B.O,0.404988664887895,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.2681810,78.6221410
Telangana Circle,Hyderabad Region,Karimnagar Division,Pegadapalli B.O,0.40545057830344067,BO,Delivery,Jagitial,TELANGANA,18.6985990,79.0740320
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kondaparthy B.O,0.4064047941750287,BO,Delivery,HANUMAKONDA,TELANGANA,17.9224790,79.5384425
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abdulnagaram B.O,0.4066924770917283,BO,Delivery,JANGOAN,TELANGANA,17.9319733,79.2306900
Telangana Circle,Hyderabad Region,Hanamkonda Division,Rajavaram B.O,0.40669045115569535,BO,Delivery,JANGOAN,TELANGANA,17.8877326,79.3885943
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinnapendyal B.O,0.40669045115569535,BO,Delivery,JANGOAN,TELANGANA,17.8937252,79.4178912
Telangana Circle,Hyderabad Region,Hanamkonda Division,China Raman Cherla B.O,0.4068464482302435,BO,Delivery,JANGOAN,TELANGANA,17.7681400,79.0459949
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tatikonda B.O,0.4070085231128914,BO,Delivery,JANGOAN,TELANGANA,17.8133662,79.3340276
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinchinkota B.O,0.40685050010230983,BO,Delivery,SIDDIPET,TELANGANA,17.8746190,78.9639012
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kadaverugu B.O,0.40685050010230983,BO,Delivery,SIDDIPET,TELANGANA,17.9072799,78.9388837
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garmillapalli B.O,0.4066884252196622,BO,Delivery,HANUMAKONDA,TELANGANA,17.7922519,79.4935684
Telangana Circle,Hyderabad Region,Hanamkonda Division,Raghunathpalli B.O,0.4066884252196622,BO,Delivery,JANGOAN,TELANGANA,17.8543710,79.4773529
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tanedarpalli B.O,0.4066884252196622,BO,Delivery,JANGOAN,TELANGANA,17.8442036,79.3746343
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nemiligonda B.O,0.4066884252196622,BO,Delivery,JANGOAN,TELANGANA,17.8442036,79.3746343
Telangana Circle,Hyderabad Region,Hanamkonda Division,Uppugal B.O,0.4066884252196622,BO,Delivery,JANGOAN,TELANGANA,17.8804780,79.4230850
Telangana Circle,Hyderabad Region,Karimnagar Division,Samudrala,0.4053188924612895,BO,Delivery,SIDDIPET,TELANGANA,18.1108470,79.1215400
Telangana Circle,Hyderabad Region,Hanamkonda Division,Narmetta B.O,0.4067532551727212,BO,Non Delivery,JANGOAN,TELANGANA,17.9320000,79.1521000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nellutla B.O,0.4067532551727212,BO,Non Delivery,JANGOAN,TELANGANA,17.7890000,79.1672000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddapahad B.O,0.4067532551727212,BO,Delivery,JANGOAN,TELANGANA,17.7320000,79.1780000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Rebarthy B.O,0.4071422348910755,BO,Delivery,SIDDIPET,TELANGANA,17.2230000,79.1200000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dhulmitta B.O,0.4071422348910755,BO,Delivery,SIDDIPET,TELANGANA,17.0892000,79.0991000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Posanpalli B.O,0.4071179236586785,BO,Delivery,SIDDIPET,TELANGANA,16.9960000,78.9230000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tadur Bo B.O,0.4071179236586785,BO,Delivery,SIDDIPET,TELANGANA,16.9810000,78.9620000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pasaramadla B.O,0.4068059295095817,BO,Delivery,JANGOAN,TELANGANA,16.4420000,78.8540000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nidigonda B.O,0.4068930447590048,BO,Delivery,JANGOAN,TELANGANA,15.4025000,76.5960000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Iravennur B.O,0.4068930447590048,BO,Delivery,JANGOAN,TELANGANA,15.9630000,79.3210000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mangal Banda Thanda B.O,0.4068930447590048,BO,Delivery,JANGOAN,TELANGANA,14.3550000,78.3970000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Wanaparthy B.O,0.40701257498495746,BO,Delivery,JANGOAN,TELANGANA,16.3287414,70.8964000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,0.4070915864902481,BO,Delivery,WARANGAL,TELANGANA,18.067409999999999,79.672430000000006
Telangana Circle,Hyderabad Region,Karimnagar Division,Nagaram B.O,0.4049825870797955,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.4472390,78.7688730
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kasimpalli B.O,0.4067410995565227,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,79.0000000,17.0000000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Laxmareddipalli B.O,0.40673907362048956,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,35.8968000,61.2536900
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garimillapalli B.O,0.40711994959471165,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698000,58.6359000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kundanpalli B.O,0.40711994959471165,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2549000,79.8968700
Telangana Circle,Hyderabad Region,Karimnagar Division,Nawabpet B.O,0.4053188924612895,BO,Delivery,KARIMNAGAR,TELANGANA,18.1807040,79.1697810
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nawabpet B.O,0.40711994959471165,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3434466,79.6554116
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pangidipalli B.O,0.40711994959471165,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.4059149,79.6351512
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sarvai B.O,0.4067329958123903,BO,Delivery,Mulugu,TELANGANA,18.49165,80.330640000000002
Telangana Circle,Hyderabad Region,Hanamkonda Division,Thimmapur B.O,0.4070976642983476,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3295766,79.9764416
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bhagirathipet B.O,0.4070976642983476,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2777497,79.7914119
Telangana Circle,Hyderabad Region,Hanamkonda Division,Machapur B.O,0.40709563836231444,BO,Delivery,Mulugu,TELANGANA,18.2115978,80.0623935
Telangana Circle,Hyderabad Region,Hanamkonda Division,Potlapur B.O,0.40711184585057925,BO,Delivery,Mulugu,TELANGANA,18.110620000000001,79.991910000000004
Telangana Circle,Hyderabad Region,Hanamkonda Division,Balannagudem B.O,0.40674717736462196,BO,Delivery,Mulugu,TELANGANA,18.198540000000001,80.524280000000005
Telangana Circle,Hyderabad Region,Hanamkonda Division,Jadalpet B.O,0.40674312549255565,BO,Non Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3690203,79.7398632
Telangana Circle,Hyderabad Region,Hanamkonda Division,Relakunta B.O,0.40710779397851293,BO,Delivery,WARANGAL,TELANGANA,18.0792252,79.8205965
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramachandrapuram B.O,0.4068464482302435,BO,Delivery,JANGOAN,TELANGANA,17.7954983,78.9449683
Telangana Circle,Hyderabad Region,Hanamkonda Division,Akinepalli B.O,0.40714020895504255,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3614001,79.5950964
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddakomati Palli B.O,0.40714020895504255,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3396879,79.6000073
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pidicilla B.O,0.40714020895504255,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3072561,79.6063575
Telangana Circle,Hyderabad Region,Hanamkonda Division,Vemulapalli B.O,0.40714020895504255,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2778600,79.6122286
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abbapur B.O,0.4070936124262813,BO,Delivery,Mulugu,TELANGANA,18.1662582,79.9346789
