circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
4,4,0,6780,0.4028999248377732,0,0,21,1,11175,5296
4,4,0,9885,0.4029525991746338,0,0,21,1,11242,5447
4,4,0,6953,0.4029525991746338,0,0,21,1,11716,11618
4,4,0,1092,0.4029465213665345,0,0,21,1,11145,5064
4,4,0,8386,0.4029465213665345,0,0,21,1,11188,5563
4,4,0,10408,0.4029465213665345,0,0,21,1,11106,6270
4,4,0,14001,0.402770264931655,0,0,27,1,10780,4872
4,4,0,9506,0.4029465213665345,0,1,21,1,11159,5073
4,4,0,5631,0.4029465213665345,0,0,21,1,11716,11618
4,4,0,1857,0.4028978989017401,0,0,27,1,11079,5086
4,4,0,11594,0.4028978989017401,0,0,27,1,11072,4922
4,4,0,3907,0.4029485473025674,0,0,21,1,11090,4384
4,4,0,7676,0.4029444954305013,0,0,21,1,11231,4829
4,4,15,14506,0.4071503386352079,0,0,11,1,8686,5142
4,4,15,7576,0.4071503386352079,0,0,11,1,8651,5228
4,4,22,14506,0.4052135437875684,0,0,16,1,10388,4103
4,4,22,8427,0.404988664887895,0,0,42,1,9325,2923
4,4,22,10382,0.4054505783034406,0,0,16,1,10419,4011
4,4,15,6472,0.4064047941750287,0,0,11,1,8142,5301
4,4,15,79,0.4066924770917283,0,0,13,1,8183,4364
4,4,15,11181,0.4066904511556953,0,0,13,1,8041,4804
4,4,15,2403,0.4066904511556953,0,0,13,1,8054,4889
4,4,15,2259,0.4068464482302435,0,0,13,1,7659,3944
4,4,15,12808,0.4070085231128914,0,0,13,1,7798,4629
4,4,15,2327,0.4068505001023098,0,0,45,1,8007,3743
4,4,15,5361,0.4068505001023098,0,0,45,1,8097,3680
4,4,15,3824,0.4066884252196622,0,0,11,1,7734,5131
4,4,15,11115,0.4066884252196622,0,0,13,1,7935,5068
4,4,15,12740,0.4066884252196622,0,0,13,1,7898,4757
4,4,15,9309,0.4066884252196622,0,0,13,1,7898,4757
4,4,15,13474,0.4066884252196622,0,0,13,1,8023,4907
4,4,22,11818,0.4053188924612895,0,0,45,1,8784,4129
4,4,15,9146,0.4067532551727212,0,1,13,1,8184,4200
4,4,15,9300,0.4067532551727212,0,1,13,1,7721,4236
4,4,15,10306,0.4067532551727212,0,0,13,1,7528,4259
4,4,15,11501,0.4071422348910755,0,0,45,1,5718,4122
4,4,15,3048,0.4071422348910755,0,0,45,1,5253,4074
4,4,15,10736,0.4071179236586785,0,0,45,1,4946,3646
4,4,15,12634,0.4071179236586785,0,0,45,1,4900,3736
4,4,15,9960,0.4068059295095817,0,0,13,1,3158,3494
4,4,15,9372,0.4068930447590048,0,0,13,1,1745,446
4,4,15,4830,0.4068930447590048,0,0,13,1,2334,4598
4,4,15,7862,0.4068930447590048,0,0,13,1,528,2320
4,4,15,14359,0.4070125749849574,0,0,13,1,2881,381
4,4,15,2805,0.4070915864902481,0,0,55,1,8640,5752
4,4,22,8860,0.4049825870797955,0,0,42,1,9883,3275
4,4,15,5932,0.4067410995565227,0,0,14,1,11367,11
4,4,15,7255,0.4067390736204895,0,0,14,1,11356,365
4,4,15,3811,0.4071199495947116,0,0,14,1,11360,362
4,4,15,7005,0.4071199495947116,0,0,14,1,9291,6553
4,4,22,9211,0.4053188924612895,0,0,18,1,9039,4238
4,4,15,9211,0.4071199495947116,0,0,14,1,9592,5702
4,4,15,9859,0.4071199495947116,0,0,14,1,9783,5617
4,4,15,11944,0.4067329958123903,0,0,30,1,9980,7829
4,4,15,12980,0.4070976642983476,0,0,14,1,9529,6841
4,4,15,1256,0.4070976642983476,0,0,14,1,9346,6164
4,4,15,7443,0.4070956383623144,0,0,30,1,9160,7204
4,4,15,10788,0.4071118458505792,0,0,30,1,8782,6915
4,4,15,961,0.4067471773646219,0,0,30,1,9110,8169
4,4,15,4921,0.4067431254925556,0,1,14,1,9694,5998
4,4,15,11566,0.4071077939785129,0,0,55,1,8676,6271
4,4,15,11238,0.4068464482302435,0,0,13,1,7745,3697
4,4,15,211,0.4071402089550425,0,0,14,1,9665,5487
4,4,15,10275,0.4071402089550425,0,0,14,1,9583,5503
4,4,15,10543,0.4071402089550425,0,0,14,1,9456,5525
4,4,15,14017,0.4071402089550425,0,0,14,1,9347,5548
4,4,15,67,0.4070936124262813,0,0,30,1,8991,6693
4,4,15,1040,0.4070936124262813,0,0,30,1,8991,6693
4,4,15,9140,0.4071908573558699,0,0,55,1,9249,5507
4,4,15,8683,0.4071908573558699,0,0,55,1,8963,5556
4,4,15,9524,0.4071017161704137,0,0,30,1,9509,7612
4,4,15,1445,0.4071017161704137,0,0,30,1,9081,7498
4,3,28,9141,0.3985016177099224,0,0,28,1,8661,2733
4,4,15,6751,0.4067431254925556,0,0,14,1,9692,6136
4,4,15,11288,0.4071037421064468,0,0,14,1,9279,6392
4,4,15,11590,0.4071037421064468,0,0,14,1,9364,5891
4,4,15,2805,0.4071037421064468,0,0,14,1,9229,5972
4,4,15,11288,0.4067329958123903,0,0,30,1,9569,8014
4,4,15,12471,0.4071037421064468,0,0,14,1,9120,6224
4,4,15,9416,0.4071037421064468,0,0,14,1,8987,6232
4,4,15,3841,0.4070449899614871,0,0,14,1,8866,5776
4,4,15,12640,0.4070449899614871,0,0,14,1,8839,5869
4,4,15,2379,0.4070449899614871,0,0,14,1,8986,5993
4,4,15,10034,0.4070449899614871,0,0,14,1,8753,5861
4,4,15,10613,0.4070449899614871,0,0,14,1,8969,5951
4,4,15,11358,0.4071077939785129,0,0,55,1,8566,6479
4,4,22,3166,0.4052338031478993,0,0,16,1,10963,3916
4,4,22,6743,0.404988664887895,0,0,42,1,9298,2837
4,4,22,7713,0.404988664887895,0,0,42,1,9512,2914
4,4,22,9143,0.404988664887895,0,0,42,1,9666,3008
4,4,22,11396,0.4054505783034406,0,0,16,1,10666,3932
4,4,22,14013,0.4052844515487269,0,0,16,1,10891,2871
4,4,22,7534,0.405288503420793,0,0,16,1,10446,3571
4,4,22,1031,0.4051892325551712,0,0,42,1,10060,3195
4,4,22,5541,0.4052905293568262,0,0,16,1,10547,3321
4,4,22,5980,0.4052905293568262,0,0,16,1,10706,3392
4,4,22,8316,0.4052905293568262,0,0,16,1,10667,3312
4,4,22,2646,0.4050312095445899,0,0,16,1,10692,2994
4,4,22,8188,0.4050312095445899,0,0,16,1,10623,2850
4,4,22,8983,0.4051912584912044,0,0,42,1,9393,3055
4,4,22,8295,0.4050433651607884,0,0,16,1,10892,2999
4,4,22,2558,0.4050433651607884,0,0,16,1,10809,3103
4,3,39,11416,0.3989290902129055,0,0,28,1,7843,2183
4,4,22,11957,0.4050433651607884,0,0,16,1,10825,3216
4,4,22,8934,0.4052925552928591,0,0,16,1,10900,3978
4,4,22,13102,0.4052925552928591,0,0,16,1,10876,3989
4,4,22,2065,0.4052945812288923,0,0,16,1,10668,3534
4,4,22,8375,0.4052945812288923,0,0,16,1,10691,3498
4,4,22,10395,0.4054445004953414,0,0,16,1,10768,3678
4,4,22,139,0.4049906908239279,0,0,42,1,10019,2870
4,4,22,340,0.4049906908239279,0,0,42,1,9842,3006
4,4,22,6608,0.4049906908239279,0,0,42,1,9649,2928
4,4,22,11820,0.4049906908239279,0,0,42,1,9725,2849
4,4,22,5196,0.4053047109090578,0,0,16,1,10753,3324
4,4,22,6988,0.4053047109090578,0,0,16,1,10819,3436
4,4,22,8361,0.4053047109090578,0,0,16,1,10871,3369
4,4,22,12980,0.4049947426959942,0,0,42,1,10153,3363
4,4,53,7729,0.4066053618423052,0,0,25,1,6859,6790
4,4,22,3021,0.4049825870797955,0,0,42,1,9877,3211
4,4,22,5644,0.4049825870797955,0,0,42,1,9965,3250
4,4,22,5978,0.4049825870797955,0,0,42,1,9625,3251
4,4,22,1556,0.4049825870797955,0,0,42,1,9760,3310
4,4,22,14117,0.4049825870797955,0,0,42,1,9856,3759
4,4,33,873,0.4009388187577366,0,0,17,1,9663,806
4,4,22,12745,0.4051932844272375,0,0,42,1,9693,3408
4,4,22,220,0.4053168665252563,0,0,45,1,8504,4315
4,4,22,2739,0.4051932844272375,0,0,42,1,9268,3964
4,4,22,4361,0.4054424745593082,0,0,45,1,9261,3794
4,4,22,11587,0.4054424745593082,0,0,42,1,9312,3784
4,4,22,12584,0.4054343708151758,0,0,42,1,10078,3693
4,4,22,9536,0.4054343708151758,0,0,42,1,10101,3562
4,4,22,7705,0.4052135437875684,0,0,38,1,10315,4214
4,4,22,394,0.4054384226872422,0,0,16,1,10636,4277
4,4,22,8714,0.4054384226872422,0,0,16,1,10709,4357
4,3,39,791,0.3988845196201774,0,0,44,1,7330,1393
4,4,22,4930,0.4054384226872422,0,0,16,1,10683,4206
4,4,22,83,0.4052743218685614,0,0,18,1,9961,3812
4,4,22,8898,0.4052743218685614,0,0,18,1,10192,3905
4,4,22,7065,0.4052743218685614,0,0,18,1,10102,3852
4,4,22,4155,0.4053188924612895,0,0,45,1,8646,4123
4,4,22,9832,0.4053188924612895,0,0,45,1,8870,4227
4,4,22,9951,0.4053188924612895,0,0,45,1,8964,4191
4,4,22,2124,0.4053877742864148,0,0,16,1,10233,3664
4,4,22,13666,0.4051872066191383,0,0,42,1,9646,3670
4,4,53,491,0.4066053618423052,0,0,25,1,6931,7122
4,4,22,293,0.4054404486232751,0,0,18,1,9773,4189
4,4,22,10645,0.4053229443333556,0,0,18,1,9444,4376
4,4,22,1531,0.4043768322058999,0,0,18,1,9881,4225
4,4,22,3284,0.4043768322058999,0,0,18,1,9927,4273
4,4,22,8957,0.4053472555657528,0,0,18,1,9460,4276
4,4,22,11285,0.4053472555657528,0,0,18,1,9320,4188
4,4,22,5982,0.4054485523674075,0,0,18,1,10088,4106
4,4,22,6266,0.405331048077488,0,0,45,1,9012,4057
4,4,22,5098,0.4054465264313746,0,0,18,1,9523,4037
4,4,22,12685,0.4054465264313746,0,0,42,1,8826,3748
4,4,26,8836,0.412739896150519,0,0,54,1,2973,1085
4,4,26,4834,0.412739896150519,0,0,54,1,2979,1090
4,4,26,8239,0.4127338183424197,0,0,15,1,2411,920
4,3,39,4078,0.3987427040978609,0,0,44,1,7305,672
4,4,26,11564,0.4129202044574646,0,0,26,1,3316,1292
4,4,26,353,0.4127459739586182,0,0,15,1,2747,834
4,4,26,1170,0.4127459739586182,0,0,15,1,2608,1390
4,4,26,12980,0.4127459739586182,0,0,15,1,2621,1348
4,4,26,13251,0.4127378702144858,0,0,15,1,2363,714
4,4,26,3452,0.4127378702144858,0,0,15,1,2516,718
4,4,26,10289,0.4127358442784529,0,0,15,1,2377,1381
4,4,26,3028,0.4127358442784529,0,0,15,1,2463,1402
4,4,26,9740,0.4127358442784529,0,0,15,1,2341,1405
4,4,26,13675,0.4127358442784529,0,0,15,1,2406,1329
4,4,26,9660,0.4127317924063866,0,0,15,1,2300,1263
4,4,26,10342,0.4127317924063866,0,0,15,1,2236,1084
4,4,26,8018,0.4127864926792802,0,0,15,1,2298,1598
4,4,26,10922,0.4127864926792802,0,0,15,1,2216,1539
4,4,26,14446,0.4127500258306845,0,0,15,1,2362,1028
4,4,26,5734,0.4132504320308591,0,0,26,1,3982,1628
4,4,26,10674,0.4132504320308591,0,0,26,1,4176,1608
4,4,26,3629,0.4132504320308591,0,0,26,1,3983,1626
4,4,26,1537,0.4133010804316864,0,0,36,1,4216,782
4,4,26,4251,0.4133010804316864,0,0,36,1,4551,643
4,4,26,14374,0.4133010804316864,0,0,36,1,4373,732
4,4,26,3125,0.4128898154169681,0,0,26,1,3468,1408
4,4,26,7899,0.4128898154169681,0,0,26,1,3997,1428
4,4,26,6197,0.4128898154169681,0,0,36,1,3733,1177
4,4,26,12765,0.4131531871012704,0,0,26,1,4383,1424
4,4,26,4533,0.4131856020778001,0,0,36,1,5077,1033
4,4,26,7165,0.4131856020778001,0,0,51,1,5156,994
4,4,26,1629,0.4124805763382827,0,0,26,1,4276,1493
4,4,26,6759,0.4124805763382827,0,0,26,1,4327,1441
4,4,26,5344,0.4131916798858993,0,0,36,1,3460,736
4,4,26,7934,0.4131916798858993,0,0,36,1,3355,799
4,4,26,9943,0.4131612908454029,0,0,51,1,5206,875
