District,State,Year,Annual_Rainfall_mm,Normal_Rainfall_mm,Departure_Percent,Monsoon_Rainfall_mm,Pre_Monsoon_mm,Post_Monsoon_mm,Winter_mm,Monsoon_Percent,Rainfall_Category,Flood_Occurred,Drought_Declared,Waterlogging_Risk,Peak_Month,Peak_Rainfall_mm,Consecutive_Dry_Days_Avg,Heavy_Rain_Days,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm
5,0,2015,901.4,800,12.7,819.6,69.3,44.2,34.0,90.9,2,0,0,2,1,238.3,18,4,16.5,17.5,3.8,24.7,40.8,149.0,238.3,207.0,141.9,83.4,37.4,6.8
5,0,2016,540.2,800,-32.5,437.2,62.7,39.0,5.4,80.9,0,0,1,1,1,132.2,12,5,0.0,5.4,15.6,16.8,30.3,76.6,132.2,115.7,71.8,40.9,18.9,20.1
5,0,2017,825.5,800,3.2,727.7,51.3,26.2,21.9,88.2,2,0,0,2,1,217.1,16,2,0.4,21.5,11.4,4.7,35.2,123.8,217.1,182.5,116.5,87.8,26.0,0.2
5,0,2018,969.9,800,21.2,849.1,70.0,38.9,8.7,87.5,1,0,0,0,1,249.5,6,3,5.2,3.5,6.5,14.7,48.8,138.7,249.5,201.2,159.0,100.7,35.3,3.6
5,0,2019,1056.8,800,32.1,918.9,85.0,45.0,23.9,87.0,1,1,0,0,1,255.9,18,17,6.7,17.2,15.8,27.3,41.9,155.0,255.9,242.2,161.8,104.0,45.0,0.0
5,0,2020,1278.0,800,59.8,1111.6,84.7,71.8,46.5,87.0,1,1,0,0,1,309.8,18,14,24.4,22.1,9.0,17.5,58.2,185.8,309.8,289.7,186.1,140.2,48.6,23.2
5,0,2021,722.6,800,-9.7,635.6,52.3,37.9,1.6,88.0,2,0,0,1,1,179.1,7,8,0.0,1.6,0.0,26.5,25.8,100.8,179.1,153.6,115.7,86.4,19.8,18.1
5,0,2022,1052.8,800,31.6,905.2,56.4,63.7,21.9,86.0,1,1,0,0,1,265.5,9,29,5.9,16.0,6.7,10.4,39.3,146.3,265.5,217.8,158.7,116.9,41.7,22.0
5,0,2023,527.8,800,-34.0,446.7,49.4,26.1,7.0,84.6,0,0,1,1,0,123.8,20,4,0.0,7.0,17.1,24.8,7.5,74.8,123.3,123.8,83.4,41.4,15.3,10.8
5,0,2024,1188.0,800,48.5,1057.5,71.4,36.0,35.2,89.0,1,1,0,0,1,286.7,8,24,14.0,21.2,21.1,14.5,35.8,184.8,286.7,271.9,185.0,129.1,29.6,6.4
26,0,2015,454.8,780,-41.7,432.5,27.4,14.3,25.9,95.1,0,0,1,1,1,127.9,3,6,11.3,14.6,2.0,17.0,8.4,62.9,127.9,114.6,68.6,58.5,14.3,0.0
26,0,2016,1190.3,780,52.6,1031.0,92.2,44.0,16.4,86.6,1,1,0,0,1,287.6,5,3,2.1,14.3,13.6,31.0,47.6,171.7,287.6,265.5,185.1,121.1,42.9,1.1
26,0,2017,906.0,780,16.2,776.1,78.6,40.4,7.9,85.7,2,0,0,2,1,214.5,24,3,0.0,7.9,19.4,30.0,29.2,142.2,214.5,185.3,137.7,96.4,36.1,4.3
26,0,2018,821.7,780,5.3,688.4,43.8,28.8,0.0,83.8,2,0,0,2,1,192.1,21,0,0.0,0.0,3.0,14.5,26.3,125.7,192.1,170.1,129.1,71.4,28.8,0.0
26,0,2019,433.4,780,-44.4,366.4,15.1,22.3,28.2,84.5,0,0,1,1,1,109.6,8,4,11.8,16.4,0.0,0.0,15.1,78.0,109.6,96.2,54.2,28.4,22.3,0.0
26,0,2020,1178.1,780,51.0,1018.1,63.7,48.5,19.7,86.4,1,1,0,0,1,288.6,3,3,3.0,16.7,0.0,26.7,37.0,183.8,288.6,258.1,179.7,107.9,42.6,5.9
26,0,2021,558.6,780,-28.4,496.5,36.7,6.7,11.2,88.9,0,0,1,1,1,151.1,9,0,11.2,0.0,3.3,3.6,29.8,76.7,151.1,134.7,74.7,59.3,4.4,2.3
26,0,2022,861.3,780,10.4,766.1,59.1,45.9,36.1,88.9,2,0,0,2,1,209.3,15,9,17.3,18.8,13.1,12.4,33.6,139.9,209.3,202.2,121.1,93.6,29.8,16.1
26,0,2023,802.1,780,2.8,695.5,61.2,21.5,19.4,86.7,2,0,0,2,1,213.2,5,3,0.0,19.4,0.0,29.4,31.8,115.6,213.2,162.2,122.8,81.7,15.6,5.9
26,0,2024,595.6,780,-23.6,521.9,30.8,32.6,16.6,87.6,0,0,0,1,1,147.5,20,2,0.0,16.6,11.4,2.5,16.9,98.4,147.5,136.1,83.9,56.0,32.6,0.0
17,0,2015,649.0,810,-19.9,566.6,39.5,40.8,13.8,87.3,2,0,0,1,1,166.0,9,9,3.9,9.9,5.9,11.8,21.8,99.9,166.0,147.4,84.5,68.8,33.1,7.7
17,0,2016,919.0,810,13.5,781.7,50.0,32.8,41.9,85.1,2,0,0,2,1,218.5,24,0,19.8,22.1,0.0,16.5,33.5,135.0,218.5,211.6,123.9,92.7,32.4,0.4
17,0,2017,846.2,810,4.5,747.6,60.6,26.7,6.4,88.3,2,0,0,2,1,203.4,9,7,5.8,0.6,15.4,5.9,39.3,137.2,203.4,197.1,112.9,97.0,13.9,12.8
17,0,2018,881.2,810,8.8,742.4,75.2,22.7,10.9,84.2,2,0,0,2,1,214.0,20,1,0.0,10.9,6.0,22.5,46.7,129.5,214.0,179.3,134.4,85.2,22.7,0.0
17,0,2019,1282.8,810,58.4,1105.7,100.4,45.4,22.6,86.2,1,1,0,0,1,331.8,13,25,6.8,15.8,21.1,33.1,46.2,195.7,331.8,267.7,190.5,120.0,35.1,10.3
17,0,2020,913.0,810,12.7,784.4,61.7,34.4,20.8,85.9,2,0,0,2,1,225.2,9,5,20.8,0.0,18.8,9.6,33.3,131.4,225.2,190.4,137.1,100.3,25.6,8.8
17,0,2021,862.6,810,6.5,758.4,47.4,31.1,21.6,87.9,2,0,0,2,0,204.5,13,7,1.4,20.2,10.9,8.9,27.6,138.5,202.0,204.5,118.3,95.1,22.7,8.4
17,0,2022,796.7,810,-1.6,678.2,45.6,14.3,9.1,85.1,2,0,0,1,1,187.6,21,0,9.1,0.0,0.0,8.3,37.3,108.1,187.6,172.6,123.9,86.0,14.3,0.0
17,0,2023,667.2,810,-17.6,568.2,54.5,29.5,34.9,85.2,2,0,0,1,1,169.7,8,7,17.3,17.6,14.8,3.4,36.3,108.2,169.7,141.9,93.0,55.4,20.3,9.2
17,0,2024,754.7,810,-6.8,687.0,30.9,20.1,31.4,91.0,2,0,0,1,1,195.5,8,2,11.8,19.6,0.0,11.5,19.4,116.9,195.5,179.0,106.6,89.0,9.5,10.6
27,0,2015,1205.1,850,41.8,1059.2,99.5,39.6,47.9,87.9,1,1,0,0,1,294.1,21,25,24.5,23.4,27.0,16.4,56.1,183.4,294.1,279.6,192.7,109.4,21.9,17.7
27,0,2016,676.3,850,-20.4,569.1,39.5,38.2,0.0,84.1,0,0,0,1,1,166.4,10,3,0.0,0.0,0.0,0.0,39.5,97.0,166.4,134.3,94.6,76.8,23.8,14.4
27,0,2017,898.4,850,5.7,818.6,50.7,32.6,22.9,91.1,2,0,0,2,1,237.0,20,3,3.7,19.2,2.9,22.8,25.0,140.4,237.0,200.9,136.6,103.7,30.8,1.8
27,0,2018,1123.9,850,32.2,954.0,78.6,60.4,11.9,84.9,1,1,0,0,1,290.6,6,2,5.3,6.6,26.0,10.5,42.1,155.5,290.6,235.0,173.8,99.1,38.9,21.5
