Annual_Rainfall_mm_x,Flood_Occurred,Waterlogging_Occurred,Waterlogging_Days,Urban_Inundation_Hours,Roads_Blocked_Count,Drainage_Overflow,Flash_Flood,Flood_Severity_Enc,Waterlogging_Severity_Enc,Annual_Rainfall_mm_y,Monsoon_Rainfall_mm,Monsoon_Percent,Rainfall_Category_Enc,Flood_Risk_Enc,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,pH,Permeability_mm_per_hr,Flood_Absorption_Score,Soil_Type_Enc,Water_Retention_Capacity_Enc,Drainage_Speed_Enc,Waterlogging_Susceptibility_Enc,Mean_Elevation_m,Min_Elevation_m,Elevation_Std_Dev,Inundation_Depth_Potential_m,Terrain_Type_Enc,Flood_Risk_Elevation_Enc,Urban_Percent,Waterbody_Percent,Impervious_Surface_Percent,Runoff_Potential_Enc,Urban_Heat_Island_Risk_Enc,Drainage_Capacity_Percent,Drain_Coverage_Percent,Blocked_Drains_Percent,Overflow_Threshold_mm_per_hr,Pump_Stations,Drainage_Quality_Enc,Waterlogging_Risk_Enc,Drainage_Type_Enc,Mean_Slope_Degrees,Runoff_Coefficient,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number,Slope_Category_Enc,Waterlogging_Potential_Enc,Flow_Speed_Enc,Flood_Threshold_Daily_mm,Waterlogging_Threshold_mm,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm,Base_Flood_Risk_Enc,IMD_Category_Enc,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Flood_Plain_Area_sqkm,Flood_Risk_River_Enc,Breach_History_Enc,Reservoir_Enc,Population_Density_per_sqkm,Urban_Population_Percent,Vulnerable_Population_Percent,Flood_Exposure_Index,Avg_Soil_Moisture,Max_Soil_Moisture,Avg_Excess_Water,Max_Saturation_Enc,Max_Waterlogging_Risk_Enc
1443.6,1,1,29,15,71,1,0,1.0,3.0,1586.3,1409.1,88.8,3,2,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
969.3,0,0,0,0,0,0,0,2.0,3.0,1244.5,1124.5,90.4,2,1,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
1515.8,1,1,11,24,2,0,0,2.0,2.0,1508.8,1305.9,86.6,3,2,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
816.7,0,0,0,0,0,0,0,2.0,3.0,737.5,617.3,83.7,1,0,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
1484.7,1,1,38,2,63,1,0,1.0,4.0,1646.2,1406.2,85.4,3,2,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
2455.5,1,1,22,49,58,1,1,3.0,3.0,2263.9,1979.5,87.4,4,3,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
1000.3,0,0,0,0,0,0,0,2.0,3.0,945.2,808.0,85.5,2,0,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
541.3,0,0,0,0,0,0,0,2.0,3.0,458.5,378.0,82.4,0,0,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
1396.8,1,1,44,55,63,1,0,1.0,4.0,1470.8,1297.7,88.2,3,2,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
1124.2,0,0,0,0,0,0,0,2.0,3.0,1149.9,985.3,85.7,2,0,25.7,42.5,30.7,1.3,7.4,31.2,7.9,5,2,1,3,120,12,84.3,0.0,2,1,40.4,3.1,30.3,2,1,61.8,9.3,40.6,31.2,3,3,0,3,13.78,0.27,27.0,3.9,64,3,1,3,127.5,76.5,63.8,95.6,127.5,191.2,0,2,2,17.6,50,171.9,1,0,0,430,45.9,35.0,2.64,30.333333333333332,51.6,0.0,2,1
